P/L,P/RECEITA_(PSR),P/VP,Dividend_Yield,PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBIT,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Papel,EV/EBITDA,P/EBITDA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO
5.25,0.41,0.63,11.86,62.82,7.81,36.83,6.66,0.0,6.16,6.16,0.05,4.6,-0.43,31.72,3.8,0.11,11.97,6.85,1.02,0.07,0.88,1.01,18.01,13.16,BBAS3,,,,,,
23.69,3.71,6.84,2.69,49.79,15.65,33.61,19.82,22.08,18.41,18.7,3.81,13.76,-10.45,5.29,1.53,1.03,28.86,26.58,16.97,0.56,0.42,1.77,18.58,23.05,WEGE3,16.53,16.79,-0.11,-0.27,-0.3,0.12
-0.09,0.03,-0.02,0.0,0.0,-31.85,30.81,20.11,33.77,8.49,0.15,0.02,-0.06,-0.03,-31.75,-7.2,0.79,-22.66,64.7,-25.24,-1.11,2.11,0.35,28.65,,AZUL4,5.05,0.09,-1.16,4.84,8.13,-1.22
5.08,0.77,0.4,2.52,12.73,15.13,67.94,21.89,56.3,7.34,3.51,0.21,3.83,-0.26,6.63,0.52,0.27,7.9,5.76,4.5,0.51,0.44,1.38,4.29,,COGN3,2.85,1.36,0.44,1.49,3.83,0.55
8.69,0.84,1.06,17.07,153.59,9.7,49.67,27.45,35.26,5.63,3.07,0.36,-8.53,-0.41,30.71,3.73,0.43,12.16,14.47,4.23,0.34,0.65,0.72,12.77,50.67,PETR4,4.39,2.39,0.82,1.86,2.4,0.94
8.85,0.75,0.97,8.08,44.26,8.49,32.69,8.46,0.0,8.26,8.89,0.08,0.53,-0.48,16.1,1.77,0.11,10.99,10.74,0.93,0.08,0.92,1.22,22.53,2.82,BBDC4,,,,,,
14.12,6.21,3.56,2.33,32.86,43.97,89.93,59.29,62.91,10.53,10.47,1.44,7.82,-2.21,3.57,0.9,0.23,25.18,13.91,10.22,0.41,0.59,2.13,2.91,2.66,B3SA3,9.92,9.87,0.02,0.05,0.06,0.79
12.03,0.14,0.46,4.37,52.02,1.14,30.75,4.29,7.78,4.93,3.18,0.15,1.72,-0.3,15.37,0.59,1.07,3.82,9.09,1.22,0.32,0.68,1.2,5.53,2.05,MGLU3,2.72,1.76,0.25,0.96,1.74,0.4
15.14,3.82,19.75,5.39,283.44,25.23,56.09,43.8,52.34,10.36,8.72,2.27,2.045.91,-2.7,0.7,0.92,0.59,130.43,32.2,14.96,0.11,0.89,1.01,27.6,,STBP3,8.67,7.3,3.69,1.37,1.63,4.32
7.85,1.17,1.22,8.67,68.61,14.88,35.45,25.35,33.43,5.91,4.61,0.52,29.59,-0.63,44.52,6.93,0.44,15.57,16.32,6.32,0.42,0.56,1.11,0.29,3.98,VALE3,4.48,3.49,0.35,0.99,1.31,0.46
9.07,0.2,0.22,0.0,0.0,2.15,8.21,3.61,8.28,7.49,5.4,0.13,0.38,-0.23,19.37,0.46,0.66,2.37,2.54,1.31,0.6,0.33,4.16,10.73,-16.26,USIM5,3.27,2.36,0.04,0.42,0.96,0.32
-4.84,0.36,0.56,0.0,0.0,-7.38,27.02,3.64,5.75,35.65,9.82,0.12,0.82,-0.21,10.65,-1.23,0.33,-11.55,1.03,-2.35,0.21,0.76,1.47,7.15,,MRVE3,22.56,6.21,1.47,16.35,25.84,1.56
