P/L,P/RECEITA_(PSR),P/VP,DY,PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Papel
"8,48","1,17","1,15","4,95","74,56","13,81","34,24","20,82","29,11","5,11","7,14","4,02","5,63","0,50","14,44","-0,62","47,19","6,38","0,42","13,52","12,24","5,65","0,31","1,09","1,52","0,45","0,43","0,55","1,22","0,10","2,28",VALE3
"24,36","3,81","7,03","2,15","49,79","15,65","33,61","19,82","22,08","17,00","18,93","17,26","19,23","3,92","14,14","-10,74","5,29","1,53","1,03","28,86","26,58","16,97","-0,11","-0,27","-0,30","0,12","0,56","0,42","1,77","18,58","23,05",WEGE3
"-0,09","0,03","-0,02","0,00","0,00","-31,85","30,81","20,11","33,77","5,05","8,48","0,09","0,15","0,02","-0,05","-0,03","-31,75","-7,20","0,79","-22,66","64,70","-25,24","-1,16","4,84","8,13","-1,22","-1,11","2,11","0,35","28,65",,AZUL4
"4,96","0,39","0,59","12,89","62,82","7,81","36,83","6,66","0,00",,"5,82",,"5,82","0,04","4,35","-0,41","31,72","3,80","0,11","11,97","6,85","1,02",,,,,"0,07","0,88","1,01","18,01","13,16",BBAS3
"5,21","0,79","0,41","2,41","12,73","15,13","67,94","21,89","56,30","2,89","7,43","1,40","3,60","0,21","3,93","-0,26","6,63","0,52","0,27","7,90","5,76","4,50","0,44","1,49","3,83","0,55","0,51","0,44","1,38","4,29",,COGN3
"14,18","6,23","3,57","2,35","32,86","43,97","89,93","59,29","62,91","9,96","10,57","9,91","10,51","1,45","7,85","-2,22","3,57","0,90","0,23","25,18","13,91","10,22","0,02","0,05","0,06","0,79","0,41","0,59","2,13","2,91","2,66",B3SA3
"8,60","0,83","1,05","17,24","153,59","9,70","49,67","27,45","35,26","4,36","5,60","2,37","3,04","0,36","-8,45","-0,40","30,71","3,73","0,43","12,16","14,47","4,23","0,82","1,86","2,40","0,94","0,34","0,65","0,72","12,77","50,67",PETR4
"12,20","0,14","0,47","4,23","52,02","1,14","30,75","4,29","7,78","2,74","4,97","1,78","3,23","0,15","1,74","-0,30","15,37","0,59","1,07","3,82","9,09","1,22","0,25","0,96","1,74","0,40","0,32","0,68","1,20","5,53","2,05",MGLU3
"3,80","0,13","1,14","6,20","23,64","3,49","4,77","4,93","5,29","4,72","5,08","2,50","2,69","0,38","1,87","-0,65","18,37","5,53","2,85","30,13","14,38","9,93","1,02","2,22","2,39","1,28","0,33","0,66","1,94","16,85","9,61",VBBR3
"-4,83","0,36","0,56","0,00","0,00","-7,38","27,02","3,64","5,75","22,55","35,64","6,20","9,80","0,12","0,81","-0,21","10,65","-1,23","0,33","-11,55","1,03","-2,35","1,47","16,35","25,84","1,56","0,21","0,76","1,47","7,15",,MRVE3
"7,53","13,97","1,33","8,56","70,89","185,53","28,63","207,75","222,59","6,48","6,95","6,27","6,72","1,04","19,05","-1,16","7,82","1,38","0,07","17,71","17,51","13,91","0,04","0,21","0,22","0,13","0,78","0,18","1,97","6,88","15,94",ITSA4
"9,57","0,21","0,23","0,00","0,00","2,15","8,21","3,61","8,28","3,40","7,79","2,49","5,70","0,14","0,40","-0,24","19,37","0,46","0,66","2,37","2,54","1,31","0,04","0,42","0,96","0,32","0,60","0,33","4,16","10,73","-16,26",USIM5
"16,06","0,18","2,46","1,11","17,56","1,10","16,61","5,28","7,51","4,46","6,34","2,35","3,34","0,30","16,38","-0,46","3,98","0,61","1,68","15,34","17,35","1,85","2,21","2,11","3,00","3,03","0,12","0,88","1,05","15,83","-11,90",ASAI3
"8,02","0,71","0,95","8,00","54,45","8,83","31,68","8,22","0,00",,"8,01",,"8,62","0,08","0,60","-0,41","16,43","1,95","0,11","11,89","10,09","0,98",,,,,"0,08","0,92","1,19","24,03","4,85",BBDC4
"-3,38","0,06","0,82","0,00","-2,44","-1,67","4,64","1,69","5,35","4,47","14,15","1,05","3,33","0,10","0,95","-0,18","1,70","-0,41","1,81","-24,20","3,82","-2,96","2,65","3,42","10,82","3,89","0,12","0,87","1,33",,,RAIZ4
"14,07","1,22","1,75","4,43","59,24","8,65","60,83","9,85","18,33","6,19","11,53","6,64","12,36","0,97","4,25","-2,28","9,69","1,21","0,80","12,45","11,89","6,93","-0,12","-0,45","-0,83","0,04","0,56","0,44","1,67","14,43","3,12",LREN3
"13,26","2,13","2,12","7,51","98,64","16,08","51,50","25,06","32,90","6,01","7,89","6,48","8,51","1,38","49,90","-1,93","5,87","0,94","0,65","15,95","19,15","10,68","-0,16","-0,48","-0,63","0,03","0,65","0,34","1,11","9,46","5,30",ABEV3
"-4,38","0,22","0,71","7,22","-32,32","-5,05","26,35","10,30","19,25","4,92","9,19","1,15","2,15","0,10","1,10","-0,15","10,48","-1,70","0,44","-16,24","6,05","-1,68","2,33","3,77","7,04","3,71","0,14","0,83","1,35","8,25",,CSNA3
"15,21","3,84","19,84","5,35","283,44","25,23","56,09","43,80","52,34","8,70","10,39","7,33","8,76","2,28","2.054,74","-2,71","0,70","0,92","0,59","130,43","32,20","14,96","3,69","1,37","1,63","4,32","0,11","0,89","1,01","27,60",,STBP3
