Valor_de_mercado,Valor_de_firma,Patrimônio_Líquido,Nº_total_de_papeis,Ativos,Ativo_Circulante,Dívida_Bruta,Dívida_Líquida,Disponibilidade,Tag_Along,Segmento_de_Listagem,Free_Float,Setor,Segmento,Papel
155594578000,153195199000,22215931000,4197317000,39836839000,25299344000,2584148000,-2399379000,4983527000,100.00,Novo_Mercado,35.30,Bens_Industriais,Motores._Compressores_e_Outros,WEGE3
5123134000,10575221000,12444512000,1876606000,24203940000,4711693000,6873792000,5452087000,1421705000,100.00,Novo_Mercado,99.78,Consumo_Cíclico,Serviços_Educacionais,COGN3
66779220000,67141911000,18794551000,5266500000,46292029000,16116282000,14881775000,362691000,14519084000,100.00,Nível_1,99.37,Financeiro,Serviços_Financeiros_Diversos,B3SA3
107281213000,107281213000,181793664000,5730834000,2427051877000,2160716659000,,,71510833000,100.00,Novo_Mercado,49.60,Financeiro,Bancos,BBAS3
245923430000,312219430000,214175000000,4539007000,493226000000,95964000000,97383000000,66296000000,31087000000,100.00,Novo_Mercado,94.09,Materiais_Básicos,Minerais_Metálicos,VALE3
1438814000,34531195000,-28451132000,896039000,25548693000,5960923000,34693507000,33092381000,1601126000,100.00,Nível_2,50.56,Bens_Industriais,Transporte_Aéreo,AZUL4
5305985000,8162838000,11357897000,738995000,35577093000,18058921000,4590398000,2856853000,1733545000,100.00,Novo_Mercado,47.83,Consumo_Cíclico,Eletrodomésticos,MGLU3
436828339000,763104339000,395841000000,12888732000,1147716000000,124853000000,370314000000,326276000000,44038000000,100.00,Nível_2,60.70,Petróleo._Gás_e_Biocombustíveis,Exploração._Refino_e_Distribuição,PETR4
13332148000,25249148000,5385000000,1352144000,44685000000,15707000000,16319000000,11917000000,4402000000,100.00,Nível_1,99.82,Consumo_não_Cíclico,Alimentos,ASAI3
14389988000,61084864000,17588530000,10352509000,140999678000,61120378000,68416269000,46694876000,21721393000,100.00,Nível_1,11.52,Consumo_não_Cíclico,Açucar_e_Alcool,RAIZ4
3348818000,12178176000,5996125000,562826000,28758188000,12945859000,9363441000,8829358000,534083000,100.00,Novo_Mercado,66.65,Consumo_Cíclico,Incorporações,MRVE3
23554950000,44431950000,20557000000,1119000000,62234000000,25968000000,26350000000,20877000000,5473000000,100.00,Novo_Mercado,99.61,Petróleo._Gás_e_Biocombustíveis,Exploração._Refino_e_Distribuição,VBBR3
6609723000,7539855000,24277714000,1253079000,40655884000,18064823000,7674093000,930132000,6743961000,0.00,Nível_1,53.95,Materiais_Básicos,Siderurgia,USIM5
17874603000,16668252000,10265765000,1059549000,18457504000,10556391000,424456000,-1206351000,1630807000,100.00,Novo_Mercado,98.89,Consumo_Cíclico,Tecidos._Vestuário_e_Calçados,LREN3
114442164000,118268164000,85938000000,10993810000,110639000000,12196000000,11262000000,3826000000,7436000000,80.00,Nível_1,65.74,Financeiro,Holdings_Diversificadas,ITSA4
154361508000,154361508000,174053985000,10592012000,2147570089000,1740446958000,,,222829387000,80.00,Nível_1,62.16,Financeiro,Bancos,BBDC4
9879399000,42289832000,13904040000,1326093000,101070743000,34699821000,51567038000,32410433000,19156605000,0.00,Tradicional,54.26,Materiais_Básicos,Siderurgia,CSNA3
2231780000,19173340000,2607676000,362302000,29211368000,7253058000,19978755000,16941560000,3037195000,100.00,Novo_Mercado,33.63,Consumo_Cíclico,Aluguel_de_carros,MOVI3
10826111000,63089589000,7891663000,1866570000,127486217000,28053101000,67072561000,52263478000,14809083000,100.00,Novo_Mercado,62.18,Petróleo._Gás_e_Biocombustíveis,Exploração._Refino_e_Distribuição,CSAN3
