Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,carteira_investidor_10,Papel
2.78,90.35,5.30,0.42,2.44,,COGN3
0.62,-91.98,-0.09,-0.02,0.00,,AZUL4
7.21,-35.64,12.29,0.47,4.26,,MGLU3
37.26,-22.83,24.39,7.04,2.15,,WEGE3
32.31,5.35,8.65,1.05,17.29,,PETR4
12.59,18.50,14.01,3.53,2.32,,B3SA3
54.26,-0.36,8.51,1.15,4.92,,VALE3
18.68,-24.11,4.92,0.59,12.55,,BBAS3
1.39,-52.88,-3.38,0.82,0.00,,RAIZ4
17.00,39.41,14.09,1.75,4.30,,LREN3
10.55,22.44,7.62,1.35,8.49,,ITSA4
5.94,-10.27,-4.83,0.56,0.00,,MRVE3
21.20,-1.66,3.83,1.15,6.26,,VBBR3
4.29,-26.16,9.33,0.22,0.00,,USIM5
9.63,-4.17,15.76,2.42,1.09,,ASAI3
15.66,24.18,8.02,0.95,7.94,,BBDC4
13.97,25.55,15.23,19.86,5.36,,STBP3
4.97,-24.92,-2.51,-4.64,0.00,,BEEF3
2.36,35.63,-16.23,2.39,0.00,,CVCB3
3.91,-2.73,6.14,1.70,6.93,,VAMO3
16.23,-2.19,10.07,0.60,3.94,,GGBR4
8.94,36.24,8.40,2.43,6.60,,POMO4
6.24,0.99,8.65,0.87,2.89,,MOVI3
15.02,-49.17,21.94,3.98,2.73,,RADL3
24.20,29.88,5.44,0.99,4.43,,CYRE3
12.39,11.57,13.24,2.11,7.44,,ABEV3
7.27,-35.95,-4.27,0.69,7.38,,CSNA3
35.76,28.38,9.23,1.92,7.67,,ITUB4
5.97,-53.36,-1.01,1.41,0.00,,CSAN3
39.51,25.40,12.40,2.53,1.16,,BPAC11
12.85,4.21,12.47,1.77,3.83,,MOTV3
18.00,-12.98,10.65,2.18,6.42,,KLBN11
20.27,-23.22,61.05,0.84,0.00,,BRAV3
9.02,-6.77,7.96,0.46,3.76,,GOAU4
9.57,-17.38,1.728.36,0.76,0.58,,AURE3
10.24,12.36,4.18,1.05,18.69,,CMIG4
40.62,-9.07,3.21,1.37,0.00,,PRIO3
0.54,-,-2.57,0.70,0.00,,AZTE3
32.17,39.57,17.79,1.52,3.13,,VIVT3
44.02,65.93,33.59,5.50,1.69,,TOTS3
11.77,26.29,11.93,1.34,6.88,,CPLE6
34.57,-18.95,19.46,1.42,5.17,,RENT3
78.64,103.75,27.23,3.20,0.33,,EMBR3
13.54,19.20,6.93,0.82,8.40,,BBDC3
3.03,-32.52,-0.24,0.14,0.00,,BHIA3
4.01,-7.60,69.38,0.82,1.80,,LWSA3
0.79,-88.03,-0.03,-0.40,0.00,,IFCM3
16.57,-23.82,-21.52,2.11,4.94,,RAIL3
3.57,-0.28,-5.14,2.86,0.00,,HBSA3
22.01,127.29,6.69,6.70,13.31,,MRFG3
33.84,8.15,7.59,6.45,10.90,,BBSE3
16.79,-21.14,8.27,1.23,4.19,,UGPA3
13.28,0.09,10.06,2.84,8.81,,CXSE3
37.84,5.08,9.01,0.72,4.64,,ELET3
33.42,24.15,18.74,3.06,2.24,,RDOR3
3.39,10.42,-0.87,0.60,0.00,,PCAR3
35.59,-44.95,-33.85,0.37,0.00,,HAPV3
5.41,0.00,-26.40,1.34,0.00,,CASH3
4.94,15.22,12.20,2.93,16.75,,CMIN3
107.60,25.02,7.18,1.92,3.45,,SBSP3
25.48,6.34,12.57,2.24,4.42,,MULT3
14.21,-3.70,12.39,1.49,7.15,,FLRY3
34.22,7.16,13.83,1.59,2.31,,EQTL3
5.14,40.14,3.28,0.61,7.26,,JHSF3
6.98,-32.48,7.21,0.74,3.64,,RAPT4
35.47,6.36,9.50,1.15,15.80,,PETR3
21.30,6.20,26.93,2.26,2.72,,SMFT3
3.63,22.99,12.60,0.62,13.92,,ANIM3
13.56,9.27,44.10,1.12,0.00,,ENEV3
25.00,-11.10,19.58,1.35,4.26,,HYPE3
21.64,4.55,13.63,0.87,5.10,,ALOS3
51.00,-3.83,-67.95,1.68,3.99,,SUZB3
21.51,36.75,14.36,2.07,8.35,,TIMS3
4.23,13.40,-48.05,1.18,7.14,,PETZ3
27.01,15.65,8.71,2.44,2.48,,VIVA3
