Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,carteira_investidor_10,Papel
"54,08","-4,69","8,48","1,15","4,95",,VALE3
"37,20","-24,44","24,36","7,03","2,15",,WEGE3
"0,67","-91,57","-0,09","-0,02","0,00",,AZUL4
"18,85","-23,30","4,96","0,59","12,89",,BBAS3
"2,73","86,93","5,21","0,41","2,41",,COGN3
"12,74","19,91","14,18","3,57","2,35",,B3SA3
"32,11","4,61","8,60","1,05","17,24",,PETR4
"7,16","-36,25","12,20","0,47","4,23",,MGLU3
"21,01","-3,88","3,80","1,14","6,20",,VBBR3
"5,95","-11,46","-4,83","0,56","0,00",,MRVE3
"10,42","20,68","7,53","1,33","8,56",,ITSA4
"4,40","-25,93","9,57","0,23","0,00",,USIM5
"9,81","-2,28","16,06","2,46","1,11",,ASAI3
"15,67","33,69","8,02","0,95","8,00",,BBDC4
"1,39","-52,88","-3,38","0,82","0,00",,RAIZ4
"16,98","41,38","14,07","1,75","4,43",,LREN3
"12,41","11,57","13,26","2,12","7,51",,ABEV3
"7,46","-34,27","-4,38","0,71","7,22",,CSNA3
"13,95","25,56","15,21","19,84","5,35",,STBP3
"5,82","-55,23","-0,99","1,38","0,00",,CSAN3
"16,26","-2,63","10,09","0,60","3,99",,GGBR4
"10,24","12,99","4,18","1,05","18,51",,CMIG4
"2,33","25,95","-16,03","2,36","0,00",,CVCB3
"9,75","-16,75","1.760,86","0,77","0,59",,AURE3
"6,14","-3,48","8,51","0,85","2,90",,MOVI3
"4,91","-24,11","-2,48","-4,58","0,00",,BEEF3
"3,87","-4,15","6,07","1,68","6,89",,VAMO3
"14,90","-46,61","21,77","3,95","2,97",,RADL3
"16,41","-26,87","-21,31","2,08","4,96",,RAIL3
"12,76","2,99","12,38","1,75","2,48",,MOTV3
"35,37","26,98","9,13","1,90","7,77",,ITUB4
"24,15","26,30","5,43","0,99","4,36",,CYRE3
"40,39","-12,21","3,20","1,36","0,00",,PRIO3
"34,19","-21,86","19,25","1,40","5,14",,RENT3
"39,09","20,47","12,26","2,51","1,16",,BPAC11
"19,16","-28,08","57,71","0,80","0,00",,BRAV3
"31,94","35,31","17,67","1,51","3,17",,VIVT3
"16,71","-23,92","8,23","1,23","4,14",,UGPA3
"8,71","37,63","8,18","2,37","6,47",,POMO4
"3,40","27,34","-0,87","0,60","0,00",,PCAR3
"9,05","-8,02","7,99","0,46","3,78",,GOAU4
"0,55",-,"-2,62","0,72","0,00",,AZTE3
"3,03","-27,86","-0,24","0,14","0,00",,BHIA3
"79,60","103,51","26,67","3,22","0,33",,EMBR3
"11,88","26,08","12,04","1,35","6,85",,CPLE6
"13,46","28,33","6,89","0,82","8,45",,BBDC3
"0,78","-88,86","-0,03","-0,39","0,00",,IFCM3
"43,74","61,06","33,38","5,46","1,69",,TOTS3
"21,29","115,66","6,48","6,49","13,23",,MRFG3
"18,26","-12,56","12,49","2,62","6,37",,KLBN11
"37,89","3,40","9,02","0,72","4,64",,ELET3
"35,14","4,49","9,41","1,14","15,74",,PETR3
"3,59","2,87","-5,17","2,87","0,00",,HBSA3
"33,60","6,46","7,77","5,76","10,95",,BBSE3
"25,25","5,34","12,46","2,22","4,35",,MULT3
"3,97","-9,36","68,69","0,82","1,81",,LWSA3
"21,08","4,34","26,65","2,24","2,74",,SMFT3
"4,04","11,29","-45,89","1,13","7,14",,PETZ3
"13,33","0,82","10,10","2,85","8,58",,CXSE3
"4,96","15,45","12,25","2,95","16,54",,CMIN3
"7,03","-32,95","7,26","0,75","3,58",,RAPT4
"1,10","25,00","-1,84","-1,81","0,00",,RCSL4
"21,34","31,60","14,25","2,06","8,60",,TIMS3
"8,52","-48,55","-0,73","-1,60","0,00",,BRKM5
"108,20","24,74","7,22","1,93","3,43",,SBSP3
"34,13","5,45","13,79","1,59","2,30",,EQTL3
"14,23","-4,44","12,41","1,49","7,14",,FLRY3
"3,77","24,13","13,08","0,64","14,18",,ANIM3
"11,87","37,23","1.268,11","1,36","0,00",,SRNA3
"5,49","-2,49","-26,79","1,36","0,00",,CASH3
"33,88","-47,47","-32,22","0,35","0,00",,HAPV3
"33,15","20,42","18,59","3,04","2,30",,RDOR3
"12,62","22,17","11,42","1,18","4,39",,YDUQ3
"5,13","39,52","3,28","0,61","7,22",,JHSF3
"50,61","-4,51","-67,43","1,67","3,90",,SUZB3
"15,82","-7,64","5,33","0,72","12,92",,BRAP4
"21,54","2,89","13,57","0,87","5,10",,ALOS3
"13,45","7,09","43,74","1,11","0,00",,ENEV3
"25,19","25,75","6,87","1,15","6,46",,CSMG3
"14,18","-19,30","14,37","2,60","2,26",,GGPS3
"20,74","0,12","27,55","2,01","3,21",,IGTI11
"3,46","-59,54","9,21","0,95","3,98",,ARML3
"19,64","-4,40","8,62","2,06","3,47",,BRFS3
"25,16","-8,00","19,70","1,36","4,14",,HYPE3
"26,66","13,16","8,60","2,41","2,57",,VIVA3
"4,34","-32,72","-16,05","1,34","1,63",,SIMH3
"17,68","15,80","13,61","2,83","6,27",,PORT3
"17,57","104,08","14,04","1,66","2,24",,CEAB3
"13,81","-34,62","9,93","1,47","3,48",,INTB3
"0,54","-62,76","-0,38","0,14","0,00",,AZEV3
"0,55","-61,54","-0,39","0,14","0,00",,AZEV4
"24,94","39,50","7,00","0,86","3,34",,NEOE3
"5,61","-21,19","17,85","0,67","0,96",,DXCO3
"5,18","-91,65","0,14","0,23","0,00",,AMER3
"5,00","-7,85","6,36","1,15","9,61",,GRND3
"6,87","-10,55","6,33","1,27","4,58",,ECOR3
"0,52","-87,59","0,01","-0,01","0,00",,OIBR3
