P/L,P/RECEITA_(PSR),P/VP,DY,PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Papel
12.94,0.13,0.45,4.43,58.49,1.01,30.66,4.37,7.84,3.02,5.42,1.66,2.98,0.14,1.16,-0.28,15.00,0.52,1.04,3.48,7.47,1.04,0.37,1.36,2.44,0.56,0.30,0.70,1.29,5.60,-0.31,MGLU3
5.05,0.79,0.98,18.51,94.39,15.69,49.10,27.00,35.79,4.13,5.47,2.22,2.94,0.33,-9.03,-0.38,30.97,6.00,0.42,19.38,12.74,6.62,0.80,1.81,2.40,0.93,0.34,0.66,0.76,12.63,65.59,PETR4
13.56,6.06,3.31,2.36,32.31,44.65,90.57,58.91,62.60,9.66,10.27,9.68,10.28,1.39,6.43,-2.13,3.75,0.91,0.23,24.40,13.40,10.24,0.00,-0.01,-0.01,0.74,0.42,0.58,2.62,2.94,3.02,B3SA3
4.73,0.78,0.42,2.39,11.27,16.49,68.20,22.32,55.40,2.87,7.12,1.41,3.50,0.22,3.55,-0.27,6.70,0.59,0.28,8.84,6.47,5.15,0.43,1.46,3.62,0.51,0.53,0.42,1.53,5.03,,COGN3
23.52,3.68,6.79,2.25,52.29,15.65,33.61,19.82,22.08,16.40,18.27,16.67,18.56,3.78,13.65,-10.37,5.29,1.53,1.03,28.86,26.58,16.97,-0.11,-0.27,-0.30,0.12,0.56,0.42,1.77,18.58,23.05,WEGE3
8.13,0.72,0.97,7.91,54.45,8.83,31.68,8.22,0.00,,8.11,,8.73,0.08,0.60,-0.41,16.43,1.95,0.11,11.89,10.09,0.98,,,,,0.08,0.92,1.19,24.03,4.85,BBDC4
-0.44,0.02,-0.02,0.00,0.00,-5.57,29.19,17.10,30.98,5.08,9.20,0.08,0.14,0.02,-0.04,-0.03,-29.06,-1.31,0.78,-4.49,42.77,-4.35,-1.22,4.89,8.86,-1.32,-0.97,1.97,0.34,29.62,,AZUL4
15.00,3.68,15.23,3.58,275.91,24.53,57.10,44.73,53.11,8.12,9.65,6.93,8.22,2.21,74.87,-2.76,0.93,0.94,0.60,101.58,32.41,14.75,2.64,1.20,1.42,3.35,0.15,0.85,1.18,29.01,,STBP3
8.32,1.15,1.13,8.56,74.56,13.81,34.24,20.82,29.11,5.04,7.04,3.95,5.52,0.49,14.18,-0.61,47.19,6.38,0.42,13.52,12.24,5.65,0.31,1.09,1.52,0.45,0.43,0.55,1.22,0.10,2.28,VALE3
7.21,0.39,0.63,11.92,86.26,5.48,34.96,2.96,0.00,,13.35,,13.35,0.05,3.17,-0.44,31.76,2.77,0.12,8.71,-0.90,0.77,,,,,0.07,0.92,1.02,18.92,7.14,BBAS3
-1.51,0.04,0.66,0.00,-1.45,-2.84,4.48,0.68,4.43,6.15,39.95,0.97,6.27,0.08,0.60,-0.14,1.57,-0.69,1.85,-44.05,1.21,-5.22,3.56,5.19,33.68,4.46,0.12,0.88,1.45,,,RAIZ4
12.96,2.08,2.07,8.74,98.64,16.08,51.50,25.06,32.90,5.86,7.69,6.34,8.32,1.34,48.78,-1.89,5.87,0.94,0.65,15.95,19.15,10.68,-0.16,-0.48,-0.63,0.03,0.65,0.34,1.11,9.46,5.30,ABEV3
-2.81,0.41,0.78,0.00,0.00,-14.61,27.82,-3.61,-1.27,-92.70,-32.64,-32.32,-11.38,0.15,0.67,-0.32,9.16,-2.55,0.36,-27.79,-4.30,-5.28,1.46,-60.38,-21.26,1.52,0.19,0.78,1.68,8.10,,MRVE3
8.70,0.19,0.21,0.00,0.00,2.15,8.21,3.61,8.28,3.26,7.46,2.26,5.18,0.12,0.37,-0.22,19.37,0.46,0.66,2.37,2.54,1.31,0.04,0.42,0.96,0.32,0.60,0.33,4.16,10.73,-16.26,USIM5
14.39,0.17,2.37,1.08,15.73,1.21,16.67,5.36,7.59,4.39,6.22,2.29,3.25,0.30,9.25,-0.45,4.14,0.68,1.72,16.47,17.94,2.08,2.17,2.10,2.97,2.96,0.13,0.87,1.11,16.18,-9.94,ASAI3
