Valor_de_mercado,Valor_de_firma,Patrimônio_Líquido,Nº_total_de_papeis,Ativos,Ativo_Circulante,Dívida_Bruta,Dívida_Líquida,Disponibilidade,Tag_Along,Segmento_de_Listagem,Free_Float,Setor,Segmento,Papel
4988217000,9082102000,11085083000,738995000,36913613000,19219372000,6207503000,4093885000,2113618000,100.00,Novo_Mercado,47.83,Consumo_Cíclico,Eletrodomésticos,MGLU3
408905507000,728495507000,399222000000,12888732000,1174890000000,135859000000,371437000000,319590000000,51847000000,100.00,Nível_2,60.70,Petróleo._Gás_e_Biocombustíveis,Exploração._Refino_e_Distribuição,PETR4
65304600000,65221256000,19736147000,5266500000,47031043000,16426800000,14538149000,-83344000,14621493000,100.00,Nível_1,99.37,Financeiro,Serviços_Financeiros_Diversos,B3SA3
5254497000,10693843000,12565444000,1876606000,23649420000,4264420000,6383633000,5439346000,944287000,100.00,Novo_Mercado,99.78,Consumo_Cíclico,Serviços_Educacionais,COGN3
150767662000,148368283000,22215931000,4197317000,39836839000,25299344000,2584148000,-2399379000,4983527000,100.00,Novo_Mercado,35.30,Bens_Industriais,Motores._Compressores_e_Outros,WEGE3
156214560000,156214560000,174053985000,10592012000,2147570089000,1740446958000,,,222829387000,80.00,Nível_1,62.16,Financeiro,Bancos,BBDC4
1224065000,33072136000,-26040457000,896039000,26897041000,7180125000,34441141000,31848071000,2593070000,100.00,Nível_2,50.56,Bens_Industriais,Transporte_Aéreo,AZUL4
12210727000,14323395000,801593000,864170000,5519521000,1091879000,2684455000,2112668000,571787000,100.00,Novo_Mercado,99.02,Bens_Industriais,Serviços_de_Apoio_e_Armazenagem,STBP3
241021302000,307317302000,214175000000,4539007000,493226000000,95964000000,97383000000,66296000000,31087000000,100.00,Novo_Mercado,94.09,Materiais_Básicos,Minerais_Metálicos,VALE3
114272830000,114272830000,181990739000,5730834000,2441421369000,2182834893000,,,64935263000,100.00,Novo_Mercado,49.60,Financeiro,Bancos,BBAS3
10766609000,68619167000,16240566000,10352509000,135725711000,57921048000,72448838000,57852558000,14596280000,100.00,Nível_1,11.52,Consumo_não_Cíclico,Açucar_e_Alcool,RAIZ4
191188678000,176821864000,92471636000,15761638000,142157543000,40791956000,3157764000,-14366814000,17524578000,80.00,Tradicional,27.89,Consumo_não_Cíclico,Cervejas_e_Refrigerantes,ABEV3
4029838000,11559314000,5158009000,562826000,27411776000,14896393000,7852042000,7529476000,322566000,100.00,Novo_Mercado,66.65,Consumo_Cíclico,Incorporações,MRVE3
6291321000,7221453000,24277714000,1253079000,40655884000,18064823000,7674093000,930132000,6743961000,0.00,Nível_1,53.95,Materiais_Básicos,Siderurgia,USIM5
13264541000,25404541000,5599000000,1352144000,44303000000,15053000000,16599000000,12140000000,4459000000,100.00,Nível_1,99.82,Consumo_não_Cíclico,Alimentos,ASAI3
16857435000,15657246000,10300491000,1059549000,18735315000,10994642000,590597000,-1200189000,1790786000,100.00,Novo_Mercado,98.89,Consumo_Cíclico,Tecidos._Vestuário_e_Calçados,LREN3
23185680000,44253680000,20849000000,1119000000,59651000000,24050000000,25419000000,21068000000,4351000000,100.00,Novo_Mercado,99.61,Petróleo._Gás_e_Biocombustíveis,Exploração._Refino_e_Distribuição,VBBR3
372750467000,372750467000,208547000000,10784548000,2877420000000,2696898000000,,,32177000000,80.00,Nível_1,52.98,Financeiro,Bancos,ITUB4
3999820000,16416310000,2604224000,1081032000,22443444000,5867397000,16484425000,12416490000,4067935000,100.00,Nível_1,37.63,Bens_Industriais,Material_de_Transporte,VAMO3
26623600000,58910269000,14702536000,2020000000,64511989000,10346826000,38965561000,32286669000,6678892000,100.00,Novo_Mercado,49.27,Bens_Industriais,Exploração_de_Rodovias,MOTV3
31532050000,40648559000,54922968000,2028194000,86854070000,33306852000,18090359000,9116509000,8973850000,100.00,Nível_1,58.69,Materiais_Básicos,Siderurgia,GGBR4
116060599000,120171599000,89574000000,10993810000,114124000000,13025000000,11434000000,4111000000,7323000000,80.00,Nível_1,65.74,Financeiro,Holdings_Diversificadas,ITSA4
3242893000,17407793000,1427622000,607283000,44477422000,27410025000,26712856000,14164900000,12547956000,100.00,Novo_Mercado,42.98,Consumo_não_Cíclico,Carnes_e_Derivados,BEEF3
10172811000,63420857000,7191060000,1866570000,126036274000,26882697000,66775935000,53248046000,13527889000,100.00,Novo_Mercado,62.18,Petróleo._Gás_e_Biocombustíveis,Exploração._Refino_e_Distribuição,CSAN3
1061694000,1278577000,468360000,525591000,3765057000,2223770000,545855000,216883000,328972000,100.00,Novo_Mercado,100.00,Consumo_Cíclico,Viagens_e_Turismo,CVCB3
2456408000,18504905000,2648975000,362302000,29775568000,7615071000,19487574000,16048497000,3439077000,100.00,Novo_Mercado,33.63,Consumo_Cíclico,Aluguel_de_carros,MOVI3
9030699000,41441132000,13904040000,1326093000,101070743000,34699821000,51567038000,32410433000,19156605000,0.00,Tradicional,54.26,Materiais_Básicos,Siderurgia,CSNA3
11060480000,30798078000,12683764000,1050377000,49202800000,8733253000,24670766000,19737598000,4933168000,100.00,Novo_Mercado,29.18,Utilidade_Pública,Energia_Elétrica,AURE3
28027069000,43167599000,13404714000,1854868000,50595277000,8862415000,21232059000,15140530000,6091529000,100.00,Novo_Mercado,100.00,Bens_Industriais,Transporte_Ferroviário,RAIL3
34771675000,47056755000,28473167000,2861781000,63411229000,13612195000,15263937000,12285080000,2978857000,0.00,Nível_1,81.34,Utilidade_Pública,Energia_Elétrica,CMIG4
20112594000,35065065000,16073684000,1115507000,45608193000,16857052000,18937993000,14952471000,3985522000,100.00,Novo_Mercado,97.66,Petróleo._Gás_e_Biocombustíveis,Exploração._Refino_e_Distribuição,UGPA3
9341172000,10698056000,4175411000,1136271000,9494733000,5717711000,3311553000,1356884000,1954669000,80.00,Nível_2,76.12,Bens_Industriais,Material_Rodoviário,POMO4
9469440000,13092034000,9786076000,384000000,23414787000,13227798000,6889686000,3622594000,3267092000,100.00,Novo_Mercado,66.22,Consumo_Cíclico,Incorporações,CYRE3
33684689000,51960464000,26180888000,896346000,55437714000,9062136000,23035331000,18275775000,4759556000,100.00,Novo_Mercado,89.53,Petróleo._Gás_e_Biocombustíveis,Exploração._Refino_e_Distribuição,PRIO3
34541418000,51523557000,25596150000,2982810000,60742037000,12093928000,19887878000,16982139000,2905739000,100.00,Nível_2,100.00,Utilidade_Pública,Energia_Elétrica,CPLE6
36332751000,69653028000,25487173000,1082620000,81318753000,17427494000,41569526000,33320277000,8249249000,100.00,Novo_Mercado,79.72,Consumo_Cíclico,Aluguel_de_carros,RENT3
211855933000,211855933000,63703322000,11506119000,545461564000,473688143000,,,1375548000,100.00,Nível_1,29.94,Financeiro,Bancos,BPAC11
8735851000,21024615000,12250519000,464179000,43454299000,7535744000,16880450000,12288764000,4591686000,100.00,Novo_Mercado,99.91,Petróleo._Gás_e_Biocombustíveis,Exploração._Refino_e_Distribuição,BRAV3
109992974000,120854560000,68076737000,3226546000,126475682000,26337387000,20315690000,10861586000,9454104000,80.00,Tradicional,24.64,Telecomunicações,Telecomunicações,VIVT3
25120920000,24719380000,4897167000,599401000,8962553000,3169357000,1692700000,-401540000,2094240000,100.00,Novo_Mercado,87.53,Tecnologia_da_Informação,Programas_e_Serviços,TOTS3
1470531000,4096531000,2553000000,490177000,18363000000,5218000000,4411000000,2626000000,1785000000,100.00,Novo_Mercado,77.40,Consumo_não_Cíclico,Alimentos,PCAR3
30855409000,33946515000,6671833000,1718007000,23052470000,13277609000,3696405000,3091106000,605299000,100.00,Novo_Mercado,74.49,Saúde,Medicamentos_e_Outros_Produtos,RADL3
2744981000,5388240000,2203050000,760382000,6876136000,2378352000,3738632000,2643259000,1095373000,100.00,Novo_Mercado,99.93,Bens_Industriais,Transporte_Hidroviário,HBSA3
8947003000,18049573000,19373882000,993705000,86914266000,33366538000,18090359000,9102570000,8987789000,100.00,Nível_1,70.19,Materiais_Básicos,Siderurgia,GOAU4
270047000,8814047000,1539000000,95086000,33525000000,14020000000,10427000000,8544000000,1883000000,100.00,Novo_Mercado,99.75,Consumo_Cíclico,Eletrodomésticos,BHIA3
156214560000,156214560000,174053985000,10592012000,2147570089000,1740446958000,,,222829387000,100.00,Nível_1,62.16,Financeiro,Bancos,BBDC3
2290947000,2027182000,2754104000,562886000,3831464000,1168227000,81473000,-263765000,345238000,100.00,Novo_Mercado,71.83,Tecnologia_da_Informação,Programas_e_Serviços,LWSA3
