Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,carteira_investidor_10,Papel
6.75,-49.62,12.94,0.45,4.43,,MGLU3
30.34,-7.76,5.05,0.98,18.51,,PETR4
12.40,-1.74,13.56,3.31,2.36,,B3SA3
2.80,102.52,4.73,0.42,2.39,,COGN3
35.92,-31.56,23.52,6.79,2.25,,WEGE3
15.87,9.09,8.13,0.97,7.91,,BBDC4
0.57,-92.59,-0.44,-0.02,0.00,,AZUL4
14.13,18.75,15.00,15.23,3.58,,STBP3
53.10,-2.80,8.32,1.13,8.56,,VALE3
19.94,-27.46,7.21,0.63,11.92,,BBAS3
1.04,-68.48,-1.51,0.66,0.00,,RAIZ4
12.13,0.03,12.96,2.07,8.74,,ABEV3
7.16,-4.79,-2.81,0.78,0.00,,MRVE3
4.00,-37.98,8.70,0.21,0.00,,USIM5
9.81,-2.47,14.39,2.37,1.08,,ASAI3
15.91,7.47,12.32,1.64,4.63,,LREN3
20.72,-15.44,4.12,1.11,6.39,,VBBR3
36.47,15.99,9.18,1.89,8.49,,ITUB4
3.70,-2.64,6.24,1.54,7.23,,VAMO3
13.18,-0.15,12.79,1.81,3.81,,MOTV3
16.11,-6.43,9.99,0.59,3.94,,GGBR4
10.66,10.25,7.55,1.31,10.15,,ITSA4
5.34,-31.89,-3.83,2.27,0.00,,BEEF3
5.45,-60.71,-0.87,1.41,0.00,,CSAN3
2.02,-0.98,-10.55,2.27,0.00,,CVCB3
6.78,-7.65,8.58,0.93,2.66,,MOVI3
6.81,-42.72,-4.00,0.65,8.02,,CSNA3
10.53,-8.14,-15.79,0.87,0.55,,AURE3
15.11,-33.35,43.45,2.09,5.26,,RAIL3
10.83,7.25,4.77,1.09,18.11,,CMIG4
18.03,-21.42,6.90,1.25,2.61,,UGPA3
8.91,36.56,8.37,2.42,6.44,,POMO4
24.66,16.11,5.62,0.97,4.32,,CYRE3
37.58,-21.43,3.18,1.29,0.00,,PRIO3
11.95,21.31,11.71,1.39,6.90,,CPLE6
33.56,-19.54,15.62,1.43,5.22,,RENT3
43.20,20.13,12.35,2.60,2.44,,BPAC11
18.82,-32.91,5.57,0.71,0.00,,BRAV3
34.09,37.94,18.86,1.62,2.95,,VIVT3
41.91,40.97,29.23,5.13,1.22,,TOTS3
3.00,-8.26,-0.82,0.58,0.00,,PCAR3
17.96,-35.37,25.22,4.62,2.35,,RADL3
3.61,0.00,-7.03,1.25,0.00,,HBSA3
9.00,-10.01,7.95,0.46,3.76,,GOAU4
2.84,-53.44,-0.15,0.18,0.00,,BHIA3
13.63,4.72,6.98,0.83,8.37,,BBDC3
4.07,-17.58,76.32,0.83,3.01,,LWSA3
1.13,36.14,-1.69,-1.52,0.00,,RCSL4
75.50,69.61,26.15,3.07,0.09,,EMBR3
0.48,-89.09,-0.15,-0.18,0.00,,IFCM3
18.12,-14.47,10.72,2.20,6.03,,KLBN11
31.90,-6.05,7.15,6.08,13.11,,BBSE3
0.52,-,-2.48,0.68,0.00,,AZTE3
6.58,-41.26,10.99,0.71,3.93,,RAPT4
23.10,85.52,7.00,6.99,12.09,,MRFG3
32.74,-8.45,5.45,1.06,17.09,,PETR3
3.92,-18.50,-112.12,1.08,7.39,,PETZ3
12.06,32.53,103.71,1.40,0.00,,SRNA3
23.13,0.92,25.56,2.40,2.47,,SMFT3
13.69,0.43,9.48,3.08,8.63,,CXSE3
26.38,0.94,13.01,2.32,4.30,,MULT3
42.06,10.75,14.64,0.82,8.46,,ELET3
7.83,-55.79,-1.07,-1.64,0.00,,BRKM5
4.79,3.02,11.83,2.84,17.38,,CMIN3
35.17,-0.37,12.01,1.57,2.26,,EQTL3
4.91,-23.16,11.36,1.05,0.00,,CASH3
15.75,-12.11,5.72,0.71,12.78,,BRAP4
22.38,33.20,14.94,2.16,7.98,,TIMS3
14.08,2.70,-103.78,1.14,0.00,,ENEV3
13.00,31.35,12.58,1.24,4.36,,YDUQ3
14.04,-6.36,12.67,1.43,7.09,,FLRY3
21.89,-3.67,29.08,2.12,3.12,,IGTI11
37.56,15.82,20.91,3.39,1.99,,RDOR3
37.74,-44.82,-39.64,0.39,0.00,,HAPV3
5.42,32.53,3.23,0.62,6.83,,JHSF3
3.17,-9.94,9.11,0.54,1.70,,ANIM3
15.61,68.52,9.58,1.39,2.48,,CEAB3
5.61,-32.02,23.91,0.68,0.96,,DXCO3
19.43,-21.99,9.12,1.94,3.54,,BRFS3
22.64,1.94,16.67,0.91,4.85,,ALOS3
115.76,19.69,7.09,1.96,3.23,,SBSP3
0.53,-62.14,-0.80,0.13,0.00,,AZEV4
