Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,Papel,P/RECEITA_(PSR),PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Valor_de_mercado,Valor_de_firma,Patrimônio_Líquido,Nº_total_de_papeis,Ativos,Ativo_Circulante,Dívida_Bruta,Dívida_Líquida,Disponibilidade,Tag_Along,Segmento_de_Listagem,Free_Float,Setor,Segmento,Ticker_Img
"54,08","-4,69","8,48","1,15","4,95",VALE3,"1,17","74,56","13,81","34,24","20,82","29,11","5,11","7,14","4,02","5,63","0,50","14,44","-0,62","47,19","6,38","0,42","13,52","12,24","5,65","0,31","1,09","1,52","0,45","0,43","0,55","1,22","0,10","2,28",245.469.529.000,311.765.529.000,214.175.000.000,4.539.007.000,493.226.000.000,95.964.000.000,97.383.000.000,66.296.000.000,31.087.000.000,"100,00",Novo_Mercado,"94,09",Materiais_Básicos,Minerais_Metálicos,https://investidor10.com.br/storage/companies/66d8a81d2f056.jpg
"37,20","-24,44","24,36","7,03","2,15",WEGE3,"3,81","49,79","15,65","33,61","19,82","22,08","17,00","18,93","17,26","19,23","3,92","14,14","-10,74","5,29","1,53","1,03","28,86","26,58","16,97","-0,11","-0,27","-0,30","0,12","0,56","0,42","1,77","18,58","23,05",156.140.229.000,153.740.850.000,22.215.931.000,4.197.317.000,39.836.839.000,25.299.344.000,2.584.148.000,-2.399.379.000,4.983.527.000,"100,00",Novo_Mercado,"35,30",Bens_Industriais,"Motores,_Compressores_e_Outros",https://investidor10.com.br/storage/companies/66ad4109e41c8.jpg
"0,67","-91,57","-0,09","-0,02","0,00",AZUL4,"0,03","0,00","-31,85","30,81","20,11","33,77","5,05","8,48","0,09","0,15","0,02","-0,05","-0,03","-31,75","-7,20","0,79","-22,66","64,70","-25,24","-1,16","4,84","8,13","-1,22","-1,11","2,11","0,35","28,65",,1.438.814.000,34.531.195.000,-28.451.132.000,896.039.000,25.548.693.000,5.960.923.000,34.693.507.000,33.092.381.000,1.601.126.000,"100,00",Nível_2,"50,56",Bens_Industriais,Transporte_Aéreo,https://investidor10.com.br/storage/companies/66db24b1839ea.jpg
"18,85","-23,30","4,96","0,59","12,89",BBAS3,"0,39","62,82","7,81","36,83","6,66","0,00",,"5,82",,"5,82","0,04","4,35","-0,41","31,72","3,80","0,11","11,97","6,85","1,02",,,,,"0,07","0,88","1,01","18,01","13,16",108.026.221.000,108.026.221.000,181.793.664.000,5.730.834.000,2.427.051.877.000,2.160.716.659.000,,,71.510.833.000,"100,00",Novo_Mercado,"49,60",Financeiro,Bancos,https://investidor10.com.br/storage/companies/66ad149f52cd4.jpg
"2,73","86,93","5,21","0,41","2,41",COGN3,"0,79","12,73","15,13","67,94","21,89","56,30","2,89","7,43","1,40","3,60","0,21","3,93","-0,26","6,63","0,52","0,27","7,90","5,76","4,50","0,44","1,49","3,83","0,55","0,51","0,44","1,38","4,29",,5.123.134.000,10.575.221.000,12.444.512.000,1.876.606.000,24.203.940.000,4.711.693.000,6.873.792.000,5.452.087.000,1.421.705.000,"100,00",Novo_Mercado,"99,78",Consumo_Cíclico,Serviços_Educacionais,https://investidor10.com.br/storage/companies/6822c6161bd41.png
"12,74","19,91","14,18","3,57","2,35",B3SA3,"6,23","32,86","43,97","89,93","59,29","62,91","9,96","10,57","9,91","10,51","1,45","7,85","-2,22","3,57","0,90","0,23","25,18","13,91","10,22","0,02","0,05","0,06","0,79","0,41","0,59","2,13","2,91","2,66",67.095.210.000,67.457.901.000,18.794.551.000,5.266.500.000,46.292.029.000,16.116.282.000,14.881.775.000,362.691.000,14.519.084.000,"100,00",Nível_1,"99,37",Financeiro,Serviços_Financeiros_Diversos,https://investidor10.com.br/storage/companies/66cc9bbe835dc.jpg
"32,11","4,61","8,60","1,05","17,24",PETR4,"0,83","153,59","9,70","49,67","27,45","35,26","4,36","5,60","2,37","3,04","0,36","-8,45","-0,40","30,71","3,73","0,43","12,16","14,47","4,23","0,82","1,86","2,40","0,94","0,34","0,65","0,72","12,77","50,67",436.407.170.000,762.683.170.000,395.841.000.000,12.888.732.000,1.147.716.000.000,124.853.000.000,370.314.000.000,326.276.000.000,44.038.000.000,"100,00",Nível_2,"60,70","Petróleo,_Gás_e_Biocombustíveis","Exploração,_Refino_e_Distribuição",https://investidor10.com.br/storage/companies/63d2c9ead34db.jpg
"7,16","-36,25","12,20","0,47","4,23",MGLU3,"0,14","52,02","1,14","30,75","4,29","7,78","2,74","4,97","1,78","3,23","0,15","1,74","-0,30","15,37","0,59","1,07","3,82","9,09","1,22","0,25","0,96","1,74","0,40","0,32","0,68","1,20","5,53","2,05",5.291.205.000,8.148.058.000,11.357.897.000,738.995.000,35.577.093.000,18.058.921.000,4.590.398.000,2.856.853.000,1.733.545.000,"100,00",Novo_Mercado,"47,83",Consumo_Cíclico,Eletrodomésticos,https://investidor10.com.br/storage/companies/66db00b69d4ad.jpg
"21,01","-3,88","3,80","1,14","6,20",VBBR3,"0,13","23,64","3,49","4,77","4,93","5,29","4,72","5,08","2,50","2,69","0,38","1,87","-0,65","18,37","5,53","2,85","30,13","14,38","9,93","1,02","2,22","2,39","1,28","0,33","0,66","1,94","16,85","9,61",23.510.190.000,44.387.190.000,20.557.000.000,1.119.000.000,62.234.000.000,25.968.000.000,26.350.000.000,20.877.000.000,5.473.000.000,"100,00",Novo_Mercado,"99,61","Petróleo,_Gás_e_Biocombustíveis","Exploração,_Refino_e_Distribuição",https://investidor10.com.br/storage/companies/677fd4c260a54.png
"5,95","-11,46","-4,83","0,56","0,00",MRVE3,"0,36","0,00","-7,38","27,02","3,64","5,75","22,55","35,64","6,20","9,80","0,12","0,81","-0,21","10,65","-1,23","0,33","-11,55","1,03","-2,35","1,47","16,35","25,84","1,56","0,21","0,76","1,47","7,15",,3.348.818.000,12.178.176.000,5.996.125.000,562.826.000,28.758.188.000,12.945.859.000,9.363.441.000,8.829.358.000,534.083.000,"100,00",Novo_Mercado,"66,65",Consumo_Cíclico,Incorporações,https://investidor10.com.br/storage/companies/66db00593c19d.jpg
