"Ticker","Nome","Negócios","Última (R$)","Variação"
"BBAS3","Banco do Brasil","35.932.600","20,21","+1,61%"
"WEGE3","WEG","31.116.000","38,01","-8,01%"
"AZUL4","Azul","28.428.900","0,67","+1,52%"
"COGN3","Cogna","28.410.800","2,64","+2,72%"
"PETR4","Petrobras","27.418.600","31,99","+2,04%"
"BBDC4","Banco Bradesco","23.447.100","15,88","+1,60%"
"B3SA3","B3","20.683.700","13,39","+2,45%"
"MGLU3","Magazine Luiza","19.534.600","7,80","+4,00%"
"STBP3","Santos Brasil","18.850.500","13,86","-0,36%"
"VALE3","Vale","17.914.800","57,42","-0,14%"
"USIM5","Usiminas","16.457.200","4,36","+2,59%"
"MRVE3","MRV","16.374.300","6,21","+4,19%"
"RAIZ4","Raízen","15.495.800","1,54","+5,48%"
"ABEV3","Ambev","15.345.700","13,59","+1,42%"
"ASAI3","Assaí","13.779.200","9,68","+0,52%"
"VBBR3","Vibra Energia","13.083.900","20,21","+1,10%"
"LREN3","Lojas Renner","12.912.300","17,63","+1,21%"
"ITUB4","Itaú Unibanco","12.885.400","35,39","+1,11%"
"CSAN3","Cosan","12.684.800","5,87","+2,26%"
"BEEF3","Minerva","11.465.200","5,24","+2,95%"
"CVCB3","CVC","11.198.100","2,43","+4,74%"
"ITSA4","Itaúsa","11.003.100","10,54","+1,35%"
"MOVI3","Movida","10.989.800","6,26","+2,12%"
"VAMO3","Grupo Vamos","9.576.100","3,89","-1,52%"
"GGBR4","Gerdau","9.446.300","17,22","+1,83%"
"MOTV3","Motiva","8.937.000","12,53","+1,54%"
"CSNA3","Siderúrgica Nacional","8.581.700","8,77","+2,45%"
"CYRE3","Cyrela","8.451.700","25,94","+0,89%"
"CMIG4","Cemig","8.378.100","10,58","+2,22%"
"POMO4","Marcopolo","8.325.900","8,37","+0,97%"
"AURE3","Auren Energia","7.672.500","9,72","+3,18%"
"RAIL3","Rumo","7.142.900","17,09","+1,79%"
"UGPA3","Ultrapar","6.777.800","16,26","+3,90%"
"PRIO3","PetroRio","6.731.400","42,47","-0,26%"
"CPLE6","Copel","6.726.400","11,88","+1,54%"
"BPAC11","Banco BTG Pactual","6.641.600","40,39","+1,79%"
"PCAR3","Grupo Pão de Açúcar","6.559.500","3,44","+1,78%"
"RENT3","Localiza","6.541.700","36,23","+1,20%"
"BRAV3","3R Petroleum","6.508.600","19,18","+2,84%"
"RADL3","RaiaDrogasil","6.378.000","14,17","+0,93%"
"TOTS3","Totvs","6.175.300","42,87","+2,90%"
"HBSA3","Hidrovias do Brasil","6.011.700","3,77","+2,72%"
"VIVT3","Vivo","5.830.000","30,70","+1,29%"
"LWSA3","Locaweb","5.480.300","3,90","-1,27%"
"GOAU4","Metalúrgica Gerdau","5.411.400","9,63","+2,45%"
"BBDC3","Banco Bradesco","5.390.300","13,63","+1,64%"
"BHIA3","Casas Bahia","5.376.700","3,12","+5,05%"
"IFCM3","Infracommerce","5.152.700","0,04","+0,00%"
"RCSL4","Recrusul","5.148.500","1,09","+1,87%"
"EMBR3","Embraer","5.026.300","68,46","+1,18%"
"KLBN11","Klabin","4.897.800","18,69","+0,38%"
"AZTE3","AZT Energia","4.892.500","0,55","-1,79%"
"RAPT4","Randon","4.802.400","7,29","+2,24%"
"MRFG3","Marfrig","4.631.600","23,22","+0,96%"
"BBSE3","BB Seguridade","4.542.600","33,78","+0,33%"
"PETR3","Petrobras","4.535.600","34,84","+2,23%"
"SRNA3","Serena Energia","4.529.300","11,78","-0,08%"
"ELET3","Eletrobras","4.502.200","38,78","+0,36%"
"CMIN3","CSN Mineração","4.479.400","5,37","+0,75%"
"SMFT3","Smart Fit","4.217.900","21,60","+1,79%"
"CXSE3","Caixa Seguridade","4.146.500","13,73","+0,44%"
"PETZ3","Petz","4.070.900","3,99","+0,00%"
"BRKM5","Braskem","3.908.200","9,01","+3,09%"
"MULT3","Multiplan","3.817.600","25,75","+2,63%"
"TIMS3","TIM","3.546.100","20,00","+0,70%"
"CASH3","Méliuz","3.545.800","5,97","-4,48%"
"EQTL3","Equatorial Energia","3.416.700","34,60","+1,97%"
"ENEV3","Eneva","3.404.400","13,99","+1,38%"
"YDUQ3","YDUQS","3.218.100","13,01","+0,39%"
"BRAP4","Bradespar","3.214.600","16,98","+0,24%"
"FLRY3","Fleury","3.109.600","14,51","+0,83%"
"IGTI11","Iguatemi","3.000.500","21,34","+1,67%"
"IGTI11","Jereissati Participações","3.000.500","21,34","+1,67%"
"RDOR3","Rede D'Or","2.938.800","33,10","+1,16%"
"JHSF3","JHSF","2.898.600","5,20","+3,38%"
"HAPV3","Hapvida","2.889.200","31,82","+2,25%"
"ANIM3","Ânima Educação","2.874.800","3,65","+2,53%"
"ALOS3","Allos","2.745.500","21,52","+1,70%"
"AZEV4","Azevedo & Travassos","2.726.300","0,56","+5,66%"
"SBSP3","Sabesp","2.650.100","110,94","+0,77%"
"SUZB3","Suzano","2.640.500","51,75","+0,96%"
"BRFS3","BRF","2.554.400","21,75","-1,85%"
"CEAB3","C&A","2.496.000","17,27","+4,10%"
