p_l,p_receita_psr,p_vp,dy,payout,margem_líquida,margem_bruta,margem_ebit,margem_ebitda,ev_ebit,p_ebit,p_ativo,p_capgiro,p_ativo_circ_liq,vpa,lpa,giro_ativos,roe,roic,roa,patrimônio___ativos,passivos___ativos,liquidez_corrente,cagr_receitas_5_anos,cagr_lucros_5_anos,papel,ev_ebitda,p_ebitda,dívida_líquida___patrimônio,dívida_líquida___ebitda,dívida_líquida___ebit,dívida_bruta___patrimônio
7.45,0.41,0.65,8.27,62.35,5.48,34.96,2.96,0.00,13.80,13.80,0.05,3.27,0.46,31.76,2.77,0.12,8.71,0.90,0.77,0.07,0.92,1.02,18.92,7.14,bbas3,,,,,,
0.84,0.05,0.04,0.00,0.00,5.57,29.19,17.10,30.98,9.52,0.27,0.04,0.07,0.05,29.06,1.31,0.78,4.49,42.77,4.35,0.97,1.97,0.34,29.62,,azul4,5.26,0.15,1.22,4.89,8.86,1.32
5.10,0.84,0.45,2.22,11.27,16.49,68.20,22.32,55.40,7.39,3.77,0.24,3.82,0.29,6.70,0.59,0.28,8.84,6.47,5.15,0.53,0.42,1.53,5.03,,cogn3,2.98,1.52,0.43,1.46,3.62,0.51
24.02,3.76,6.93,2.28,52.29,15.65,33.61,19.82,22.08,18.67,18.96,3.87,13.95,10.59,5.29,1.53,1.03,28.86,26.58,16.97,0.56,0.42,1.77,18.58,23.05,wege3,16.76,17.03,0.11,0.27,0.30,0.12
4.99,0.78,0.97,17.24,93.28,15.69,49.10,27.00,35.79,5.41,2.90,0.33,8.91,0.37,30.97,6.00,0.42,19.38,12.74,6.62,0.34,0.66,0.76,12.63,65.59,petr4,4.08,2.19,0.80,1.81,2.40,0.93
8.63,0.76,1.03,7.95,54.45,8.83,31.68,8.22,0.00,8.58,9.26,0.08,0.64,0.44,16.43,1.95,0.11,11.89,10.09,0.98,0.08,0.92,1.19,24.03,4.85,bbdc4,,,,,,
13.78,6.15,3.36,2.20,30.41,44.65,90.57,58.91,62.60,10.43,10.45,1.41,6.53,2.17,3.75,0.91,0.23,24.40,13.40,10.24,0.42,0.58,2.62,2.94,3.02,b3sa3,9.82,9.83,0.00,0.01,0.01,0.74
16.88,0.17,0.59,3.45,58.49,1.01,30.66,4.37,7.84,6.33,3.89,0.18,1.51,0.37,15.00,0.52,1.04,3.48,7.47,1.04,0.30,0.70,1.29,5.60,0.31,mglu3,3.53,2.17,0.37,1.36,2.44,0.56
1.26,0.04,0.55,0.00,1.45,2.84,4.48,0.68,4.43,38.93,5.24,0.07,0.50,0.12,1.57,0.69,1.85,44.05,1.21,5.22,0.12,0.88,1.45,,,raiz4,5.99,0.81,3.56,5.19,33.68,4.46
12.05,0.15,1.99,1.31,15.73,1.21,16.67,5.36,7.59,5.69,2.72,0.25,7.75,0.38,4.14,0.68,1.72,16.47,17.94,2.08,0.13,0.87,1.11,16.18,9.94,asai3,4.02,1.92,2.17,2.10,2.97,2.96
12.62,2.03,2.01,8.87,112.34,16.08,51.50,25.06,32.90,7.47,8.10,1.31,47.49,1.84,5.87,0.94,0.65,15.95,19.15,10.68,0.65,0.34,1.11,9.46,5.30,abev3,5.69,6.17,0.16,0.48,0.63,0.03
4.67,0.15,1.26,4.61,25.20,3.11,4.61,4.72,5.15,5.54,3.07,0.44,2.09,0.74,18.63,5.03,3.03,26.99,14.07,9.39,0.35,0.65,2.09,17.30,7.49,vbbr3,5.08,2.82,1.01,2.26,2.46,1.22
15.30,3.75,15.55,3.50,250.20,24.53,57.10,44.73,53.11,9.82,8.39,2.26,76.40,2.81,0.93,0.94,0.60,101.58,32.41,14.75,0.15,0.85,1.18,29.01,,stbp3,8.27,7.07,2.64,1.20,1.42,3.35
2.46,0.36,0.68,0.00,0.00,14.61,27.82,3.61,1.27,31.21,9.95,0.13,0.59,0.28,9.16,2.55,0.36,27.79,4.30,5.28,0.19,0.78,1.68,8.10,,mrve3,88.64,28.26,1.46,60.38,21.26,1.52
