cotação,variação_12m,p_l,p_vp,dy,carteira_investidor_10,papel
20.61,18.36,7.45,0.65,8.27,,bbas3
1.10,81.45,0.84,0.04,0.00,,azul4
3.02,133.22,5.10,0.45,2.22,,cogn3
36.69,31.23,24.02,6.93,2.28,,wege3
29.94,9.75,4.99,0.97,17.24,,petr4
16.85,21.58,8.63,1.03,7.95,,bbdc4
12.60,20.16,13.78,3.36,2.20,,b3sa3
8.81,3.97,16.88,0.59,3.45,,mglu3
0.87,70.51,1.26,0.55,0.00,,raiz4
8.22,24.28,12.05,1.99,1.31,,asai3
11.81,2.15,12.62,2.01,8.87,,abev3
23.48,8.57,4.67,1.26,4.61,,vbbr3
14.42,16.65,15.30,15.55,3.50,,stbp3
6.26,14.95,2.46,0.68,0.00,,mrve3
58.87,0.79,9.23,1.25,7.71,,vale3
4.25,32.00,9.24,0.22,0.00,,usim5
37.14,26.07,9.35,1.92,7.54,,itub4
1.70,6.59,8.88,1.91,0.00,,cvcb3
10.95,19.08,7.76,1.34,9.34,,itsa4
7.86,48.18,9.94,1.08,2.26,,movi3
2.95,17.55,12.37,1.22,9.03,,vamo3
13.98,15.05,10.83,1.44,5.61,,lren3
5.87,51.49,0.93,1.52,0.00,,csan3
6.53,17.87,7.71,4.57,0.00,,beef3
17.35,2.95,10.76,0.64,3.68,,ggbr4
29.02,41.53,6.61,1.14,3.70,,cyre3
13.94,18.00,13.52,1.92,3.51,,motv3
10.57,6.69,4.65,1.06,13.81,,cmig4
8.44,9.71,7.93,2.30,7.38,,pomo4
7.91,33.36,4.64,0.75,6.91,,csna3
10.65,6.57,15.97,0.88,0.54,,aure3
15.53,15.31,44.66,2.15,5.24,,rail3
21.25,4.92,8.13,1.47,3.52,,ugpa3
3.96,21.10,1.08,0.76,0.00,,pcar3
35.80,11.12,16.67,1.52,5.25,,rent3
15.63,10.38,4.62,0.59,0.00,,brav3
47.14,48.62,13.48,2.84,2.24,,bpac11
18.67,22.43,26.22,4.81,1.93,,radl3
12.31,30.06,12.06,1.43,5.24,,cple6
36.02,18.62,3.05,1.23,0.00,,prio3
42.92,55.26,29.94,5.25,1.53,,tots3
32.36,30.12,17.90,1.53,3.34,,vivt3
3.12,27.27,0.17,0.19,0.00,,bhia3
4.03,0.91,75.57,0.82,3.02,,lwsa3
3.70,13.50,7.20,1.28,0.00,,hbsa3
14.38,18.32,7.36,0.88,8.50,,bbdc3
10.04,1.44,8.87,0.51,3.39,,goau4
77.20,70.33,26.74,3.14,0.09,,embr3
1.20,0.83,1.79,1.62,0.00,,rcsl4
0.13,95.94,0.06,0.07,0.00,,ifcm3
17.37,10.69,10.27,2.11,6.22,,klbn11
0.40,,1.91,0.52,0.00,,azte3
5.51,2.83,13.61,3.27,5.06,,cmin3
5.28,49.92,8.82,0.57,4.86,,rapt4
31.91,13.72,5.32,1.03,16.20,,petr3
21.12,77.31,6.40,6.39,26.72,,mrfg3
12.44,57.27,106.98,1.44,0.00,,srna3
32.60,2.22,7.31,6.21,12.90,,bbse3
51.95,48.52,20.29,1.13,6.78,,elet3
14.92,13.61,10.33,3.36,7.84,,cxse3
24.35,14.07,26.91,2.53,2.63,,smft3
3.65,25.20,104.40,1.00,8.01,,petz3
35.25,13.09,12.04,1.57,2.23,,eqtl3
4.26,21.71,9.85,0.91,0.00,,cash3
6.27,66.83,0.86,1.31,0.00,,brkm5
27.10,10.34,10.90,2.38,5.04,,mult3
22.50,45.56,15.02,2.17,8.26,,tims3
16.42,17.88,121.02,1.33,0.00,,enev3
11.55,16.47,11.18,1.10,4.97,,yduq3
17.10,7.66,6.21,0.77,11.88,,brap4
23.04,12.48,30.61,2.23,2.93,,igti11
39.79,35.09,22.15,3.59,2.05,,rdor3
0.39,68.55,0.59,0.09,0.00,,azev4
33.71,41.93,35.40,0.35,0.00,,hapv3
3.03,33.41,8.70,0.51,1.75,,anim3
5.95,51.01,3.55,0.68,6.29,,jhsf3
15.43,10.07,13.93,1.57,6.44,,flry3
23.99,14.15,17.66,0.97,5.02,,alos3
48.19,11.09,7.78,1.41,4.18,,suzb3
17.95,25.55,8.42,1.79,15.55,,brfs3
122.21,42.83,7.48,2.07,3.05,,sbsp3
0.39,68.80,0.59,0.09,0.00,,azev3
4.33,12.02,9.91,1.13,1.63,,simh3
15.14,42.98,9.29,1.35,2.53,,ceab3
5.00,37.37,21.31,0.60,1.07,,dxco3
3.05,60.70,14.41,0.86,4.95,,arml3
27.40,49.05,7.69,0.94,3.03,,neoe3
33.57,62.97,9.40,1.52,5.27,,csmg3
18.29,4.90,19.01,3.30,1.77,,ggps3
27.70,2.51,8.42,0.85,6.29,,sanb11
27.08,4.02,9.49,2.32,2.45,,viva3
7.39,3.79,6.81,1.36,4.17,,ecor3
10.90,45.28,7.84,1.16,4.46,,intb3
18.36,19.30,11.64,3.11,6.05,,port3
47.92,15.68,6.43,1.20,6.02,,engi11
5.00,1.54,5.56,1.12,11.66,,grnd3
0.41,91.30,0.07,0.01,0.00,,oibr3
2.09,27.68,5.47,0.83,5.84,,ljqq3
11.56,36.05,11.33,1.35,5.09,,cple3
4.38,23.83,15.14,0.65,0.00,,cbav3
21.05,18.05,17.95,1.11,5.56,,hype3
3.06,73.01,8.15,0.28,3.34,,hbor3
5.48,31.73,0.12,0.25,0.00,,amer3
23.72,79.18,7.55,2.48,2.44,,tend3
24.85,40.55,6.46,0.62,2.31,,azza3
47.18,8.53,6.31,0.75,0.00,,irbr3
11.70,13.40,5.15,0.44,10.58,,brsr6
11.81,29.79,5.28,0.78,18.51,,recv3
15.80,7.60,11.90,1.35,3.46,,slce3
