valor_de_mercado,valor_de_firma,patrimônio_líquido,n_total_de_papeis,ativos,ativo_circulante,dívida_bruta,dívida_líquida,disponibilidade,tag_along,segmento_de_listagem,free_float,setor,segmento,papel
6605653000,11708952000,12762531000,1876606000,23822533000,4324426000,6380341000,5103299000,1277042000,100.00,novo mercado,99.78,consumo cíclico,serviços educacionais,cogn3
2469606000,34317677000,26040457000,896039000,26897041000,7180125000,34441141000,31848071000,2593070000,100.00,nível 2,50.56,bens industriais,transporte aéreo,azul4
130548399000,130548399000,181990739000,5730834000,2441421369000,2182834893000,,,64935263000,100.00,novo mercado,49.60,financeiro,bancos,bbas3
433838963000,747920963000,422934000000,12888732000,1212038000000,149361000000,376083000000,314082000000,62001000000,100.00,nível 2,60.70,petróleo. gás e biocombustíveis,exploração. refino e distribuição,petr4
189299041000,184825533000,22408769000,4197317000,41494475000,26776141000,2861803000,4473508000,7335311000,100.00,novo mercado,35.30,bens industriais,motores. compressores e outros,wege3
68727825000,68644481000,19736147000,5266500000,47031043000,16426800000,14538149000,83344000,14621493000,100.00,nível 1,99.37,financeiro,serviços financeiros diversos,b3sa3
6052371000,10420355000,11160098000,738995000,37221991000,19241455000,5947933000,4367984000,1579949000,100.00,novo mercado,47.83,consumo cíclico,eletrodomésticos,mglu3
186291312000,186291312000,175635225000,10592012000,2202774724000,1788672711000,,,225625971000,80.00,nível 1,62.16,financeiro,bancos,bbdc4
296442585000,362671585000,218127000000,4539007000,484953000000,87682000000,98622000000,66229000000,32393000000,100.00,novo mercado,94.09,materiais básicos,minerais metálicos,vale3
12461336000,14574004000,801593000,864170000,5519521000,1091879000,2684455000,2112668000,571787000,novo mercado,99.02,100.00,bens industriais,serviços de apoio e armazenagem,stbp3
28053330000,47112330000,21201000000,1119000000,60987000000,24313000000,24995000000,19059000000,5936000000,100.00,novo mercado,99.61,petróleo. gás e biocombustíveis,exploração. refino e distribuição,vbbr3
12399168000,24241168000,5720000000,1352144000,45121000000,15965000000,16298000000,11842000000,4456000000,100.00,nível 1,99.82,consumo não cíclico,alimentos,asai3
