cotação,dy,pvp,liquidez_diária,liquidez_unidade,variação,papel
7.84,9.38,0.65,1.40,M,16.49,AJFI11
7.64,17.19,0.81,123.11,K,-5.80,ALZC11
10.06,3.78,0.99,94.52,K,0.00,AFHF11
81.00,0.00,1.00,2.52,M,-5.81,AURB11
94.82,12.55,1.01,562.84,K,13.23,AFHI11
10.64,9.28,1.00,1.41,M,16.03,ALZR11
1.00,7.90,1.05,4.21,K,-4.76,AROA11
7.44,15.30,0.82,60.65,K,0.81,ARXD11
75.00,5.33,0.61,316.90,K,-20.30,APXM11
54.01,9.20,0.68,435.67,K,35.60,AIEC11
7.71,14.03,0.91,614.84,K,27.02,AZPL11
63.40,15.74,0.75,605.97,K,16.97,BCRI11
530.00,0.00,0.77,55.22,K,44.57,BBFI11
71.55,16.88,0.91,102.26,K,-19.32,BNFS11
61.87,13.77,0.83,346.57,K,10.84,BBFO11
6.94,14.37,0.70,775.51,K,-1.42,BBIG11
33.00,10.73,0.46,155.85,K,14.70,BLMG11
97.95,12.92,0.93,100.52,K,0.31,BBRC11
94.30,8.98,0.89,27.01,K,3.67,BMLC11
83.10,12.29,0.83,322.19,K,7.18,BCIA11
1.08,0.00,0.15,17.10,K,-27.52,CARE11
1165.91,5.76,1.51,3.19,K,-14.97,BVAR11
83.44,11.63,0.85,1.03,M,8.39,FATN11
882.75,7.23,0.81,831.67,K,-3.44,BICE11
53.15,13.41,0.86,305.22,K,-1.83,BPFF11
115.91,9.16,0.99,3.32,M,22.97,BRCO11
52.16,12.33,0.48,344.64,K,23.92,BROF11
602.01,34.98,1.02,6.50,K,17.53,BRIP11
57.20,0.00,1.12,63.21,K,-0.12,LLAO11
321.00,25.10,1.37,34.91,K,-6.79,BRIM11
6.53,15.74,0.77,48.24,K,5.15,BIME11
76.05,13.86,0.65,465.77,K,23.82,BTAL11
41.97,11.31,0.61,48.31,K,20.74,BTHI11
8.57,13.06,0.86,2.80,M,15.81,BTHF11
79.29,19.26,0.64,1.40,M,21.35,BPML11
104.04,9.10,1.01,7.48,M,17.28,BTLG11
9.38,12.27,0.92,1.75,M,17.99,BTCI11
41.40,12.78,0.49,2.06,M,7.20,BRCR11
109.59,0.00,0.94,2.71,K,-1.80,BTSI11
105.49,6.98,0.89,123.33,K,7.41,BTWR11
58.84,7.90,0.53,167.63,K,55.21,BTRA11
145.92,7.95,0.96,1.53,K,-1.06,BTSG11
60.87,13.81,0.63,144.09,K,26.84,CXCO11
74.79,9.79,0.90,7.25,K,16.80,CRFF11
73.91,9.58,0.89,8.95,K,14.41,CXRI11
8.71,10.45,0.83,239.80,K,4.44,CCME11
109.50,7.21,1.01,10.28,M,8.05,CPOF11
12.49,8.54,1.16,17.53,M,25.78,CPLG11
10.36,11.78,0.89,3.86,M,20.19,CPSH11
10.68,10.75,1.06,9.34,M,13.98,CPUR11
7.53,12.88,0.85,6.86,M,18.77,CPTS11
75.46,21.44,0.99,2.23,M,-8.85,CACR11
475.02,44.36,0.51,225.25,K,10.14,CFII11
91.27,6.41,0.72,117.32,K,-0.71,BLCA11
10.38,704.43,0.04,300.75,K,2.98,CFHI11
1.67,5.19,0.22,152.40,K,38.02,CNES11
33.05,3.48,0.49,6.80,K,33.37,CBOP11
4.91,0.41,0.26,1.07,K,-29.45,CTXT11
87.10,13.21,0.90,967.32,K,6.15,CLIN11
49.22,20.03,0.54,119.87,K,4.28,IBCR11
63.00,3.60,0.86,487.71,K,25.95,CJCT11
10974.00,0.00,1.13,384.47,K,0.29,ASRF11
3.97,2.52,0.40,414.34,K,-4.11,DAYM11
7.30,12.87,0.88,55.33,K,-15.61,DAMA11
118.01,0.00,0.98,104.98,K,18.01,CYLD11
8.42,14.98,0.90,689.40,K,11.23,CYCR11
25.06,19.27,0.26,587.41,K,-8.07,DEVA11
7.84,15.19,0.82,100.21,K,8.74,EQIR11
124.88,0.00,0.78,47.53,K,-6.25,ERPA11
7832.19,1.87,0.53,1.51,M,-1.78,ERCR11
96.00,14.48,1.02,37.91,K,15.55,FLCR11
6.78,15.93,0.73,334.44,K,7.28,VRTM11
9.59,15.64,0.99,27.95,K,16.95,EXES11
846.01,13.68,1.44,43.76,K,5.13,KEVE11
76.19,13.32,0.91,1.76,M,7.40,VRTA11
149.00,8.57,0.67,52.10,K,20.95,FLMA11
1171.32,0.00,1.10,95.20,K,12.40,EGDB11
282.06,8.25,0.86,33.34,K,39.07,EURO11
639.99,7.39,0.30,21.06,K,18.46,ALMI11
39.42,32.42,0.34,10.36,K,64.39,FMOF11
148.90,5.05,0.94,23.14,M,3.94,JCIN11
5.79,13.73,0.68,41.55,K,-5.55,DVFF11
80.80,11.32,0.90,1.08,M,17.94,KFOF11
82.90,12.48,0.89,4.48,M,5.85,CVBI11
127.79,8.29,1.04,115.77,K,23.74,FCFL11
148.33,13.32,0.67,53.83,K,23.19,FAED11
1014.99,103.16,0.55,132.71,K,71.33,FAMB11
281.15,11.45,0.86,24.21,K,17.75,HCRI11
7.93,15.27,0.82,134.40,K,9.53,FYTO11
