p_l,p_receita_psr,p_vp,dy,payout,margem_líquida,margem_bruta,margem_ebit,margem_ebitda,ev_ebitda,ev_ebit,p_ebitda,p_ebit,p_ativo,p_capgiro,p_ativo_circ_liq,vpa,lpa,giro_ativos,roe,roic,roa,dívida_líquida___patrimônio,dívida_líquida___ebitda,dívida_líquida___ebit,dívida_bruta___patrimônio,patrimônio___ativos,passivos___ativos,liquidez_corrente,cagr_receitas_5_anos,papel,cagr_lucros_5_anos
0.88,0.05,0.04,0.00,0.00,5.57,29.19,17.10,30.98,5.27,9.55,0.16,0.29,0.04,0.07,0.05,29.06,1.31,0.78,4.49,42.77,4.35,1.22,4.89,8.86,1.32,0.97,1.97,0.34,29.62,azul4,
6.20,1.02,0.55,1.81,11.27,16.49,68.20,22.32,55.40,3.30,8.20,1.85,4.58,0.29,4.65,0.36,6.70,0.59,0.28,8.84,6.47,5.15,0.43,1.46,3.62,0.51,0.53,0.42,1.53,5.03,cogn3,
9.17,0.77,1.11,7.32,63.65,8.45,30.41,7.36,0.00,,9.75,,10.52,0.09,0.70,0.47,16.58,2.01,0.11,12.14,8.85,0.98,,,,,0.08,0.92,1.19,25.87,bbdc4,5.47
5.00,0.78,0.97,17.21,93.28,15.69,49.10,27.00,35.79,4.07,5.40,2.19,2.91,0.33,8.93,0.37,30.97,6.00,0.42,19.38,12.74,6.62,0.80,1.81,2.40,0.93,0.34,0.66,0.76,12.63,petr4,65.59
8.08,0.44,0.70,7.78,62.35,5.48,34.96,2.96,0.00,,14.96,,14.96,0.05,3.55,0.50,31.76,2.77,0.12,8.71,0.90,0.77,,,,,0.07,0.92,1.02,18.92,bbas3,7.14
27.84,4.36,8.05,1.96,51.71,15.67,33.39,19.68,21.98,19.35,21.61,19.84,22.16,4.35,15.40,12.26,5.34,1.54,1.00,28.93,26.54,16.49,0.20,0.49,0.55,0.13,0.54,0.44,1.78,18.82,wege3,23.36
13.97,6.24,3.41,2.17,30.41,44.65,90.57,58.91,62.60,9.95,10.57,9.96,10.59,1.43,6.62,2.20,3.75,0.91,0.23,24.40,13.40,10.24,0.00,0.01,0.01,0.74,0.42,0.58,2.62,2.94,b3sa3,3.02
16.04,0.16,0.56,3.65,58.49,1.01,30.66,4.37,7.84,3.42,6.14,2.06,3.69,0.17,1.44,0.35,15.00,0.52,1.04,3.48,7.47,1.04,0.37,1.36,2.44,0.56,0.30,0.70,1.29,5.60,mglu3,0.31
15.30,3.75,15.55,2.19,250.20,24.53,57.10,44.73,53.11,8.27,9.82,7.07,8.39,2.26,76.40,2.81,0.93,0.94,0.60,101.58,32.41,14.75,2.64,1.20,1.42,3.35,0.15,0.85,1.18,29.01,stbp3,
1.35,0.04,0.59,0.00,1.45,2.84,4.48,0.68,4.43,6.05,39.29,0.86,5.61,0.07,0.53,0.12,1.57,0.69,1.85,44.05,1.21,5.22,3.56,5.19,33.68,4.46,0.12,0.88,1.45,,raiz4,
2.98,0.43,0.83,0.00,0.00,14.61,27.82,3.61,1.27,94.60,33.31,34.21,12.05,0.16,0.71,0.34,9.16,2.55,0.36,27.79,4.30,5.28,1.46,60.38,21.26,1.52,0.19,0.78,1.68,8.10,mrve3,
4.71,0.15,1.27,4.59,25.20,3.11,4.61,4.72,5.15,5.10,5.57,2.84,3.10,0.44,2.11,0.74,18.63,5.03,3.03,26.99,14.07,9.39,1.01,2.26,2.46,1.22,0.35,0.65,2.09,17.30,vbbr3,7.49
12.39,0.15,2.04,1.26,15.73,1.21,16.67,5.36,7.59,4.07,5.77,1.97,2.80,0.26,7.97,0.39,4.14,0.68,1.72,16.47,17.94,2.08,2.17,2.10,2.97,2.96,0.13,0.87,1.11,16.18,asai3,9.94
9.73,1.38,1.35,6.99,68.54,14.15,34.81,19.93,28.06,6.01,8.47,4.91,6.91,0.61,17.47,0.74,48.06,6.65,0.44,13.84,12.41,6.04,0.30,1.11,1.56,0.45,0.45,0.54,1.24,0.46,vale3,3.29
12.80,2.27,2.23,8.16,103.34,17.73,51.77,26.45,34.19,6.09,7.87,6.63,8.58,1.46,38.26,2.08,5.84,1.02,0.64,17.43,21.09,11.71,0.18,0.55,0.71,0.03,0.65,0.34,1.15,9.16,abev3,7.04
2.19,0.26,0.33,0.00,0.00,11.77,8.40,4.72,0.04,673.83,6.11,601.85,5.46,0.19,0.55,0.36,16.56,2.50,0.75,15.07,10.18,8.94,0.01,18.84,0.17,0.30,0.59,0.33,4.21,10.55,usim5,
11.43,1.01,1.52,5.32,60.50,8.86,61.17,10.75,19.03,4.92,8.70,5.33,9.42,0.83,3.34,2.02,9.72,1.29,0.82,13.28,13.18,7.30,0.12,0.41,0.72,0.06,0.55,0.45,1.74,15.41,lren3,4.53
8.33,15.52,1.44,8.71,75.84,186.37,25.32,206.48,221.89,7.23,7.77,7.00,7.52,1.13,19.85,1.28,8.15,1.41,0.07,17.33,16.97,13.72,0.05,0.22,0.24,0.13,0.78,0.18,2.00,7.21,itsa4,16.35
13.47,0.91,1.33,8.38,112.51,6.72,73.73,68.79,91.66,4.52,6.02,0.99,1.32,0.15,1.33,0.21,2.41,0.24,0.17,9.90,12.80,1.15,4.77,3.53,4.71,6.33,0.12,0.88,1.80,20.43,vamo3,7.54
10.08,1.17,2.07,7.02,72.33,11.60,36.48,12.35,0.00,,8.94,,9.46,0.15,0.81,2.39,19.34,3.97,0.13,20.54,21.01,1.52,,,,,0.07,0.92,1.25,16.28,itub4,23.81
8.72,0.17,5.18,0.00,0.00,1.91,19.01,7.07,9.00,5.40,6.88,1.85,2.36,0.17,1.06,0.43,1.43,0.85,1.00,59.34,10.98,1.87,9.92,3.55,4.52,18.71,0.03,0.95,1.34,17.96,beef3,
9.92,0.68,2.13,0.00,0.00,6.83,95.23,9.09,24.13,3.42,9.06,2.81,7.45,0.27,3.05,0.65,0.89,0.19,0.39,21.49,11.28,2.67,0.46,0.61,1.62,1.17,0.12,0.88,0.87,18.74,cvcb3,
12.52,0.54,0.69,3.43,43.25,4.31,11.68,7.92,13.11,4.51,7.46,4.11,6.80,0.43,1.78,0.70,26.89,1.48,0.80,5.50,6.48,3.48,0.10,0.60,0.99,0.28,0.63,0.37,2.70,9.73,ggbr4,4.91
11.12,0.22,1.20,2.08,22.47,2.01,30.93,20.55,36.50,3.69,6.56,0.61,1.09,0.11,1.43,0.14,7.31,0.79,0.48,10.81,12.82,0.96,6.06,3.08,5.47,7.36,0.09,0.91,0.77,28.42,movi3,21.31
0.95,0.25,1.54,0.00,0.00,26.95,31.48,6.62,16.88,8.75,22.31,1.51,3.85,0.09,0.91,0.11,3.85,6.29,0.35,163.24,2.81,7.90,7.40,7.24,18.46,9.29,0.06,0.74,1.83,26.38,csan3,
16.54,1.05,0.91,0.53,8.55,6.34,19.44,13.73,23.50,12.06,20.65,4.46,7.64,0.24,4.98,0.29,12.08,0.67,0.22,5.52,3.51,1.18,1.56,7.60,13.01,1.95,0.26,0.71,1.36,,aure3,
7.00,1.37,1.21,3.51,37.96,19.60,32.58,23.51,24.81,7.23,7.63,5.53,5.84,0.50,1.27,1.16,25.48,4.39,0.37,17.22,10.91,8.55,0.37,1.70,1.79,0.70,0.42,0.54,3.36,17.59,cyre3,1.81
11.34,1.50,2.11,3.04,34.18,13.25,43.84,35.90,43.34,6.91,8.34,3.47,4.19,0.49,5.98,0.59,7.70,1.43,0.32,18.60,12.27,4.58,2.09,3.44,4.16,2.59,0.23,0.76,1.89,17.15,motv3,104.54
45.32,2.10,2.18,5.19,233.05,4.64,46.24,30.84,49.12,6.50,10.36,4.28,6.82,0.58,8.62,0.70,7.23,0.35,0.27,4.81,11.34,1.31,1.13,2.22,3.53,1.58,0.26,0.73,1.62,14.81,rail3,16.76
6.82,0.89,1.84,8.52,58.85,13.08,25.19,15.10,16.84,5.94,6.62,5.30,5.91,0.84,2.85,2.17,3.91,1.05,0.94,26.93,14.26,12.40,0.28,0.82,0.92,0.73,0.45,0.55,1.91,20.59,pomo4,67.96
8.15,0.17,1.48,3.50,28.71,2.11,7.10,3.95,4.65,6.02,7.10,3.70,4.36,0.52,3.14,0.83,14.41,2.61,3.03,18.13,2.85,6.78,0.93,2.33,2.74,1.18,0.35,0.60,1.82,11.20,ugpa3,27.23
5.33,0.27,0.87,5.93,32.32,5.05,26.35,10.30,19.25,5.17,9.66,1.40,2.62,0.12,1.34,0.18,10.48,1.70,0.44,16.24,6.05,1.68,2.33,3.77,7.04,3.71,0.14,0.83,1.35,8.25,csna3,
5.09,0.79,1.16,12.76,60.85,15.50,18.32,22.09,25.52,4.50,5.19,3.09,3.57,0.52,543.34,0.66,9.95,2.27,0.66,22.84,17.09,10.26,0.43,1.15,1.33,0.54,0.45,0.55,1.00,10.71,cmig4,17.82
13.88,1.77,1.65,4.59,76.86,12.75,21.84,19.62,25.74,9.47,12.42,6.87,9.02,0.70,29.44,0.87,8.58,1.02,0.39,11.89,8.79,4.99,0.66,2.76,3.63,0.78,0.42,0.58,1.13,4.89,cple6,4.97
3.08,2.27,1.25,0.00,0.00,73.88,34.70,26.83,54.84,6.47,13.23,4.15,8.48,0.59,10.31,0.70,29.21,11.81,0.26,40.45,6.47,19.10,0.70,2.32,4.75,0.88,0.47,0.53,1.54,49.74,prio3,87.83
13.96,3.74,2.94,2.18,30.19,26.76,19.74,30.29,0.00,,15.97,,12.33,0.34,23.20,2.61,16.61,3.50,0.09,21.05,22.82,2.46,,,,,0.12,0.88,0.98,30.59,bpac11,32.53
18.84,1.11,1.72,4.75,82.25,5.88,28.53,20.59,33.52,5.81,9.46,3.30,5.37,0.54,10.11,0.69,23.54,2.15,0.49,9.12,9.74,2.86,1.31,2.51,4.09,1.63,0.31,0.69,1.33,30.87,rent3,17.26
4.40,0.68,0.56,0.00,0.00,15.44,28.96,29.34,46.82,4.03,6.44,1.45,2.31,0.16,3.39,0.19,26.37,3.38,0.23,12.81,7.83,3.59,1.00,2.58,4.12,1.38,0.28,0.72,1.37,118.45,brav3,
0.96,0.09,0.68,0.00,0.00,9.40,27.44,1.00,5.07,4.49,22.71,1.79,9.04,0.09,5.84,0.13,5.21,3.67,1.04,70.51,5.38,9.78,1.03,2.70,13.68,1.73,0.14,0.86,0.95,17.87,pcar3,
27.73,0.83,5.09,1.83,49.10,2.99,29.41,5.59,9.70,9.32,16.17,8.54,14.82,1.47,8.98,3.47,3.88,0.71,1.78,18.34,21.25,5.37,0.46,0.78,1.35,0.55,0.29,0.71,1.40,15.34,radl3,20.00
30.36,4.61,5.33,1.52,46.04,15.17,69.48,17.86,23.91,18.97,25.40,19.27,25.80,2.91,14.29,4.50,8.17,1.43,0.63,17.55,14.48,9.83,0.08,0.30,0.40,0.35,0.55,0.42,2.36,16.88,tots3,24.47
7.57,1.79,1.34,0.00,0.00,23.60,24.52,4.07,26.07,12.99,83.13,6.86,43.90,0.43,2.08,0.66,2.90,0.51,0.24,17.73,0.58,5.68,1.20,6.13,39.23,1.70,0.32,0.68,2.49,2.50,hbsa3,
71.44,1.50,0.78,3.22,231.69,2.09,47.60,9.18,18.73,7.01,14.29,7.99,16.29,0.56,9.86,0.81,4.89,0.05,0.37,1.09,3.54,0.78,0.10,0.98,2.00,0.03,0.72,0.28,1.23,24.03,lwsa3,8.74
10.24,0.15,0.55,3.13,32.20,1.51,11.68,7.91,13.04,2.14,3.54,1.18,1.95,0.12,0.51,0.20,19.49,1.06,0.80,5.42,11.88,3.47,0.45,0.96,1.59,0.96,0.22,0.37,2.71,9.73,goau4,4.93
0.05,0.01,0.06,0.00,0.00,24.94,30.28,5.87,1.97,47.22,15.85,0.67,0.23,0.01,0.05,0.02,1.92,2.26,0.65,117.38,9.11,16.12,4.32,46.54,15.63,4.82,0.14,1.14,1.51,,ifcm3,
7.83,0.66,0.95,7.82,63.65,8.45,30.41,7.36,0.00,,9.75,,8.98,0.08,0.59,0.40,16.58,2.01,0.11,12.14,8.85,0.98,,,,,0.08,0.92,1.19,25.87,bbdc3,5.47
17.58,1.82,1.55,3.72,121.74,10.34,44.35,16.12,41.53,4.84,12.47,4.37,11.27,0.86,288.09,1.07,21.21,1.88,0.47,8.85,10.37,4.88,0.16,0.46,1.20,0.26,0.55,0.45,1.02,6.31,vivt3,4.85
0.18,0.01,0.21,0.00,0.00,6.32,30.66,3.58,7.25,4.33,8.77,0.16,0.32,0.01,0.06,0.02,16.19,18.76,0.84,115.92,0.65,5.32,5.55,4.17,8.45,6.78,0.05,0.95,0.71,0.46,bhia3,
3.15,10.96,2.84,0.00,0.00,347.62,3.27,281.31,263.71,4.12,3.87,4.16,3.90,1.61,8.49,2.42,0.74,0.67,0.15,90.06,72.88,54.35,0.00,0.00,0.00,0.00,0.57,1.57,0.64,26.48,rcsl4,
30.13,1.62,3.54,0.08,2.93,4.29,18.20,9.00,12.47,12.72,17.63,11.00,14.52,0.98,7.34,2.12,24.57,2.89,0.62,9.28,11.73,2.65,0.14,0.53,0.74,0.64,0.29,0.69,1.43,16.02,embr3,
1.91,63.89,0.52,0.00,0.00,3349.72,23.52,4962.33,5145.59,1.24,1.29,1.24,1.29,0.42,9.25,0.42,0.77,0.21,0.01,27.29,53.74,22.17,0.00,0.00,0.00,0.00,0.81,0.19,0.02,,azte3,
12.43,1.11,2.25,6.05,72.59,8.89,38.34,23.31,36.72,6.42,10.11,3.01,4.74,0.37,2.63,0.50,8.28,1.50,0.33,18.06,9.40,3.30,2.55,3.42,5.38,3.50,0.16,0.76,2.12,11.72,klbn11,
27.64,2.28,2.60,2.58,70.83,8.25,42.37,23.11,47.57,5.84,12.03,4.79,9.86,0.79,11.83,1.01,9.62,0.90,0.35,9.41,12.00,2.89,0.57,1.05,2.17,1.06,0.31,0.69,1.45,,smft3,
