valor_de_mercado,valor_de_firma,patrimônio_líquido,n_total_de_papeis,ativos,ativo_circulante,dívida_bruta,dívida_líquida,disponibilidade,tag_along,segmento_de_listagem,free_float,setor,segmento,papel
7149869000,12589215000,12565444000,1876606000,23649420000,4264420000,6383633000,5439346000,944287000,100.00,novo mercado,99.78,consumo cíclico,serviços educacionais,cogn3
184226106000,184226106000,175635225000,10592012000,2202774724000,1788672711000,,,225625971000,80.00,nível 1,62.16,financeiro,bancos,bbdc4
6458818000,10552703000,11085083000,738995000,36913613000,19219372000,6207503000,4093885000,2113618000,100.00,novo mercado,47.83,consumo cíclico,eletrodomésticos,mglu3
69517800000,69434456000,19736147000,5266500000,47031043000,16426800000,14538149000,83344000,14621493000,100.00,nível 1,99.37,financeiro,serviços financeiros diversos,b3sa3
182625306000,178151798000,22408769000,4197317000,41494475000,26776141000,2861803000,4473508000,7335311000,100.00,novo mercado,35.30,bens industriais,motores. compressores e outros,wege3
411162266000,730752266000,399222000000,12888732000,1174890000000,135859000000,371437000000,319590000000,51847000000,100.00,nível 2,60.70,petróleo. gás e biocombustíveis,exploração. refino e distribuição,petr4
129574157000,129574157000,181990739000,5730834000,2441421369000,2182834893000,,,64935263000,100.00,novo mercado,49.60,financeiro,bancos,bbas3
12461336000,14574004000,801593000,864170000,5519521000,1091879000,2684455000,2112668000,571787000,novo mercado,99.02,100.00,bens industriais,serviços de apoio e armazenagem,stbp3
298348968000,364577968000,218127000000,4539007000,484953000000,87682000000,98622000000,66229000000,32393000000,100.00,novo mercado,94.09,materiais básicos,minerais metálicos,vale3
7801981000,8016171000,20751327000,1253079000,35309875000,16354384000,6250187000,214190000,6035997000,0.00,nível 1,53.95,materiais básicos,siderurgia,usim5
4367534000,11897010000,5158009000,562826000,27411776000,14896393000,7852042000,7529476000,322566000,100.00,novo mercado,66.65,consumo cíclico,incorporações,mrve3
9420783000,67273341000,16240566000,10352509000,135725711000,57921048000,72448838000,57852558000,14596280000,100.00,nível 1,11.52,consumo não cíclico,açucar e alcool,raiz4
12101696000,24241696000,5599000000,1352144000,44303000000,15053000000,16599000000,12140000000,4459000000,100.00,nível 1,99.82,consumo não cíclico,alimentos,asai3
2512555000,34360626000,26040457000,896039000,26897041000,7180125000,34441141000,31848071000,2593070000,100.00,nível 2,50.56,bens industriais,transporte aéreo,azul4
207738398000,190791994000,92027435000,15761638000,140754995000,41940170000,2894517000,16946404000,19840921000,80.00,tradicional,27.89,consumo não cíclico,cervejas e refrigerantes,abev3
27214080000,46273080000,21201000000,1119000000,60987000000,24313000000,24995000000,19059000000,5936000000,100.00,novo mercado,99.61,petróleo. gás e biocombustíveis,exploração. refino e distribuição,vbbr3
408894903000,408894903000,214918000000,10784548000,2969351000000,2785733000000,,,34369000000,80.00,nível 1,52.98,financeiro,bancos,itub4
16380638000,15180449000,10300491000,1059549000,18735315000,10994642000,590597000,1200189000,1790786000,100.00,novo mercado,98.89,consumo cíclico,tecidos. vestuário e calçados,lren3
7420490000,19217759000,1291833000,1000066000,45345889000,28397310000,26690484000,11797269000,14893215000,100.00,novo mercado,42.98,consumo não cíclico,carnes e derivados,beef3
11423414000,64671460000,7191060000,1866570000,126036274000,26882697000,66775935000,53248046000,13527889000,100.00,novo mercado,62.18,petróleo. gás e biocombustíveis,exploração. refino e distribuição,csan3
3934958000,16351448000,2604224000,1081032000,22443444000,5867397000,16484425000,12416490000,4067935000,100.00,nível 1,37.63,bens industriais,material de transporte,vamo3
36987027000,42442122000,54539163000,2028194000,87255733000,33400217000,15328677000,5455095000,9873582000,100.00,nível 1,58.69,materiais básicos,siderurgia,ggbr4
3496215000,19544712000,2648975000,362302000,29775568000,7615071000,19487574000,16048497000,3439077000,100.00,novo mercado,33.63,consumo cíclico,aluguel de carros,movi3
11550278000,46257052000,14141924000,1326093000,100825592000,32836649000,52146950000,34706774000,17440176000,0.00,tradicional,54.26,materiais básicos,siderurgia,csna3
12161280000,15783874000,9786076000,384000000,23414787000,13227798000,6889686000,3622594000,3267092000,100.00,novo mercado,66.22,consumo cíclico,incorporações,cyre3
32380600000,64933803000,15545938000,2020000000,67325620000,11613762000,40263608000,32553203000,7710405000,100.00,novo mercado,49.27,bens industriais,exploração de rodovias,motv3
36533445000,48818525000,28473167000,2861781000,63411229000,13612195000,15263937000,12285080000,2978857000,0.00,nível 1,81.34,utilidade pública,energia elétrica,cmig4
129689184000,133800184000,89574000000,10993810000,114124000000,13025000000,11434000000,4111000000,7323000000,80.00,nível 1,65.74,financeiro,holdings diversificadas,itsa4
29269832000,44410362000,13404714000,1854868000,50595277000,8862415000,21232059000,15140530000,6091529000,100.00,novo mercado,100.00,bens industriais,transporte ferroviário,rail3
24652708000,39605179000,16073684000,1115507000,45608193000,16857052000,18937993000,14952471000,3985522000,100.00,novo mercado,97.66,petróleo. gás e biocombustíveis,exploração. refino e distribuição,ugpa3
12184384000,31921982000,12683764000,1050377000,49202800000,8733253000,24670766000,19737598000,4933168000,100.00,novo mercado,29.18,utilidade pública,energia elétrica,aure3
33890848000,51786460000,25946993000,896346000,59729709000,13636387000,27307582000,17895612000,9411970000,100.00,novo mercado,89.53,petróleo. gás e biocombustíveis,exploração. refino e distribuição,prio3
7941511000,9206683000,4444823000,1136271000,9779703000,6022307000,3259077000,1265172000,1993905000,80.00,nível 2,76.12,bens industriais,material rodoviário,pomo4
