cotação,variação_12m,p_l,p_vp,dy,papel
1.15,77.67,0.88,0.04,0.00,azul4
3.67,149.63,6.20,0.55,1.81,cogn3
18.45,39.50,9.17,1.11,7.32,bbdc4
30.03,4.07,5.00,0.97,17.21,petr4
22.34,11.20,8.08,0.70,7.78,bbas3
43.00,22.30,27.84,8.05,1.96,wege3
12.77,19.87,13.97,3.41,2.17,b3sa3
8.37,11.84,16.04,0.56,3.65,mglu3
14.42,16.65,15.30,15.55,2.19,stbp3
0.93,67.93,1.35,0.59,0.00,raiz4
7.58,5.13,2.98,0.83,0.00,mrve3
23.68,10.70,4.71,1.27,4.59,vbbr3
8.45,11.21,12.39,2.04,1.26,asai3
64.73,8.15,9.73,1.35,6.99,vale3
13.02,9.66,12.80,2.23,8.16,abev3
5.46,16.77,2.19,0.33,0.00,usim5
14.76,10.83,11.43,1.52,5.32,lren3
11.76,25.49,8.33,1.44,8.71,itsa4
3.21,16.09,13.47,1.33,8.38,vamo3
40.03,33.31,10.08,2.07,7.02,itub4
7.39,24.62,8.72,5.18,0.00,beef3
1.90,10.38,9.92,2.13,0.00,cvcb3
18.52,5.49,12.52,0.69,3.43,ggbr4
8.79,43.15,11.12,1.20,2.08,movi3
5.95,50.75,0.95,1.54,0.00,csan3
11.03,6.77,16.54,0.91,0.53,aure3
30.71,46.02,7.00,1.21,3.51,cyre3
16.23,35.15,11.34,2.11,3.04,motv3
15.76,19.64,45.32,2.18,5.19,rail3
7.19,14.26,6.82,1.84,8.52,pomo4
21.30,3.53,8.15,1.48,3.50,ugpa3
9.08,23.95,5.33,0.87,5.93,csna3
11.56,10.65,5.09,1.16,12.76,cmig4
14.16,53.75,13.88,1.65,4.59,cple6
36.37,11.03,3.08,1.25,0.00,prio3
48.82,49.50,13.96,2.94,2.18,bpac11
40.46,1.49,18.84,1.72,4.75,rent3
14.85,12.60,4.40,0.56,0.00,brav3
3.54,11.67,0.96,0.68,0.00,pcar3
19.75,20.55,27.73,5.09,1.83,radl3
43.53,32.88,30.36,5.33,1.52,tots3
3.89,20.81,7.57,1.34,0.00,hbsa3
3.81,12.37,71.44,0.78,3.22,lwsa3
10.81,9.23,10.24,0.55,3.13,goau4
0.12,95.71,0.05,0.06,0.00,ifcm3
15.75,34.76,7.83,0.95,7.82,bbdc3
32.98,31.31,17.58,1.55,3.72,vivt3
3.42,19.72,0.18,0.21,0.00,bhia3
2.11,9.90,3.15,2.84,0.00,rcsl4
86.99,78.44,30.13,3.54,0.08,embr3
0.40,,1.91,0.52,0.00,azte3
18.60,11.35,12.43,2.25,6.05,klbn11
25.01,18.57,27.64,2.60,2.58,smft3
5.93,43.71,10.52,0.68,4.33,rapt4
6.08,1.09,15.02,3.61,4.57,cmin3
12.49,61.37,107.41,1.44,0.00,srna3
33.87,3.81,7.53,5.26,12.73,bbse3
56.72,63.49,22.16,1.24,6.24,elet3
21.12,77.31,6.40,6.39,26.72,mrfg3
31.68,7.41,5.28,1.02,16.33,petr3
4.33,23.71,10.02,0.92,0.00,cash3
14.96,5.54,10.35,3.37,9.91,cxse3
37.77,20.00,12.90,1.68,2.11,eqtl3
6.57,61.49,0.90,1.38,0.00,brkm5
3.78,27.72,108.12,1.04,7.57,petz3
18.74,45.38,138.12,1.52,0.00,enev3
27.76,12.76,11.70,2.39,4.91,mult3
