valor_de_mercado,valor_de_firma,patrimônio_líquido,n_total_de_papeis,ativos,ativo_circulante,dívida_bruta,dívida_líquida,disponibilidade,segmento_de_listagem,free_float,tag_along,setor,segmento,papel,liquidez_média_diária
6.267.466.000,41.871.654.000,-27.406.740.000,1.446.867.000,27.626.212.000,7.298.785.000,37.369.649.000,35.604.188.000,1.765.461.000,Nível 2,61.77,100.00,Bens Industriais,Transporte Aéreo,AZUL4,0
139.775.042.000,139.775.042.000,182.119.883.000,5.730.834.000,2.540.770.431.000,2.272.586.213.000,0,0,65.753.371.000,Novo Mercado,49.60,100.00,Financeiro,Bancos,BBAS3,582.263.000
9.206.630.000,14.309.929.000,12.762.531.000,2.064.266.000,23.822.533.000,4.324.426.000,6.380.341.000,5.103.299.000,1.277.042.000,Novo Mercado,99.78,100.00,Consumo Cíclico,Serviços Educacionais,COGN3,115.632.000
83.316.030.000,81.840.668.000,19.783.548.000,5.266.500.000,47.335.545.000,17.207.699.000,14.212.235.000,-1.475.362.000,15.687.597.000,Nível 1,99.37,100.00,Financeiro,Serviços Financeiros Diversos,B3SA3,633.517.000
205.410.287.000,205.410.287.000,175.635.225.000,10.592.012.000,2.202.774.724.000,1.788.672.711.000,0,0,225.625.971.000,Nível 1,62.16,80.00,Financeiro,Bancos,BBDC4,556.340.000
7.239.566.000,11.607.550.000,11.160.098.000,775.945.000,37.221.991.000,19.241.455.000,5.947.933.000,4.367.984.000,1.579.949.000,Novo Mercado,47.83,100.00,Consumo Cíclico,Eletrodomésticos,MGLU3,151.893.000
471.526.461.000,785.608.461.000,422.934.000.000,12.888.732.000,1.212.038.000.000,149.361.000.000,376.083.000.000,314.082.000.000,62.001.000.000,Nível 2,60.70,100.00,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,PETR4,1.269.658.000
208.816.570.000,204.343.062.000,22.408.769.000,4.197.317.000,41.494.475.000,26.776.141.000,2.861.803.000,-4.473.508.000,7.335.311.000,Novo Mercado,35.30,100.00,Bens Industriais,Motores. Compressores e Outros,WEGE3,285.819.000
8.602.097.000,8.816.287.000,20.751.327.000,1.253.079.000,35.309.875.000,16.354.384.000,6.250.187.000,214.190.000,6.035.997.000,Nível 1,53.95,0.00,Materiais Básicos,Siderurgia,USIM5,69.155.000
12.461.336.000,14.574.004.000,801.593.000,864.170.000,5.519.521.000,1.091.879.000,2.684.455.000,2.112.668.000,571.787.000,Novo Mercado,99.02,100.00,Bens Industriais,Serviços de Apoio e Armazenagem,STBP3,0
34.482.672.000,53.541.672.000,21.201.000.000,1.198.563.000,60.987.000.000,24.313.000.000,24.995.000.000,19.059.000.000,5.936.000.000,Novo Mercado,99.61,100.00,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,VBBR3,199.692.000
8.385.532.000,67.513.151.000,13.847.980.000,10.352.509.000,132.793.411.000,60.725.018.000,76.768.154.000,59.127.619.000,17.640.535.000,Nível 1,11.52,100.00,Consumo não Cíclico,Açucar e Alcool,RAIZ4,20.383.000
10.909.185.000,22.751.185.000,5.720.000.000,1.353.496.000,45.121.000.000,15.965.000.000,16.298.000.000,11.842.000.000,4.456.000.000,Nível 1,99.82,100.00,Consumo não Cíclico,Alimentos,ASAI3,116.293.000
236.109.348.000,219.162.944.000,92.027.435.000,15.761.638.000,140.754.995.000,41.940.170.000,2.894.517.000,-16.946.404.000,19.840.921.000,Tradicional,27.89,80.00,Consumo não Cíclico,Cervejas e Refrigerantes,ABEV3,376.136.000
4.474.472.000,12.507.787.000,5.263.334.000,562.826.000,28.463.401.000,15.828.896.000,8.749.050.000,8.033.315.000,715.735.000,Novo Mercado,66.65,100.00,Consumo Cíclico,Incorporações,MRVE3,65.775.000
387.404.295.000,453.633.295.000,218.127.000.000,4.539.007.000,484.953.000.000,87.682.000.000,98.622.000.000,66.229.000.000,32.393.000.000,Novo Mercado,94.09,100.00,Materiais Básicos,Minerais Metálicos,VALE3,2.476.920.000
465.430.886.000,465.430.886.000,214.918.000.000,11.026.869.000,2.969.351.000.000,2.785.733.000.000,0,0,34.369.000.000,Nível 1,52.64,80.00,Financeiro,Bancos,ITUB4,830.744.000
22.450.791.000,76.823.499.000,5.901.323.000,3.966.570.000,125.738.697.000,26.885.591.000,67.271.111.000,54.372.708.000,12.898.403.000,Novo Mercado,62.18,100.00,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,CSAN3,215.310.000
14.961.718.000,13.701.427.000,10.143.083.000,1.006.845.000,18.348.667.000,10.617.415.000,373.879.000,-1.260.291.000,1.634.170.000,Novo Mercado,98.89,100.00,Consumo Cíclico,Tecidos. Vestuário e Calçados,LREN3,188.124.000
63.180.811.000,80.138.261.000,25.986.034.000,4.665.273.000,62.048.417.000,13.140.211.000,20.928.087.000,16.957.450.000,3.970.637.000,Nível 2,100.00,100.00,Utilidade Pública,Energia Elétrica,CPLE6,0
27.585.016.000,43.912.927.000,13.805.550.000,1.858.828.000,51.603.310.000,9.099.664.000,21.758.055.000,16.327.911.000,5.430.144.000,Novo Mercado,100.00,100.00,Bens Industriais,Transporte Ferroviário,RAIL3,152.846.000
34.542.000.000,67.095.203.000,15.545.938.000,2.020.000.000,67.325.620.000,11.613.762.000,40.263.608.000,32.553.203.000,7.710.405.000,Novo Mercado,49.27,100.00,Bens Industriais,Exploração de Rodovias,MOTV3,106.128.000
6.101.806.000,17.899.075.000,1.291.833.000,1.000.296.000,45.345.889.000,28.397.310.000,26.690.484.000,11.797.269.000,14.893.215.000,Novo Mercado,42.98,100.00,Consumo não Cíclico,Carnes e Derivados,BEEF3,66.469.000
13.420.070.000,48.126.844.000,14.141.924.000,1.326.093.000,100.825.592.000,32.836.649.000,52.146.950.000,34.706.774.000,17.440.176.000,Tradicional,54.26,0.00,Materiais Básicos,Siderurgia,CSNA3,108.251.000
1.261.418.000,1.401.415.000,503.499.000,525.591.000,3.574.566.000,2.015.012.000,381.712.000,139.997.000,241.715.000,Novo Mercado,100.00,100.00,Consumo Cíclico,Viagens e Turismo,CVCB3,55.475.000
3.862.039.000,19.216.415.000,2.788.634.000,347.931.000,29.641.564.000,7.260.531.000,18.671.281.000,15.354.376.000,3.316.905.000,Novo Mercado,33.63,100.00,Consumo Cíclico,Aluguel de carros,MOVI3,52.036.000
4.183.595.000,16.093.127.000,2.630.595.000,1.081.032.000,23.021.635.000,6.631.101.000,16.507.097.000,11.909.532.000,4.597.565.000,Nível 1,37.63,100.00,Bens Industriais,Material de Transporte,VAMO3,59.816.000
7.860.979.000,9.126.151.000,4.444.823.000,1.249.898.000,9.779.703.000,6.022.307.000,3.259.077.000,1.265.172.000,1.993.905.000,Nível 2,76.12,80.00,Bens Industriais,Material Rodoviário,POMO4,59.783.000
27.751.186.000,42.220.828.000,16.387.743.000,1.115.849.000,45.564.670.000,16.297.032.000,18.493.316.000,14.469.642.000,4.023.674.000,Novo Mercado,97.66,100.00,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,UGPA3,110.608.000
12.758.128.000,16.056.764.000,10.433.784.000,456.800.000,24.950.414.000,14.519.382.000,7.496.402.000,3.298.636.000,4.197.766.000,Novo Mercado,66.29,100.00,Consumo Cíclico,Incorporações,CYRE3,159.351.000
42.338.242.000,60.233.854.000,25.946.993.000,872.593.000,59.729.709.000,13.636.387.000,27.307.582.000,17.895.612.000,9.411.970.000,Novo Mercado,89.53,100.00,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,PRIO3,446.586.000
44.028.861.000,49.483.956.000,54.539.163.000,2.000.879.000,87.255.733.000,33.400.217.000,15.328.677.000,5.455.095.000,9.873.582.000,Nível 1,58.30,100.00,Materiais Básicos,Siderurgia,GGBR4,185.464.000
36.850.488.000,49.944.834.000,28.728.491.000,2.861.781.000,64.750.143.000,13.246.560.000,15.411.389.000,13.094.346.000,2.317.043.000,Nível 1,81.34,0.00,Utilidade Pública,Energia Elétrica,CMIG4,145.096.000
150.014.482.000,154.318.482.000,92.412.000.000,11.213.686.000,113.421.000.000,9.710.000.000,9.689.000.000,4.304.000.000,5.385.000.000,Nível 1,65.74,80.00,Financeiro,Holdings Diversificadas,ITSA4,352.782.000
12.573.024.000,32.492.230.000,12.275.532.000,1.050.377.000,48.833.477.000,8.819.329.000,24.994.888.000,19.919.206.000,5.075.682.000,Novo Mercado,29.18,100.00,Utilidade Pública,Energia Elétrica,AURE3,40.858.000
1.865.028.000,4.532.028.000,2.688.000.000,490.796.000,18.148.000.000,4.828.000.000,4.035.000.000,2.667.000.000,1.368.000.000,Novo Mercado,77.40,100.00,Consumo não Cíclico,Alimentos,PCAR3,41.179.000
8.348.094.000,18.798.871.000,12.403.468.000,464.557.000,42.140.541.000,8.373.555.000,15.881.996.000,10.450.777.000,5.431.219.000,Novo Mercado,99.91,100.00,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,BRAV3,204.515.000
