cotação,variação_12m,p_l,p_vp,dy,papel
1.02,80.23,0.31,0.03,0.00,azul4
32.27,4.39,5.37,0.98,16.05,petr4
10.17,8.67,20.39,0.67,3.01,mglu3
14.72,53.75,15.79,3.88,1.89,b3sa3
22.17,8.46,9.91,0.70,5.52,bbas3
44.21,13.53,28.61,8.28,1.88,wege3
3.93,190.39,5.40,0.56,1.72,cogn3
19.53,56.43,9.72,1.18,6.88,bbdc4
10.10,38.49,14.79,2.37,1.08,asai3
0.85,68.05,0.94,0.63,0.00,raiz4
13.73,16.75,13.50,2.35,7.70,abev3
5.36,15.72,2.16,0.33,0.00,usim5
8.98,45.54,3.75,0.95,0.00,mrve3
24.50,32.85,14.90,1.29,7.59,vbbr3
14.42,16.65,15.30,15.55,2.19,stbp3
66.33,19.47,9.98,1.38,6.83,vale3
1.74,35.32,12.28,1.82,0.00,cvcb3
11.37,86.33,14.30,1.43,1.55,movi3
12.02,35.77,8.30,1.43,8.45,itsa4
6.25,10.62,7.67,4.84,0.00,beef3
6.11,43.16,1.71,3.83,0.00,csan3
15.78,11.16,11.95,1.64,5.05,lren3
3.85,40.84,31.59,1.60,6.97,vamo3
40.59,40.68,10.04,2.05,6.88,itub4
12.35,22.61,9.39,1.05,0.47,aure3
16.77,13.56,84.38,2.28,4.64,rail3
34.84,80.73,7.32,1.28,3.04,cyre3
6.39,27.35,6.10,1.64,19.60,pomo4
8.39,25.02,7.18,0.79,0.00,csna3
11.42,7.01,8.14,1.14,12.81,cmig4
19.06,3.30,12.67,0.70,3.24,ggbr4
16.17,40.88,11.33,2.11,2.08,motv3
37.66,4.83,3.34,1.29,0.00,prio3
22.33,27.36,8.38,1.52,3.31,ugpa3
14.21,60.21,19.19,1.63,4.56,cple6
13.55,33.28,6.49,0.51,0.00,brav3
4.06,48.18,1.47,0.74,0.00,pcar3
44.64,10.91,27.27,1.92,4.21,rent3
23.82,3.14,29.71,5.70,1.53,radl3
52.72,66.73,13.76,3.08,2.00,bpac11
4.33,6.13,8.98,1.01,1.19,lwsa3
41.76,47.07,31.06,4.97,1.54,tots3
35.29,48.43,18.82,1.66,3.72,vivt3
16.64,52.38,8.28,1.00,7.32,bbdc3
11.04,0.73,10.43,0.56,3.60,goau4
3.54,8.05,1.19,0.86,0.00,bhia3
1.87,95.75,1.00,0.66,0.00,ifcm3
3.95,23.44,23.64,2.35,0.00,hbsa3
3.25,88.95,5.02,3.78,0.00,rcsl4
17.71,13.80,11.87,2.14,5.63,klbn11
86.99,78.44,30.13,3.54,0.08,embr3
0.38,,3.03,0.83,0.00,azte3
5.40,8.78,11.96,2.93,8.16,cmin3
34.04,8.63,5.65,1.04,15.20,petr3
6.42,40.01,22.69,0.68,4.10,rapt4
34.38,8.61,7.66,5.35,12.15,bbse3
59.37,80.58,25.54,1.41,5.92,elet3
21.12,77.31,6.40,6.39,26.72,mrfg3
4.29,0.00,544.37,1.16,0.00,petz3
16.29,21.78,11.16,3.63,7.81,cxse3
4.04,17.44,8.23,0.83,0.00,cash3
25.75,37.31,25.45,2.62,2.51,smft3
29.97,25.71,12.43,2.54,4.54,mult3
7.65,48.14,1.27,1.71,0.00,brkm5
25.07,70.10,15.05,2.40,7.40,tims3
12.62,89.49,152.16,1.46,0.00,srna3
39.71,25.62,14.83,1.75,5.62,eqtl3
15.31,64.56,25.36,0.16,0.00,hapv3
26.34,35.02,34.72,2.53,2.56,igti11
19.00,15.08,6.64,0.82,10.18,brap4
15.54,23.06,14.29,1.59,6.41,flry3
46.30,67.89,24.05,4.06,1.73,rdor3
7.45,74.02,3.89,0.80,5.00,jhsf3
20.08,70.60,1144.99,1.96,0.00,enev3
13.33,38.31,15.63,1.22,4.31,yduq3
27.74,40.11,18.62,1.04,5.03,alos3
0.20,80.58,0.17,0.78,0.00,azev4
18.63,62.38,10.86,1.62,2.10,ceab3
47.97,19.70,9.28,1.35,4.22,suzb3
3.75,58.92,9.22,0.62,1.45,anim3
17.95,25.55,8.42,1.79,12.31,brfs3
141.60,50.21,13.44,2.27,2.63,sbsp3
5.23,30.42,38.76,0.64,1.03,dxco3
0.21,80.00,0.18,0.82,0.00,azev3
6.18,21.90,8.61,1.75,1.14,simh3
4.23,41.48,26.98,1.15,5.11,arml3
13.00,17.01,9.18,1.38,3.61,intb3
32.32,60.68,8.89,1.08,2.57,neoe3
19.37,17.88,19.99,3.38,1.66,ggps3
41.46,72.00,11.62,1.82,4.45,csmg3
10.63,59.37,8.01,1.76,2.90,ecor3
34.22,39.22,10.51,1.03,5.48,sanb11
0.18,89.41,0.03,0.00,0.00,oibr3
5.44,14.87,14.91,0.74,0.00,cbav3
2.15,23.76,3.90,0.98,5.70,ljqq3
35.31,54.58,11.22,2.84,1.89,viva3
26.62,72.96,7.61,2.62,2.23,tend3
13.71,65.96,18.46,1.57,4.29,cple3
54.67,40.13,7.58,1.35,6.49,engi11
4.93,0.25,6.18,1.11,10.28,grnd3
18.72,22.78,12.33,3.01,4.11,port3
6.09,31.65,1.51,0.26,0.00,amer3
14.36,42.12,4.60,0.53,8.55,brsr6
10.57,36.55,5.01,0.68,8.42,recv3
26.35,36.61,19.92,1.34,4.51,hype3
2.91,70.01,9.38,0.27,3.51,hbor3
50.08,22.75,7.62,0.77,0.00,irbr3
28.65,24.08,7.85,0.71,5.07,azza3
16.52,3.22,12.59,1.38,3.34,slce3
5.11,27.32,6.09,1.13,4.82,gmat3
14.66,15.02,8.60,1.20,3.83,sbfg3
18.39,102.01,12.65,3.93,5.92,dirr3
2.14,5.86,61.12,0.45,0.26,qual3
9.69,3.85,12.18,2.29,7.18,kepl3
49.14,60.50,10.38,2.50,5.69,cpfe3
3.56,12.55,11.90,2.15,5.62,klbn4
37.49,26.92,8.98,2.52,7.75,tgma3
1.30,7.14,20.56,0.35,0.00,mlas3
47.50,31.55,9.60,2.07,5.24,pssa3
27.63,24.10,6.21,0.87,10.20,isae4
1.76,33.58,0.70,2.04,0.00,onco3
15.80,32.03,10.17,3.25,6.38,plpl3
39.03,92.58,13.10,8.24,6.86,cury3
5.32,18.49,0.86,0.35,0.00,ligt3
4.17,23.43,1486.04,0.37,6.58,posi3
19.65,46.85,7.88,0.84,8.06,eztc3
13.67,44.48,8.98,0.65,6.58,smto3
36.24,33.44,4.98,0.91,6.17,sapr11
1.64,19.61,0.55,0.27,0.00,vveo3
3.08,30.51,3.92,0.52,0.00,dasa3
11.52,88.90,20.96,1.82,0.94,alpa4
43.36,35.47,8.67,1.95,7.41,taee11
11.48,16.01,10.95,4.88,6.55,odpv3
11.15,52.32,21.15,1.86,2.17,bpan4
5.32,14.88,2.12,0.32,0.00,usim3
15.18,9.07,8.66,1.59,1.29,tten3
4.38,15.88,6.61,0.57,9.65,bmgb4
31.56,12.72,8.49,2.09,4.65,egie3
24.08,19.67,5.42,0.88,8.08,abcb4
5.17,76.66,6.78,1.10,8.37,syne3
10.87,39.16,12.22,0.97,1.08,guar3
4.86,12.69,6.67,1.12,6.97,shul4
5.51,53.06,15.58,1.08,4.92,pgmn3
1.07,8.55,10.71,0.72,0.00,enju3
1.19,7.03,2.34,0.38,0.00,meal3
7.18,31.22,4.94,0.90,6.35,sapr4
10.10,12.45,7.78,0.37,4.97,mypk3
5.73,18.24,12.20,0.58,3.84,caml3
8.62,30.92,5.03,1.37,8.65,rani3
2.93,44.19,12.33,0.44,0.00,jall3
25.10,22.96,19.75,2.92,2.46,fras3
33.71,27.96,9.55,1.23,2.85,alup11
20.32,39.84,4.75,2.23,24.41,vulc3
28.51,105.98,6.88,1.34,4.05,mdne3
26.69,109.70,15.38,1.99,6.44,bmob3
3.63,4.95,7.77,0.38,14.06,mtre3
8.62,24.78,11.57,0.84,1.72,soja3
62.60,69.24,26.93,1.48,6.18,elet6
4.57,43.89,5.17,0.49,4.43,tasa4
