cotação,dy,pvp,liquidez_diária,liquidez_unidade,variação,papel
10.05,5.07,0.99,94.52,K,1.21,AFHF11
7.84,9.38,0.71,953.47,K,18.61,AJFI11
80.60,0.00,0.99,2.52,M,3.33,AURB11
7.78,16.58,0.83,107.80,K,-2.99,ALZC11
10.63,9.38,0.99,1.68,M,17.33,ALZR11
94.64,12.64,1.01,516.10,K,14.70,AFHI11
73.65,5.44,0.60,231.07,K,-22.83,APXM11
1.05,7.05,1.18,3.88,K,8.25,AROA11
7.59,15.03,0.83,58.95,K,5.86,ARXD11
52.00,9.38,0.66,497.13,K,26.21,AIEC11
7.59,14.26,0.89,607.34,K,24.02,AZPL11
72.31,16.76,0.92,87.20,K,-13.86,BNFS11
64.19,15.55,0.76,452.90,K,18.21,BCRI11
62.54,13.56,0.86,188.37,K,11.64,BBFO11
5.92,6100.00,0.01,200.66,K,-92.96,BBFI11
32.80,10.79,0.65,147.95,K,14.69,BLMG11
98.19,12.89,0.94,107.23,K,3.61,BBRC11
7.00,14.24,0.71,1.16,M,12.36,BBIG11
1154.41,6.51,1.50,3.19,K,-14.97,BVAR11
90.00,9.41,0.85,18.15,K,0.27,BMLC11
83.78,11.60,0.85,1.65,M,12.43,FATN11
53.15,13.41,0.86,305.22,K,-1.83,BPFF11
86.72,11.80,0.87,370.68,K,14.27,BCIA11
0.98,0.00,0.14,8.89,K,-27.41,CARE11
598.00,35.21,1.07,7.13,K,15.59,BRIP11
6.05,17.02,0.71,49.81,K,-1.79,BIME11
882.75,7.23,0.80,870.93,K,4.00,BICE11
116.16,9.12,0.99,3.46,M,20.61,BRCO11
303.80,26.52,1.58,16.06,K,-29.35,BRIM11
43.49,10.71,0.65,15.68,K,25.26,BTHI11
53.25,12.18,0.49,317.17,K,28.44,BROF11
57.20,0.00,1.12,63.21,K,-0.12,LLAO11
77.62,13.76,0.66,828.81,K,26.46,BTAL11
9.14,12.55,0.92,1.60,M,11.60,BTCI11
42.34,12.50,0.50,2.13,M,7.43,BRCR11
108.78,0.00,0.92,2.71,K,-2.53,BTSI11
8.30,13.44,0.85,3.61,M,12.16,BTHF11
105.49,6.98,0.89,108.35,K,7.41,BTWR11
59.48,7.90,0.54,204.68,K,55.38,BTRA11
145.92,7.95,0.96,1.31,K,-1.06,BTSG11
79.08,19.13,0.64,2.54,M,24.40,BPML11
103.76,9.13,1.00,8.25,M,18.90,BTLG11
63.15,13.31,0.66,107.33,K,27.14,CXCO11
64.03,11.06,0.77,379.81,K,0.06,CXRI11
8.66,11.48,0.83,162.13,K,11.03,CCME11
74.10,9.88,0.89,28.64,K,17.15,CRFF11
109.50,6.84,1.02,20.47,M,7.66,CPOF11
10.84,10.69,1.09,28.83,M,16.81,CPUR11
12.64,8.54,1.18,26.54,M,26.02,CPLG11
33.10,3.43,0.50,273.83,K,44.73,CBOP11
90.79,6.99,0.71,107.20,K,-1.26,BLCA11
10.59,11.63,0.90,5.48,M,30.90,CPSH11
7.41,13.41,0.83,5.42,M,22.08,CPTS11
75.07,21.51,1.00,1.45,M,-8.06,CACR11
1.71,5.12,0.23,375.62,K,56.88,CNES11
62.50,3.63,0.85,1.39,M,24.95,CJCT11
16.80,435.24,0.64,2.67,K,66.67,CFHI11
523.00,40.29,0.63,225.50,K,21.27,CFII11
84.93,14.68,0.87,1.19,M,11.05,CLIN11
118.01,0.00,0.98,104.98,K,18.01,CYLD11
8.41,14.98,0.90,682.44,K,10.08,CYCR11
48.85,20.08,0.03,958.42,K,-2.67,IBCR11
