p_l,p_receita_psr,p_vp,dy,payout,margem_líquida,margem_bruta,margem_ebit,margem_ebitda,ev_ebit,p_ebit,p_ativo,p_capgiro,p_ativo_circ_liq,vpa,lpa,giro_ativos,roe,roic,roa,patrimônio___ativos,passivos___ativos,liquidez_corrente,cagr_receitas_5_anos,cagr_lucros_5_anos,papel,ev_ebitda,p_ebitda,dívida_líquida___patrimônio,dívida_líquida___ebitda,dívida_líquida___ebit,dívida_bruta___patrimônio
9.29,0.79,1.13,7.17,63.65,8.45,30.41,7.36,0.00,9.87,10.67,0.09,0.71,0.48,16.58,2.01,0.11,12.14,8.85,0.98,0.08,0.92,1.19,25.87,5.47,bbdc4,,,,,,
108.10,1.48,1.45,0.00,0.00,1.37,34.40,24.27,39.51,14.32,6.09,0.39,48.44,0.46,8.64,0.12,0.26,1.35,6.88,0.37,0.27,0.73,1.06,37.02,6.36,srna3,8.80,3.74,1.96,5.06,8.23,2.15
7.18,0.77,2.36,2.46,5.43,10.69,29.38,11.13,13.15,7.96,6.90,0.48,1.50,1.26,9.58,3.14,0.62,32.79,15.52,6.45,0.20,0.80,2.03,9.66,13.55,tend3,6.74,5.84,0.36,0.90,1.07,1.01
11.84,0.16,0.82,6.34,74.87,1.38,32.00,5.40,9.07,5.17,3.04,0.25,1.26,0.57,4.90,0.34,1.54,6.93,14.90,2.14,0.31,0.69,1.57,15.78,15.58,pgmn3,3.08,1.81,0.58,1.27,2.13,0.61
12.37,1.10,2.23,5.81,72.59,8.89,38.34,23.31,36.72,10.09,4.72,0.37,2.61,0.50,1.66,0.30,0.33,18.06,9.40,3.30,0.16,0.76,2.12,11.72,,klbn3,6.40,2.99,2.55,3.42,5.38,3.50
3.88,0.04,0.22,0.00,0.00,1.10,14.15,2.08,3.96,13.49,2.05,0.06,0.26,0.13,59.15,3.37,1.34,5.70,4.22,1.48,0.26,0.74,1.63,,,amob3,7.07,1.08,1.23,5.99,11.43,1.35
9.87,0.85,1.14,4.77,22.60,8.64,32.49,10.41,389.38,9.95,8.19,0.75,2.08,1.80,4.00,0.46,0.88,11.52,8.23,7.58,0.66,0.34,2.63,8.61,4.28,vitt3,0.27,0.22,0.25,0.05,1.77,0.35
9.62,1.35,2.72,12.85,120.43,14.07,29.43,18.38,24.21,8.05,7.36,1.01,3.76,1.71,24.83,7.03,0.75,28.31,13.19,10.53,0.37,0.62,2.96,7.89,16.47,unip6,6.11,5.59,0.38,0.77,1.02,1.00
9.52,0.38,2.01,0.00,0.00,4.03,51.34,12.16,17.31,6.77,3.16,0.29,1.38,0.39,0.56,0.12,0.75,21.06,18.95,3.02,0.14,0.86,0.56,6.72,,amar3,4.75,2.22,2.29,2.53,3.61,2.33
5.20,0.39,0.85,6.60,34.87,7.56,16.76,11.44,12.96,3.48,3.44,0.54,1.18,1.53,9.28,1.51,1.38,16.28,13.81,10.47,0.64,0.36,3.52,17.03,2.80,dexp3,3.07,3.03,0.01,0.03,0.04,0.23
7.89,0.54,0.61,9.25,79.79,6.89,27.12,6.38,11.25,15.37,8.53,0.29,0.95,0.73,13.19,1.03,0.54,7.79,3.88,3.73,0.48,0.52,2.07,7.39,11.28,romi3,8.71,4.83,0.49,3.88,6.84,0.66
5.93,0.99,1.26,10.17,60.22,16.77,48.58,18.02,21.55,4.65,5.52,0.99,2.85,2.04,7.35,1.56,0.99,21.24,19.31,16.65,0.78,0.22,3.04,20.26,24.55,camb3,3.89,4.61,0.20,0.72,0.87,0.01
24.85,1.55,1.32,0.24,12.26,6.23,68.37,30.18,48.49,8.26,5.13,0.50,13.73,0.60,12.13,0.64,0.32,5.31,11.61,2.18,0.38,0.62,1.26,,,desk3,5.14,3.19,0.80,1.95,3.13,1.06
7.66,3.18,1.80,7.49,46.48,41.44,61.77,70.52,71.26,7.61,4.50,0.64,22.41,0.75,7.37,1.73,0.20,23.53,15.95,8.33,0.35,0.65,1.24,3.95,4.57,taee3,7.53,4.46,1.24,3.06,3.09,1.35
3.03,0.45,0.79,5.41,18.00,14.73,26.60,17.82,38.47,3.45,2.50,0.42,6.82,0.70,14.78,3.86,0.93,26.11,21.36,13.77,0.53,0.47,1.18,18.54,28.03,ealt4,1.60,1.16,0.26,0.38,0.82,0.29
