valor_de_mercado,valor_de_firma,patrimônio_líquido,n_total_de_papeis,ativos,ativo_circulante,disponibilidade,tag_along,segmento_de_listagem,free_float,setor,segmento,papel,dívida_bruta,dívida_líquida
183325864000,183325864000,175635225000,10592012000,2202774724000,1788672711000,225625971000,80.00,nível 1,62.16,financeiro,bancos,bbdc4,,
7827723000,18402929000,5382919000,622730000,20046325000,3074956000,1008830000,100.00,novo mercado,68.34,utilidade pública,energia elétrica,srna3,11584036000,10575206000
2779468000,3208934000,1179662000,123094000,5850578000,3647393000,761207000,100.00,novo mercado,98.69,consumo cíclico,incorporações,tend3,1190673000,429466000
2338496000,3980484000,2851844000,581715000,9267606000,5134852000,106262000,100.00,novo mercado,31.17,saúde,medicamentos e outros produtos,pgmn3,1748250000,1641988000
22825925000,48926312000,10239102000,6179682000,62163679000,16586925000,9725682000,100.00,nível 2,63.92,materiais básicos,papel e celulose,klbn3,35826069000,26100387000
495170000,3249592000,2241003000,37886000,8630074000,4835201000,273628000,100.00,novo mercado,0.00,consumo cíclico,automóveis e motocicletas,amob3,3028050000,2754422000
683928000,831433000,601557000,150314000,910741000,530450000,63607000,100.00,nível 1,31.87,consumo não cíclico,agricultura,vitt3,211112000,147505000
7310002000,8367628000,2809925000,113173000,7539380000,3075524000,1747534000,0.00,tradicional,55.28,materiais básicos,químicos diversos,unip6,2805160000,1057626000
580205000,1242822000,289343000,513456000,2018171000,526997000,10248000,0.10,novo mercado,46.13,consumo cíclico,tecidos. vestuário e calçados,amar3,672865000,662617000
860509000,870382000,1014217000,109310000,1577581000,1015989000,227309000,100.00,tradicional,99.67,materiais básicos,petroquímicos,dexp3,237182000,9873000
755614000,1361913000,1229154000,93170000,2576312000,1537432000,204420000,100.00,novo mercado,53.55,bens industriais,máquinas e equipamentos industriais,romi3,810719000,606299000
391467000,330084000,310829000,42275000,396486000,204663000,63673000,0.00,tradicional,49.84,consumo cíclico,calçados,camb3,2290000,61383000
1850005000,2977482000,1402261000,115625000,3734989000,652423000,352702000,100.00,nível 1,31.01,telecomunicações,telecomunicações,desk3,1480179000,1127477000
13777970000,23189798000,7612368000,1033496000,21504866000,3198267000,896883000,100.00,nível 2,63.44,utilidade pública,energia elétrica,taee3,10308711000,9411828000
276645000,362571000,332505000,22500000,630349000,252398000,11635000,0.00,tradicional,59.77,bens industriais,máquinas e equipamentos industriais,ealt4,97561000,85926000
754490000,703145000,509731000,41800000,746484000,238696000,100728000,100.00,novo mercado,44.32,bens industriais,serviços diversos,csud3,49383000,51345000
39344000,215869000,106634000,43716000,491172000,130119000,2108000,100.00,novo mercado,82.71,petróleo. gás e biocombustíveis,equipamentos e serviços,lupa3,178633000,176525000
231174000,121207000,443784000,9140000,578959000,206222000,127038000,100.00,novo mercado,43.09,tecnologia da informação,programas e serviços,ngrd3,17071000,109967000
406433000,437143000,417855000,64106000,688254000,456563000,66478000,100.00,novo mercado,38.44,consumo cíclico,acessórios,tecn3,97188000,30710000
667171000,989219000,1059074000,118292000,2878610000,742340000,116421000,100.00,novo mercado,6.19,saúde,serviços médicos. hospitalares. análises e diagnósticos,aalr3,438469000,322048000
11125853000,19874209000,19368000000,993705000,87319904000,33463871000,9895551000,100.00,nível 1,70.19,materiais básicos,siderurgia,goau3,18643907000,8748356000
79303000,152646000,184099000,66086000,378719000,106246000,38801000,100.00,novo mercado,43.14,consumo cíclico,móveis,ucas3,112144000,73343000
980525000,1193898000,1499159000,94828000,3335841000,2399398000,237030000,100.00,novo mercado,29.32,telecomunicações,telecomunicações,alld3,450403000,213373000
256899000,20312000,1116516000,53857000,3396446000,2547516000,315309000,100.00,novo mercado,10.02,materiais básicos,fertilizantes e defensivos,fher3,38097000,277212000
759230000,786188000,732067000,96226000,922242000,32057000,16605000,100.00,novo mercado,54.36,consumo não cíclico,agricultura,land3,43563000,26958000
26527055000,55623743000,18226858000,2289424000,79416800000,17857182000,8717614000,100.00,nível 2,71.31,utilidade pública,energia elétrica,engi3,37814302000,29096688000
631067000,1238818000,1274569000,126634000,2563359000,1480437000,194378000,100.00,nível 2,59.85,bens industriais,armas e munições,tasa3,802129000,607751000
3059409000,8764402000,5211994000,119202000,15771597000,3302854000,108292000,0.00,tradicional,36.51,utilidade pública,energia elétrica,coce5,5813285000,5704993000
942277000,427507000,1553866000,93597000,4171620000,2061528000,1378095000,0.00,tradicional,3.43,telecomunicações,telecomunicações,telb4,8310000,1369785000
102754000,10142264000,15495962000,330121000,18729654000,4601185000,1149346000,80.00,nível 1,90.04,telecomunicações,telecomunicações,oibr4,11188856000,10039510000
7673181000,14806181000,2019000000,193759000,13007000000,3697000000,782000000,0.00,tradicional,0.32,utilidade pública,energia elétrica,ektr4,7915000000,7133000000
95708000,968003000,453746000,16969000,2769627000,1324375000,139425000,100.00,nível 1,37.28,consumo não cíclico,agricultura,agxy3,1011720000,872295000
3195838000,2949285000,3984960000,363046000,74509301000,68245397000,246553000,0.00,tradicional,11.55,financeiro,bancos,bsli3,,
11501572000,20580227000,8570256000,988880000,31334837000,6556473000,3696420000,100.00,nível 2,34.43,utilidade pública,energia elétrica,alup3,12775075000,9078655000
948774000,979355000,238009000,126841000,417966000,197762000,77015000,0.00,tradicional,56.32,saúde,medicamentos e outros produtos,biom3,107596000,30581000
540362000,852190000,1045955000,114000000,1679929000,517712000,33516000,100.00,novo mercado,96.56,consumo cíclico,tecidos. vestuário e calçados,vste3,345344000,311828000
63454000,60464000,40889000,14860000,56747000,6445000,2990000,0.00,tradicional,12.92,financeiro,holdings diversificadas,epar3,,2990000
2748496000,2748496000,2362681000,347504000,38914230000,29129246000,8115448000,100.00,tradicional,4.59,financeiro,bancos,bees4,,
93385000,140488000,245402000,13283000,222039000,106592000,51108000,100.00,nível 1,29.51,financeiro,outros,dotz3,98211000,47103000
5819200000,5819200000,10833866000,408974000,156338226000,146627096000,3435018000,80.00,nível 1,50.61,financeiro,bancos,brsr3,,
26527055000,55623743000,18226858000,2289424000,79416800000,17857182000,8717614000,100.00,nível 2,71.31,utilidade pública,energia elétrica,engi4,37814302000,29096688000
19663000,195861000,230512000,25260000,632088000,192847000,33751000,0.00,tradicional,56.36,consumo cíclico,fios e tecidos,ctsa4,209949000,176198000
1219247000,1478004000,657578000,53949000,1328002000,833913000,147599000,100.00,novo mercado,42.94,saúde,medicamentos e outros produtos,ofsa3,406356000,258757000
574121000,574121000,838361000,18558000,13515374000,12799379000,100821000,100.00,tradicional,8.54,financeiro,bancos,bgip4,,
13337243000,26919954000,4365337000,2110323000,31875451000,8535134000,3887251000,0.00,tradicional,0.25,utilidade pública,energia elétrica,rede3,17469962000,13582711000
