cotação,variação_12m,p_l,p_vp,dy,papel
18.70,44.46,9.29,1.13,7.17,bbdc4
12.57,68.72,108.10,1.45,0.00,srna3
22.58,44.40,7.18,2.36,2.46,tend3
4.02,19.64,11.84,0.82,6.34,pgmn3
3.70,12.34,12.37,2.23,5.81,klbn3
13.07,,3.88,0.22,0.00,amob3
4.55,16.34,9.87,1.14,4.77,vitt3
67.60,56.24,9.62,2.72,12.85,unip6
1.13,20.21,9.52,2.01,0.00,amar3
7.86,3.86,5.20,0.85,6.60,dexp3
8.11,14.15,7.89,0.61,9.25,romi3
9.26,15.65,5.93,1.26,10.17,camb3
16.00,12.96,24.85,1.32,0.24,desk3
13.28,21.40,7.66,1.80,7.49,taee3
11.68,10.56,3.03,0.79,5.41,ealt4
18.05,11.51,8.00,1.48,6.31,csud3
0.90,38.36,1.56,0.37,0.00,lupa3
25.29,3.22,11.73,0.52,0.00,ngrd3
6.34,22.39,6.51,0.97,3.78,tecn3
5.64,61.66,7.71,0.63,0.00,aalr3
11.19,6.61,10.60,0.57,3.04,goau3
1.20,39.69,65.92,0.43,15.01,ucas3
10.34,63.70,8.79,0.65,19.66,alld3
4.77,28.92,0.40,0.23,0.00,fher3
7.89,35.77,46.53,1.04,0.94,land3
14.30,13.03,9.59,1.80,3.99,engi3
5.30,42.87,5.67,0.53,3.73,tasa3
30.00,14.68,12.15,0.69,4.63,coce5
8.30,5.57,40.53,0.50,0.00,telb4
4.74,58.20,0.85,0.10,0.00,oibr4
39.08,4.33,8.13,3.75,12.74,ektr4
5.64,10.48,0.60,0.21,0.00,agxy3
8.78,0.15,4.95,0.80,4.66,bsli3
12.00,28.56,11.44,1.38,2.50,alup3
7.48,24.82,14.09,3.99,0.00,biom3
4.74,53.47,1025.36,0.52,0.03,vste3
4.27,13.20,7.73,1.55,43.23,epar3
7.88,3.16,7.35,1.16,6.56,bees4
7.03,37.30,120.97,0.38,0.00,dotz3
14.44,28.23,6.36,0.55,8.60,brsr3
9.87,39.19,6.62,1.24,6.00,engi4
2.23,44.80,1.14,0.24,0.00,ctsa4
22.60,5.92,9.32,1.85,3.36,ofsa3
29.30,39.47,4.57,0.65,10.35,bgip4
6.32,0.23,9.52,3.06,10.44,rede3
86.94,11.96,16.10,3.34,1.42,bauh4
1.81,42.36,0.13,0.04,0.00,rsid3
8.95,35.98,1.24,0.16,0.00,ceed3
4.90,109.40,0.82,2.61,0.00,hoot4
35.00,37.89,12.61,1.88,14.88,gepa4
13.10,9.44,3.40,0.89,4.42,ealt3
46.98,44.98,9.63,0.88,5.68,mtsa4
2.09,32.14,0.66,0.47,0.00,rdni3
8.40,9.97,10.47,0.76,0.00,ptnt3
1.12,13.85,15.33,0.26,0.00,haga4
18.71,20.31,6.70,0.64,3.57,euca3
176.46,300.67,12.27,1.58,12.24,tkno3
1.85,24.80,25.32,0.43,0.00,haga3
0.86,60.19,484.51,268.96,0.00,ppla11
515.00,81.65,3.05,0.90,6.45,bmks3
13.50,48.08,1.90,0.45,0.00,cedo3
32.00,25.37,9.05,0.44,18.43,hbts5
30.80,50.73,6.65,1.25,8.93,eqma3b
3.77,5.49,1358.01,0.41,0.29,dohl4
3.39,72.31,1.89,0.44,6.85,luxm4
3.14,45.49,0.21,0.02,0.00,snsy5
7.22,5.15,14.75,1.78,5.95,aflt3
10.00,28.57,4.42,1.80,0.00,mwet4
4.99,16.83,0.38,0.10,0.00,plas3
5.99,75.66,1.87,0.08,0.00,estr4
17.08,4.15,10.25,0.57,8.20,bmin4
9.01,27.24,3.33,0.27,4.65,cbee3
2.90,61.33,0.02,0.00,0.00,gshp3
5.15,30.03,1.04,0.27,0.00,nord3
5.00,8.93,83.17,108.83,0.00,psvm11
21.25,,0.00,0.65,0.00,ccty3
2.75,32.93,35.06,45.48,0.00,dtcy3
46.00,28.10,8.01,2.14,2.35,bmeb3
32.00,18.66,12.97,0.73,4.22,coce3
6.25,15.77,7.62,2.96,10.54,eqpa5
34.00,36.43,12.25,1.83,15.21,gepa3
13.17,12.43,12.94,2.26,7.96,abev3
17.90,14.70,7.88,0.68,8.47,brsr5
0.89,69.42,1.29,0.57,0.00,raiz4
31.09,0.41,5.18,1.00,16.79,petr4
13.11,25.49,14.34,3.50,2.10,b3sa3
14.42,16.65,15.30,15.55,2.19,stbp3
7.60,5.70,2.98,0.83,0.00,mrve3
65.66,11.93,9.87,1.37,6.91,vale3
5.45,17.67,2.18,0.33,0.00,usim5
6.38,8.14,7.83,4.94,0.00,beef3
1.86,16.22,9.71,2.09,0.00,cvcb3
5.98,50.70,1.87,3.06,0.00,csan3
9.51,52.25,12.03,1.30,1.83,movi3
16.12,35.09,11.26,2.09,2.09,motv3
11.82,21.90,8.37,1.45,8.72,itsa4
7.00,13.69,6.64,1.79,8.50,pomo4
11.73,14.15,5.16,1.18,12.45,cmig4
14.16,56.64,13.88,1.65,4.49,cple6
14.70,15.03,7.03,0.55,0.00,brav3
3.34,22.33,0.18,0.21,0.00,bhia3
3.99,22.39,7.77,1.38,0.00,hbsa3
41.48,0.40,19.31,1.76,4.49,rent3
45.33,35.04,33.48,5.35,1.50,tots3
3.75,19.43,1.36,0.68,0.00,pcar3
50.26,53.08,14.37,3.03,2.10,bpac11
20.68,17.88,26.47,5.08,1.78,radl3
0.12,95.38,0.05,0.06,0.00,ifcm3
15.92,38.43,7.91,0.96,7.64,bbdc3
33.82,35.88,18.02,1.59,3.53,vivt3
34.18,4.85,7.60,5.31,12.48,bbse3
58.77,74.14,25.29,1.39,6.10,elet3
86.99,78.44,30.13,3.54,0.08,embr3
21.12,77.31,6.40,6.39,26.72,mrfg3
6.01,43.99,10.66,0.69,4.24,rapt4
3.94,32.65,499.96,1.06,7.57,petz3
18.39,12.15,12.29,2.22,5.83,klbn11
5.79,1.70,12.85,3.15,4.68,cmin3
15.01,10.43,10.39,3.38,8.39,cxse3
28.52,17.54,12.02,2.46,4.75,mult3
37.18,19.20,12.70,1.66,5.80,eqtl3
24.54,15.12,24.43,2.51,2.53,smft3
6.46,62.83,0.89,1.35,0.00,brkm5
24.60,67.63,14.78,2.36,7.39,tims3
6.78,56.99,4.04,0.77,5.43,jhsf3
26.13,23.69,19.24,1.06,4.70,alos3
3.77,51.84,17.81,1.06,5.54,arml3
30.08,59.41,8.28,1.01,2.73,neoe3
8.55,16.49,7.88,1.58,3.69,ecor3
5.23,8.80,5.82,1.17,11.00,grnd3
5.18,58.41,0.11,0.24,0.00,amer3
24.82,16.44,19.08,1.28,4.66,hype3
16.10,10.06,12.13,1.38,3.33,slce3
4.08,122.31,10.87,0.37,2.37,hbor3
12.57,21.34,5.61,0.83,17.34,recv3
6.42,14.61,10.03,1.39,3.81,gmat3
26.27,16.31,5.92,0.83,9.91,isae4
1.20,26.38,8.52,0.33,0.00,mlas3
35.78,39.78,4.66,0.92,6.32,sapr11
18.81,29.74,8.43,0.83,2.92,eztc3
35.39,57.95,13.13,7.77,5.18,cury3
13.95,16.83,7.97,3.13,7.02,plpl3
11.88,5.64,11.42,5.09,8.31,odpv3
1.86,31.11,1.16,0.18,0.00,dasa3
1.38,49.08,0.30,0.25,0.00,vveo3
10.62,33.58,19.74,1.79,2.27,bpan4
10.41,45.03,27.36,1.72,1.00,alpa4
22.96,7.92,18.44,2.84,2.67,fras3
5.48,16.21,2.20,0.33,0.00,usim3
22.95,13.89,5.16,0.84,8.31,abcb4
2.65,56.41,14.35,0.40,0.00,jall3
4.93,54.58,6.39,0.72,9.26,syne3
1.30,6.47,2.83,0.40,0.00,meal3
11.13,6.58,8.51,0.41,4.56,mypk3
4.77,21.99,6.32,1.13,6.98,shul4
42.49,10.23,11.43,2.82,4.91,egie3
0.90,31.30,8.80,0.60,0.00,enju3
4.80,48.04,5.13,0.48,4.14,tasa4
33.60,24.69,10.67,1.29,2.66,alup11
13.46,29.12,10.46,2.06,3.73,mils3
23.86,73.56,16.48,1.84,7.22,bmob3
5.59,26.96,11.90,0.57,5.12,caml3
58.05,20.81,61.40,3.43,0.00,orvr3
29.32,89.71,7.66,1.47,4.13,mdne3
35.71,34.47,8.80,1.79,7.93,itub3
5.98,80.58,0.69,0.03,0.00,gfsa3
8.27,46.45,7.16,2.06,2.97,wizc3
5.32,33.55,9.81,1.52,5.15,fiqe3
10.48,40.62,14.59,1.03,1.45,seer3
4.52,2.80,21.34,0.23,0.00,hbre3
5.55,70.62,10.05,1.31,3.67,csed3
12.60,24.64,7.14,0.96,2.76,blau3
19.16,39.82,11.14,2.49,10.84,brbi11
8.19,14.54,8.77,0.73,8.93,pfrm3
9.52,4.16,12.20,1.16,3.04,pnvl3
7.58,42.23,7.08,0.92,3.96,tris3
3.87,41.15,5.98,0.75,29.80,melk3
3.28,33.88,4.78,0.61,0.00,zamp3
6.48,5.61,6.15,1.66,9.32,pomo3
1.08,8.00,0.06,0.01,0.00,pmam3
2.11,48.91,3.15,2.84,0.00,rcsl3
0.95,56.02,2.80,0.27,0.00,rnew4
20.02,14.74,14.89,0.94,3.70,agro3
4.08,39.64,0.20,1.22,0.00,aeri3
3.02,25.58,12.04,0.88,3.16,igti3
4.20,20.29,5.55,0.31,2.07,eter3
11.82,21.31,8.37,1.45,8.65,itsa3
10.85,21.88,10.34,1.25,2.73,alup4
6.20,3.33,4.00,1.33,0.00,trad3
68.49,18.39,6.91,1.64,3.37,rsul4
1.42,69.13,0.07,0.18,0.00,jfen3
78.02,8.08,3.74,0.62,10.24,baza3
4.40,28.61,7.07,2.97,13.63,whrl3
33.84,34.23,29.76,3.40,0.00,logn3
9.12,105.48,7.10,1.78,7.21,pine3
2.15,56.39,0.00,0.00,0.00,osxb3
5.89,26.38,4.66,0.30,0.00,west3
106.27,44.89,6.75,1.06,10.00,clsc4
10.50,20.45,51.28,0.63,0.00,telb3
5.85,11.07,7.13,2.77,11.40,eqpa3
28.24,83.47,24.23,5.10,1.23,bpac3
3.23,46.70,3.16,0.31,0.00,rnew11
24.40,40.41,8.95,1.63,15.18,cebr3
18.78,100.70,6.47,1.01,12.18,balm4
3.42,23.15,0.09,0.17,0.00,nexp3
39.69,1.49,21.97,1.16,0.00,emae4
58.79,39.00,8.36,2.37,13.36,unip3
121.00,1.79,10.01,9.35,7.66,cgas3
53.99,34.49,5.09,2.07,11.62,sond5
69.09,58.06,9.83,2.78,12.65,unip5
18.05,14.02,22.38,1.19,0.00,mndl3
11.45,56.79,1.61,0.38,0.00,cedo4
18.24,36.65,5.85,0.83,9.62,wlmm4
14.00,28.61,13.72,1.63,4.62,cple5
23.50,12.68,5.29,0.97,4.46,mrsa5b
57.11,42.26,5.38,2.19,10.98,sond6
7.00,21.35,0.57,0.05,0.00,bdll4
36.00,32.20,10.68,1.11,7.56,pati3
11.50,3.04,14.91,1.21,8.71,fesa3
28.15,0.36,6.34,1.16,3.09,mrsa3b
21.00,19.17,91.54,1.04,0.00,crpg6
20.90,70.22,7.20,1.13,10.94,balm3
105.00,8.12,3.35,0.61,5.70,bnbr3
32.02,52.67,7.30,1.26,3.39,cyre3
15.55,21.63,44.71,2.15,5.13,rail3
38.16,6.68,3.40,1.32,0.00,prio3
19.20,0.12,12.98,0.71,3.33,ggbr4
30.77,39.49,32.32,0.32,0.00,hapv3
5.46,35.77,40.31,0.66,0.99,dxco3
17.95,25.55,8.42,1.79,15.55,brfs3
136.28,53.45,8.34,2.30,2.73,sbsp3
13.39,2.24,7.05,1.04,4.04,sbfg3
36.75,23.50,8.79,2.46,9.99,tgma3
61.92,64.29,26.64,1.47,6.35,elet6
49.64,37.45,10.29,2.22,5.06,pssa3
17.15,86.47,12.93,4.05,6.38,dirr3
5.52,30.14,13.19,0.87,7.50,jslg3
14.82,0.17,29.90,2.03,0.34,prnr3
7.49,24.63,71.07,0.79,0.00,even3
17.97,80.29,20.61,5.39,1.45,tfco4
7.44,50.75,4.84,0.95,5.65,sapr3
11.86,25.33,4.02,0.58,0.18,vtru3
9.52,122.41,7.41,1.86,6.80,pine4
29.27,13.78,16.91,1.22,2.40,mdia3
1.30,10.96,0.59,0.30,0.00,tcsa3
17.69,31.79,6.33,0.60,4.12,euca4
16.83,23.62,10.37,1.02,5.86,sanb4
14.55,8.71,6.40,1.46,10.02,cmig3
4.87,31.60,14.79,0.27,0.00,dmvf3
0.29,98.01,1.89,0.44,0.00,ambp3
1.01,44.81,7.85,0.65,0.00,pdtc3
0.98,54.63,2.88,0.28,0.00,rnew3
1.14,24.50,0.12,0.03,0.00,inep4
11.00,26.50,9.44,1.99,3.24,bpac5
5.97,35.01,10.59,0.68,4.31,rapt3
8.88,3.48,5.01,0.81,5.05,bsli4
58.10,47.74,10.11,2.70,2.03,bmeb4
4.91,22.31,6.12,0.45,0.00,ptnt4
0.79,46.62,1.31,0.37,0.00,vivr3
30.61,30.19,5.35,0.66,10.40,cgra3
20.98,15.40,91.45,1.04,0.00,crpg5
10.62,71.95,27.92,1.76,0.88,alpa3
35.16,5.84,4.25,1.08,16.63,ceeb3
2.59,68.72,1.33,0.28,0.00,ctsa3
4.93,37.91,25.67,0.38,0.19,rpad3
35.00,27.95,16.91,0.73,4.13,peab4
