Papel,Setor,Preço Atual (R$),Liquidez Diária (R$),Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas
AAGR11,Indefinido,94.0,11221.76,1.46,1.54,4.57,8.69,16.82,1.52,1.45,1.4,12.94,2.63,4.21,24.14,,,,0.0,0.0,0.0,0.0,0,60.12,0
AAZQ11,Indefinido,7.67,189389.24,0.12,1.54,4.31,8.83,18.33,1.44,1.47,1.53,16.8,1.7,3.27,48.06,208430750.0,8.67,0.88,1.15,0.0,0.0,0.0,0,18.66,29438
ABCP11,Shoppings,74.48,41608.0,0.65,0.88,2.1,4.98,9.75,0.7,0.83,0.81,8.66,-7.27,-6.46,26.2,503937967.28,107.01,0.7,0.47,16.54,17.09,25.42,1,26.31,14494
AFHI11,Papéis,94.82,258159.52,1.01,1.07,3.26,6.7,13.46,1.09,1.12,1.12,11.22,1.39,2.48,28.13,428737034.49,94.11,1.01,1.07,-0.91,0.16,6.44,14,11.81,37813
AGRX11,Indefinido,8.15,118536.48,0.12,1.47,4.42,9.09,15.91,1.47,1.52,1.33,15.01,-0.24,1.22,42.25,188986046.14,10.56,0.77,1.14,0.0,0.0,0.0,0,28.65,18636
AIEC11,Lajes Corporativas,54.01,202388.95,0.34,0.63,2.0,4.14,10.95,0.67,0.69,0.91,9.48,2.71,3.36,40.61,381559773.98,79.08,0.68,0.43,-15.43,-15.07,-14.09,2,18.91,14822
AJFI11,Shoppings,7.84,220226.43,0.05,0.57,1.74,4.24,10.48,0.58,0.71,0.87,9.44,1.16,1.74,28.35,384210693.68,,,,,,,13,13.25,12540
ALMI11,Lajes Corporativas,639.99,5097.13,3.04,0.0,1.4,2.91,7.03,0.47,0.49,0.59,5.74,0.0,0.0,,234041778.41,2046.78,0.31,0.0,-0.05,-0.05,0.9,1,46.83,1925
ALZC11,Papéis,7.64,46707.29,0.1,1.29,3.99,7.99,16.68,1.33,1.33,1.39,13.78,0.0,1.29,3.83,188386462.18,,,,,,,14,37.04,9479
ALZM11,Fundo de Fundos,6.32,164.43,0.4,6.3,0.0,0.0,9.97,0.0,0.0,0.83,7.55,-1.25,4.97,4.65,113203496.22,7.46,0.85,1.07,-91.94,-91.85,-91.51,14,20.33,12195
ALZR11,Misto,10.58,851530.29,0.08,0.79,2.4,4.95,10.08,0.8,0.83,0.84,8.36,-0.28,0.51,26.5,1302910581.76,10.66,0.99,0.78,-90.03,-89.95,-89.14,19,11.24,170603
APTO11,Imóveis Residenciais,8.32,12316.9,0.09,1.07,3.19,6.53,13.22,1.06,1.09,1.1,12.12,-0.94,0.12,15.7,44955531.52,9.75,0.85,0.92,-2.11,-1.2,12.81,3,19.99,8156
APXM11,Shoppings,75.0,328439.71,0.29,0.39,1.06,2.08,4.52,0.35,0.35,0.38,3.83,-8.54,-8.18,-21.28,349599817.54,,,,,,,1,59.19,603
ARCT11,Imóveis Industriais e Logísticos,87.13,1053903.45,0.5,0.0,1.3,3.82,12.55,0.43,0.64,1.05,0.0,0.0,0.0,,371534654.03,99.77,0.87,0.76,0.04,0.8,6.31,9,15.63,43228
AROA11,Imóveis Industriais e Logísticos,1.0,2335.86,0.01,0.75,2.22,4.13,8.1,0.74,0.69,0.68,7.45,0.0,0.75,13.32,159756081.2,,,,,,,6,28.13,4952
ARRI11,Papéis,6.52,103960.05,0.09,1.37,4.07,7.94,15.32,1.36,1.32,1.28,14.17,-0.6,0.76,-3.01,175172944.09,8.45,0.77,1.07,-4.63,-3.61,-89.4,1,16.3,23650
ARTE11,Misto,,,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,87651298.05,,,,,,,0,,683
ARXD11,Papéis,7.44,35199.24,0.09,1.2,3.68,7.47,15.84,1.23,1.25,1.32,14.51,-0.13,1.06,15.2,81778847.33,,,,,,,14,29.28,1771
ASMT11,Lajes Corporativas,4.1,12484.0,0.08,1.12,0.0,0.0,0.0,0.0,0.0,0.0,2.19,-4.46,-3.39,-3.83,169085584.25,,,,,,,3,52.59,1
ASRF11,Indefinido,10974.0,59520.57,256.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38795384.23,,,,,,,2,1.09,70
ATSA11,Shoppings,50.36,37176.55,0.15,0.0,0.29,1.9,4.41,0.29,0.32,0.37,4.41,0.0,0.0,,134410321.61,76.76,0.66,0.2,-5.75,-5.56,-14.24,1,27.37,298
AURB11,Imóveis Comerciais - Outros,81.0,60790.5,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,87911818.88,,,,,,,2,42.07,20
AZIN11,FIP-IE,103.74,473412.38,1.9,1.84,5.63,10.4,15.23,1.88,1.73,1.27,15.23,2.69,4.58,51.24,,,,,,,,0,13.52,0
AZPE11,Papéis,,,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,124961083.43,,,,,,,6,,1
AZPL11,Serviços Financeiros Diversos,7.71,303047.9,0.08,0.98,2.88,6.46,14.93,0.96,1.08,1.24,13.63,0.13,1.11,39.59,355039569.85,,,,,,,1,21.52,6357
BARI11,Papéis,79.2,896491.0,4.38,0.0,0.0,2.66,11.25,0.0,0.44,0.94,10.01,0.0,0.0,,363696267.15,78.48,1.01,1.21,-17.7,-16.71,-12.94,2,21.33,31765
BBFI11B,Lajes Corporativas,1257.1,182918.19,634.23,47.51,0.0,47.51,69.77,0.0,7.92,5.81,69.77,4.22,53.73,119.39,111645834.19,864.77,1.45,73.34,-60.09,-30.81,-43.61,1,43.4,6989
BBFO11,Fundo de Fundos,61.87,85582.86,0.7,1.12,3.44,7.13,14.33,1.15,1.19,1.19,13.24,-1.05,0.06,25.36,298428428.78,74.53,0.83,0.98,-8.81,-7.92,-3.53,14,15.44,6930
BBGO11,Indefinido,64.93,193349.24,0.9,1.39,4.15,8.36,17.97,1.38,1.39,1.5,17.97,-1.67,-0.31,11.59,373400210.79,93.23,0.7,0.97,-4.81,-3.89,3.9,0,17.69,11778
BBIG11,Serviços Financeiros Diversos,6.94,511704.52,0.08,1.14,3.42,6.8,14.51,1.14,1.13,1.21,13.11,-0.85,0.28,24.39,989395336.52,,,,,,,3,21.85,33969
BBIM11,Papéis,,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,667.5,,,0.0,-100.0,0.0,0.0,14,,20
BBRC11,Agências de Bancos,97.95,35146.9,1.05,1.07,3.17,6.28,13.09,1.06,1.05,1.09,12.0,-2.42,-1.37,10.92,167410319.07,105.29,0.93,1.0,-2.2,-1.23,10.02,21,18.63,8538
