cotação,dy,pvp,liquidez_diária,liquidez_unidade,variação,papel
7.60,17.28,0.81,123.11,K,-3.18,ALZC11
81.00,0.00,1.00,2.52,M,3.85,AURB11
94.87,12.54,1.01,562.84,K,13.92,AFHI11
7.72,9.79,0.64,1.40,M,15.57,AJFI11
6.94,14.41,0.69,775.51,K,-3.34,BBIG11
503.90,0.00,0.73,55.22,K,37.94,BBFI11
97.34,13.01,0.92,100.52,K,1.79,BBRC11
32.99,11.20,0.46,155.85,K,11.49,BLMG11
94.30,8.98,0.89,27.01,K,3.66,BMLC11
82.83,12.32,0.83,322.19,K,8.08,BCIA11
53.15,13.41,0.86,305.22,K,-1.83,BPFF11
325.00,25.18,1.37,34.91,K,-19.16,BRIM11
882.75,7.23,0.81,831.67,K,-3.44,BICE11
41.05,11.57,0.60,48.31,K,18.10,BTHI11
41.16,13.09,0.48,2.06,M,5.62,BRCR11
76.05,13.86,0.65,465.77,K,24.49,BTAL11
52.39,12.27,0.48,344.64,K,26.61,BROF11
57.20,0.00,1.12,63.21,K,-0.12,LLAO11
9.38,12.23,0.92,1.75,M,16.96,BTCI11
602.01,40.32,1.02,6.50,K,12.09,BRIP11
103.80,9.12,1.01,7.48,M,19.34,BTLG11
8.58,11.96,0.86,2.80,M,14.71,BTHF11
105.49,6.98,0.89,123.33,K,7.41,BTWR11
59.07,7.83,0.53,167.63,K,55.08,BTRA11
79.40,19.22,0.64,1.40,M,19.42,BPML11
74.80,9.79,0.90,7.25,K,15.29,CRFF11
69.98,10.12,0.84,8.95,K,9.07,CXRI11
62.00,13.55,0.64,144.09,K,25.53,CXCO11
109.59,0.00,0.94,2.71,K,-1.80,BTSI11
12.49,7.74,1.16,17.53,M,24.90,CPLG11
8.75,11.34,0.83,239.80,K,6.71,CCME11
10.63,10.80,1.05,9.34,M,25.06,CPUR11
10.29,11.86,0.89,3.86,M,18.69,CPSH11
33.05,3.48,0.49,6.80,K,33.91,CBOP11
91.73,6.92,0.72,117.32,K,0.74,BLCA11
74.63,21.65,0.98,2.23,M,-10.47,CACR11
118.01,0.00,0.98,104.98,K,18.01,CYLD11
48.10,20.49,0.53,119.87,K,2.47,IBCR11
8.45,14.92,0.90,689.40,K,11.92,CYCR11
6.80,15.91,0.73,334.44,K,8.28,VRTM11
96.38,14.66,1.02,37.91,K,15.05,FLCR11
76.30,13.31,0.91,1.76,M,7.28,VRTA11
39.43,32.41,0.34,10.36,K,64.50,FMOF11
1170.19,0.00,1.10,95.20,K,12.45,EGDB11
148.90,5.05,0.94,23.14,M,3.94,JCIN11
82.90,13.57,0.89,4.48,M,5.85,CVBI11
79.70,11.48,0.88,1.08,M,16.98,KFOF11
15.00,4.56,0.32,17.00,K,-12.84,EDGA11
148.05,13.29,0.67,53.83,K,23.42,FAED11
274.51,11.73,0.84,24.21,K,14.49,HCRI11
208.47,9.14,0.99,224.01,K,41.65,NSLU11
2385.00,9.84,0.72,651.35,K,29.10,PQDP11
64.90,19.15,0.63,459.95,K,16.75,MAXR11
755.79,35.39,1.25,5.98,K,64.81,RBRI11
78.68,15.38,0.89,2.60,M,18.80,RECR11
93.79,0.00,0.52,14.71,K,-11.55,TRNT11
40.74,13.13,0.64,14.22,K,16.27,CXCE11
135.00,9.88,0.64,78.06,K,-4.02,EDFO11
73.21,12.11,0.66,104.70,K,15.91,CXAG11
319.00,5.19,0.77,10.97,K,58.85,CXTL11
66.28,13.72,0.79,298.13,K,4.12,CXCI11
1081.93,0.00,0.99,257.33,K,8.49,LKDV11
84.31,3.18,0.81,7.37,K,-5.69,HUCG11
86.98,8.64,0.81,9.26,K,9.73,HOSI11
138.00,16.93,1.16,3.65,M,20.63,HBCR11
76.83,13.38,0.77,912.85,K,19.93,GTWR11
58.50,16.15,0.74,9.58,M,-0.10,IRDM11
385.15,1.25,1.83,3.00,K,41.54,FPNG11
27.16,3.79,0.55,113.99,K,43.48,OULG11
89.05,12.13,0.96,3.13,M,18.94,MCCI11
22.38,13.04,0.73,1.67,K,67.01,VPSI11
64.73,12.75,0.76,82.75,K,27.42,RELG11
92.06,13.61,0.95,2.98,M,24.24,RZTR11
96.30,13.47,0.97,3.88,M,19.20,RBRY11
