Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
AAZQ11,Títulos e Val. Mob.,7.37,14.58,15.9,0.85,177155000,470288,0,000,0.0,0.0,0.0
ABCP11,Shoppings,85.15,8.19,8.26,0.79,400978000,85125,1,5599.89,56785.0,10.14,2.9
AEFI11,Outros,174.9,8.55,0.0,1.75,411893000,0,0,000,0.0,0.0,0.0
AFCR11,Híbrido,103.15,12.61,0.0,1.07,498867000,0,0,000,0.0,0.0,0.0
AFHI11,Títulos e Val. Mob.,93.1,11.55,12.26,0.98,424128000,856378,0,000,0.0,0.0,0.0
AFOF11,Títulos e Val. Mob.,91.6,0.82,0.0,12.28,1390540000,0,0,000,0.0,0.0,0.0
AGCX11,Outros,1235.5,0.53,0.0,11.57,19291500000,0,82,63941.30,46890.0,0.73,3.86
AGRX11,Híbrido,7.81,21.66,15.4,0.75,139824000,250738,0,000,0.0,0.0,0.0
AIEC11,Lajes Corporativas,45.3,17.97,14.85,0.58,218572000,282824,2,8794.56,2375.61,27.01,0.0
AJFI11,Títulos e Val. Mob.,7.35,11.28,11.0,0.6,232451000,304826,12,52519,6388.0,12.16,3.3
ALMI11,Lajes Corporativas,568.99,6.57,7.14,0.27,63258600,25980,1,1377.91,21954.0,15.93,52.0
ALZC11,Títulos e Val. Mob.,8.2,5.35,16.45,0.87,164412000,130781,0,000,0.0,0.0,0.0
ALZM11,Títulos e Val. Mob.,6.4,11.76,10.55,0.86,97155500,0,0,000,0.0,0.0,0.0
ALZR11,Híbrido,10.07,8.32,9.25,0.96,1231220000,1784160,18,4998.37,37125.0,7.43,0.0
ALZT11,Títulos e Val. Mob.,33.0,15.52,5.48,0.79,16500000,0,0,000,0.0,0.0,0.0
ANCR11,Shoppings,220.0,4.47,3.16,2.0,5881710000,546,7,18357.00,1056.88,5.76,4.34
APTO11,Híbrido,8.52,12.39,13.63,0.87,39296200,32577,3,16406.80,1113.12,6.78,0.0
APXM11,Híbrido,96.59,4.08,4.98,0.78,273267000,601080,1,1515.15,15683.0,10.35,7.87
ARCT11,Híbrido,87.13,-60.77,0.0,0.86,368999000,0,12,1100.84,9919.0,9.01,0.0
AROA11,Outros,1.0,7.37,7.41,1.05,167927000,7140,6,1281.20,10521.0,8.21,0.0
ARRI11,Títulos e Val. Mob.,7.2,9.9,15.3,0.85,149234000,201525,0,000,0.0,0.0,0.0
ARXD11,Títulos e Val. Mob.,7.85,13.0,15.06,0.86,70737700,152944,0,000,0.0,0.0,0.0
ASMT11,Híbrido,4.1,99.09,0.0,0.4,4433150,22286,3,34104,76671.0,224.82,0.0
