Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
AAZQ11,Títulos e Val. Mob.,7.77,13.83,15.4,0.9,186770000,424163,0,000,0.0,0.0,0.0
ABCP11,Shoppings,89.9,7.76,8.69,0.84,423346000,105753,1,5951.06,56785.0,9.54,2.9
AEFI11,Outros,174.9,8.55,0.0,1.75,411893000,0,0,000,0.0,0.0,0.0
AFCR11,,103.15,12.61,0.0,1.07,498867000,0,0,000,0.0,0.0,0.0
AFHI11,Títulos e Val. Mob.,91.66,11.73,12.6,0.97,417568000,964568,0,000,0.0,0.0,0.0
AFOF11,Títulos e Val. Mob.,91.6,0.82,0.0,12.28,1390540000,0,0,000,0.0,0.0,0.0
AGCX11,Outros,1235.5,0.53,0.0,11.57,19291500000,0,82,63941.30,46890.0,0.73,3.86
AGRX11,Híbrido,8.02,21.09,14.87,0.77,143583000,205332,0,000,0.0,0.0,0.0
AIEC11,Lajes Corporativas,45.94,17.72,13.76,0.59,221660000,319332,2,8929.48,2375.61,26.6,0.0
AJFI11,Títulos e Val. Mob.,7.1,11.68,11.39,0.58,224544000,299158,12,50796,6388.0,12.58,3.3
ALMI11,Lajes Corporativas,600.0,6.23,6.6,0.28,66706200,23528,1,1452.25,21954.0,15.12,52.0
ALZC11,Títulos e Val. Mob.,7.75,5.66,17.34,0.83,155389000,312214,0,000,0.0,0.0,0.0
ALZM11,Títulos e Val. Mob.,6.4,11.76,9.22,0.86,97155500,0,0,000,0.0,0.0,0.0
ALZR11,Híbrido,10.2,8.21,9.13,0.95,1247120000,1571050,18,5114.87,37125.0,7.26,0.0
ALZT11,Títulos e Val. Mob.,33.0,15.52,4.7,0.79,16500000,0,0,000,0.0,0.0,0.0
ANCR11,Shoppings,280.0,3.51,2.48,2.54,7485810000,800,7,23315.50,1056.88,4.53,4.34
APTO11,Híbrido,8.52,12.39,13.69,0.87,39296200,32578,3,16471.00,1113.12,6.76,0.0
APXM11,Híbrido,91.01,4.33,5.27,0.74,257480000,711333,1,1427.60,15683.0,10.99,7.87
ARCT11,Híbrido,87.13,-60.77,0.0,0.86,368999000,0,12,1100.84,9919.0,9.01,0.0
AROA11,Outros,1.01,7.29,7.36,1.06,169606000,7588,6,1294.67,10521.0,8.13,0.0
ARRI11,Títulos e Val. Mob.,6.92,10.3,15.71,0.82,143431000,210076,0,000,0.0,0.0,0.0
ARXD11,Títulos e Val. Mob.,7.74,13.19,15.08,0.84,69746500,106452,0,000,0.0,0.0,0.0
ASMT11,,4.1,6.27,0.0,0.41,70113800,11937,3,4554.15,76671.0,16.84,0.0
ASRF11,Híbrido,10888.0,-4.55,0.0,1.12,43552000,0,2,5409.09,0.0,0.0,0.0
ATSA11,Shoppings,49.99,5.08,2.96,0.66,87539500,236,1,2574.79,14942.0,5.8,16.77
AURB11,Logística,72.8,1.38,0.0,0.93,65411800,350960,2,1974.19,13319.0,6.75,0.0
AZPL11,,7.55,8.28,11.36,0.78,137483000,533225,1,59713,2912.0,4.88,0.0
BARI11,Títulos e Val. Mob.,79.51,12.9,13.27,0.87,368465000,890913,3,000,0.0,0.0,0.0
BBFI11,Lajes Corporativas,353.99,92.97,0.0,0.51,46018700,55333,1,87588,1202.3,137.27,100.0
BBFO11,Títulos e Val. Mob.,63.51,18.7,12.72,0.85,254288000,198168,0,000,0.0,0.0,0.0
BBGO11,Títulos e Val. Mob.,66.63,9.38,14.0,0.71,266864000,226256,0,000,0.0,0.0,0.0
BBIG11,Shoppings,7.05,13.02,14.05,0.75,698803000,998036,1,14584.10,32809.0,2.25,1.92
BBPO11,Lajes Corporativas,96.75,10.42,0.0,0.95,1540230000,0,61,3690.03,47956.0,13.0,1.44
BBRC11,Outros,97.75,13.31,13.05,0.94,155422000,88366,21,9055.04,1456.97,16.09,12.53
BBVJ11,Lajes Corporativas,62.99,2.23,0.0,0.86,197789000,0,1,10225.30,57089.0,5.58,43.7
BCFF11,Títulos e Val. Mob.,7.35,8.06,4.77,0.84,1480960000,0,0,000,0.0,0.0,0.0
BCIA11,Títulos e Val. Mob.,84.45,12.97,12.05,0.85,314073000,476902,0,000,0.0,0.0,0.0
BCRI11,Títulos e Val. Mob.,64.0,13.85,14.89,0.75,400504000,470320,0,000,0.0,0.0,0.0
BGRB11,Lajes Corporativas,101.0,3.24,4.87,1.09,166713000,78977,1,42541.30,1051.14,2.47,0.0
BICE11,Títulos e Val. Mob.,899.0,7.62,7.63,0.85,119939000,12753,0,000,0.0,0.0,0.0
BICR11,Títulos e Val. Mob.,35.92,14.26,6.42,0.86,17960000,0,0,000,0.0,0.0,0.0
BIME11,Híbrido,7.0,13.83,14.95,0.83,40919200,59605,1,28710,0.0,0.0,0.0
BIPD11,Títulos e Val. Mob.,988.17,-2.39,2.14,1.03,109133000,0,2,7827.79,0.0,0.0,0.0
BLCA11,Lajes Corporativas,90.02,7.19,6.68,0.7,144032000,129627,1,33670.70,2879.92,8.55,0.0
BLCP11,Logística,91.0,5.41,0.0,0.81,208962000,0,2,3014.16,19989.0,6.63,0.0
BLMC11,Títulos e Val. Mob.,85.75,11.1,0.0,0.91,34257100,0,0,000,0.0,0.0,0.0
BLMG11,Outros,38.15,11.44,10.44,0.54,178334000,858212,2,6649,4071.0,61.24,58.43
BLMO11,Lajes Corporativas,84.0,6.52,6.88,0.8,83564400,54526,1,10041.80,85776.0,8.54,0.0
BLMR11,Títulos e Val. Mob.,6.78,10.17,0.0,0.84,173172000,0,0,000,0.0,0.0,0.0
