Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Papel
AZ QUEST FIAGRO,44.625.826/0001-11,Geral,Desenvolvimento para renda,Fiagros,Outro,Indeterminado,Ativa,"1,2%","0,00%",29.578,24.037.273,"R$ 8,65","R$ 207,92 Milhões","R$ 0,10",AAZQ11
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,01.201.140/0001-90,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"0,1% a.a","2,90%",14.880,4.709.071,"R$ 107,50","R$ 506,25 Milhões","R$ 0,80",ABCP11
AESAPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,13.873.457/0001-52,Geral,Desenvolvimento para renda,Outros,Fundo misto,Indeterminado,Ativa,"0,37% a.a. sobre patrimônio líquido","0,00%",13.060,2.355.011,"R$ 145,27","R$ 342,12 Milhões","R$  0,00",AEFI11
AF INVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS,32.065.364/0001-46,Geral,Híbridos,Híbrido,Fundo de papel,Indeterminado,Ativa,1% a.a sobre patrimônio liquido,"0,00%",7.695,1.787.660,"R$ 96,47","R$ 172,46 Milhões","R$ 1,30",AFCR11
AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS,36.642.293/0001-58,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio liquido","0,00%",40.750,4.555.607,"R$ 94,72","R$ 431,50 Milhões","R$ 1,01",AFHI11
ALIANZA FOFII FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.847.063/0001-08,Geral,Títulos e valores mobiliários,Outros,Fundo de fundos,Indeterminado,Ativa,"0,80% a.a sobre patrimônio liquido (minimo R$20.000,00 mensais)","0,00%",2.538,691.181,"R$ 101,04","R$ 69,84 Milhões","R$ 1,00",AFOF11
,,,,,,,,,,,,,,,AGCX11
EXES ARAGUAIA,43.951.911/0001-07,Geral,Renda,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",19.018,17.903.140,"R$ 10,40","R$ 186,23 Milhões","R$ 0,12",AGRX11
AUTONOMY EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.765.826/0001-26,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,75% a.a","0,00%",16.797,4.824.976,"R$ 77,66","R$ 374,70 Milhões","R$ 0,32",AIEC11
AJ MALLS,51.472.985/0001-99,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,"8,93%",13.134,31.625.967,"R$ 12,16","R$ 384,54 Milhões","R$ 0,06",AJFI11
