Cotação,DY,P/VP,Liquidez Diária,Liquidez Unidade,VARIAÇÃO,Papel,Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Valor Patrimonial Unidade
7.50,10.78,0.62,686.16,K,-0.93,AJFI11,AJ MALLS,51472985/0001-99,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,8.76,12776,31625967,12.15,384.21,0.06,Milhões
7.69,17.57,0.82,166.81,K,-5.76,ALZC11,ALIANZA CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO,40011324/0001-40,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.30,0.00,9099,20050219,9.44,189.18,0.11,Milhões
72.63,0.00,0.93,781.77,K,-15.05,AURB11,ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,41076823/0001-88,Investidor Qualificado,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,1.00,16.00,19,1085769,78.36,85.09,0.41,Milhões
91.18,12.88,0.97,718.14,K,7.25,AFHI11,AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS,36642293/0001-58,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.00,0.00,38871,4555607,93.85,427.52,1.01,Milhões
83.76,5.21,0.68,563.15,K,-12.57,APXM11,FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX MALLS,43010485/0001-07,Geral,Híbridos,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,0.00,598,2829131,123.36,349.01,0.25,Milhões
46.21,13.05,0.59,281.20,K,-4.96,AIEC11,AUTONOMY EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,35765826/0001-26,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.75,0.00,15719,4824976,77.71,374.96,0.34,Milhões
1.01,7.45,1.06,4.64,K,12.22,AROA11,AROEIRA 333 RENDA LOGÍSTICA,44674528/0001-11,Geral,Desenvolvimento para renda,Outros,Fundo de desenvolvimento,Indeterminado,Ativa,,0.00,4656,167926821,0.95,160.20,0.01,Milhões
7.54,15.49,0.83,76.92,K,-13.43,ARXD11,ARX DOVER RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,44527494/0001-32,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.02,0.00,1766,9011159,9.12,82.14,0.10,Milhões
7.60,15.12,0.78,1.06,M,-10.28,AZPL11,AZ QUEST PANORAMA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA,51890054/0001-00,Geral,Renda,Logístico / Indústria / Galpões,Fundo misto,Indeterminado,Ativa,1.10,0.00,6586,18209635,9.72,176.93,0.21,Milhões
64.19,15.20,0.77,285.31,K,8.96,BCRI11,BANESTES RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO,22219335/0001-38,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,1.0,0.00,43131,6257862,83.32,521.40,0.91,Milhões
71.06,18.79,0.91,91.17,K,-30.21,BNFS11,BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,15570431/0001-60,Geral,Desenvolvimento para renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Ativa,0.4,9.30,5946,699989,78.38,54.87,1.00,Milhões
9.99,9.69,0.93,1.32,M,2.46,ALZR11,ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO,28737771/0001-85,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.20,0.00,165608,122266239,10.77,1.32,0.08,Bilhão
352.00,0.00,0.50,36.41,K,-43.34,BBFI11,BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO,07000400/0001-46,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,3,100.00,6206,129989,698.17,90.76,100.41,Milhões
7.01,14.29,0.75,987.66,K,-15.13,BBIG11,BB PREMIUM MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA,54375187/0001-37,fiiGENERAL,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,0.80,2.50,31779,99120983,9.32,923.68,0.08,Milhões
62.58,13.20,0.86,216.12,K,-1.57,BBFO11,BB FUNDO DE FUNDOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,37180091/0001-02,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Passiva,0.50,0.00,6958,4003889,72.59,290.64,0.76,Milhões
97.91,13.11,0.94,84.08,K,-4.08,BBRC11,BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO,12681340/0001-04,Geral,Desenvolvimento para renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Passiva,0.60,5.60,8949,1589989,104.46,166.09,1.05,Milhões
96.99,8.72,0.92,251.16,K,7.95,BMLC11,FUNDO DE INVESTIMENTO IMOBILIÁRIO BM BRASCAN LAJES CORPORATIVAS,14376247/0001-11,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.20,0.00,1285,998394,105.80,105.63,0.69,Milhões
81.14,12.63,0.83,302.10,K,-12.21,BCIA11,BRADESCO CARTEIRA IMOBILIÁRIA ATIVA – FUNDO DE INVESTIMENTO IMOBILIÁRIO,20216935/0001-17,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,0.50,0.00,22039,3719027,97.49,362.56,0.84,Milhões
