Papel;Setor;Preço Atual (R$);Liquidez Diária (R$);Último Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) média;DY (6M) média;DY (12M) média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líquido;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. Período;Rentab. Patr. Acumulada;Quant. Ativos;Volatilidade;Num. Cotistas
AAGR11;Indefinido;92,00;15.093,48;1,53;1,65 ;4,51 ;8,50 ;16,54 ;1,50 ;1,42 ;1,38 ;11,40 ;-2,16 ;-0,54 ;19,12 ;;;;0,00 ;0,00 ;0,00 ;0,00 ;0;64,13;0
AAZQ11;Indefinido;7,43;349.426,13;0,10;1,33 ;4,51 ;8,59 ;18,51 ;1,50 ;1,43 ;1,54 ;13,82 ;-2,21 ;-0,91 ;39,30 ;207.729.876,31;8,64;0,86;1,56 ;0,00 ;0,00 ;0,00 ;0;19,34;29.519
ABCP11;Shoppings;83,21;69.061,78;0,50;0,59 ;2,48 ;4,94 ;10,54 ;0,83 ;0,82 ;0,88 ;7,15 ;-9,60 ;-9,07 ;41,53 ;503.643.939,47;106,95;0,78;1,08 ;16,48 ;17,73 ;26,11 ;1;23,51;14.884
AFHI11;Papéis;92,65;694.315,17;1,01;1,11 ;3,44 ;6,78 ;13,48 ;1,15 ;1,13 ;1,12 ;9,07 ;0,00 ;1,11 ;20,64 ;427.523.494,63;93,85;0,99;1,16 ;-1,18 ;-0,03 ;6,24 ;14;11,68;38.876
AGRX11;Indefinido;8,11;365.296,96;0,12;1,53 ;4,67 ;9,14 ;15,55 ;1,56 ;1,52 ;1,30 ;10,59 ;-1,13 ;0,38 ;31,29 ;187.401.380,81;10,47;0,77;1,15 ;0,00 ;0,00 ;0,00 ;0;31,74;18.685
AIEC11;Lajes Corporativas;47,81;274.710,57;0,34;0,72 ;2,17 ;4,28 ;12,68 ;0,72 ;0,71 ;1,06 ;8,20 ;2,71 ;3,45 ;20,54 ;374.962.017,03;77,71;0,62;0,41 ;-16,90 ;-16,55 ;-15,59 ;2;19,14;15.724
AJFI11;Shoppings;7,70;311.242,96;0,06;0,83 ;2,50 ;5,55 ;11,73 ;0,83 ;0,93 ;0,98 ;7,70 ;0,42 ;1,25 ;15,69 ;384.210.693,68;;;;;;;13;13,10;12.781
ALMI11;Lajes Corporativas;575,02;15.238,47;4,23;0,68 ;1,56 ;2,90 ;7,82 ;0,52 ;0,48 ;0,65 ;5,02 ;0,00 ;0,00 ;;234.160.784,97;2.046,78;0,28;0,00 ;-0,05 ;-0,05 ;0,90 ;1;45,26;1.957
ALZC11;Papéis;7,61;172.134,13;0,11;1,35 ;4,00 ;9,07 ;16,84 ;1,33 ;1,51 ;1,40 ;11,14 ;-4,30 ;-3,01 ;1,41 ;189.178.719,25;;;;;;;14;52,73;9.104
ALZM11;Fundo de Fundos;6,32;164,43;0,40;6,30 ;0,00 ;0,00 ;12,12 ;0,00 ;0,00 ;1,01 ;7,55 ;-1,25 ;4,97 ;4,65 ;113.203.496,22;7,46;0,85;1,07 ;-91,94 ;-91,85 ;-91,51 ;14;17,89;12.195
