Razão Social;CNPJ;PÚBLICO-ALVO;MANDATO;SEGMENTO;TIPO DE FUNDO;PRAZO DE DURAÇÃO;TIPO DE GESTÃO;TAXA DE ADMINISTRAÇÃO;VACÂNCIA;NUMERO DE COTISTAS;COTAS EMITIDAS;VAL. PATRIMONIAL P/ COTA;VALOR PATRIMONIAL;ÚLTIMO RENDIMENTO;Valor Patrimonial Unidade;Papel
AJ MALLS;51.472.985/0001-99;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Ativa;;8,76;12.776;31.625.967;12,15;384,21;0,06;Milhões;AJFI11
ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO;28.737.771/0001-85;Geral;Renda;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;0,20;0,00;165.608;122.266.239;10,77;1,32;0,08;Bilhão;ALZR11
ALIANZA CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO;40.011.324/0001-40;Investidor Qualificado;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,30;0,00;9.099;20.050.219;9,44;189,18;0,11;Milhões;ALZC11
AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS;36.642.293/0001-58;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,00;0,00;38.871;4.555.607;93,85;427,52;1,01;Milhões;AFHI11
AROEIRA 333 RENDA LOGÍSTICA;44.674.528/0001-11;Geral;Desenvolvimento para renda;Outros;Fundo de desenvolvimento;Indeterminado;Ativa;;0,00;4.656;167.926.821;0,95;160,20;0,01;Milhões;AROA11
AUTONOMY EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.765.826/0001-26;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;0,75;0,00;15.719;4.824.976;77,71;374,96;0,34;Milhões;AIEC11
FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX MALLS;43.010.485/0001-07;Geral;Híbridos;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Ativa;;0,00;588;2.829.131;123,33;348,93;0,25;Milhões;APXM11
ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;41.076.823/0001-88;Investidor Qualificado;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;1,00;16,00;19;1.085.769;78,36;85,09;0,41;Milhões;AURB11
ARX DOVER RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO;44.527.494/0001-32;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,02;0,00;1.766;9.011.159;9,12;82,14;0,10;Milhões;ARXD11
AZ QUEST PANORAMA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;51.890.054/0001-00;Geral;Renda;Logístico / Indústria / Galpões;Fundo misto;Indeterminado;Ativa;1,10;0,00;6.586;18.209.635;9,72;176,93;0,07;Milhões;AZPL11
