Cotação;DY;P/VP;Liquidez Diária;Liquidez Unidade;VARIAÇÃO;Papel
7,59;10,66;0,62;686,16;K;3,69;AJFI11
10,21;9,47;0,95;1,32;M;4,18;ALZR11
7,59;17,89;0,80;166,81;K;-7,44;ALZC11
92,47;12,68;0,99;718,14;K;7,96;AFHI11
1,01;7,49;1,07;4,64;K;12,22;AROA11
47,73;11,77;0,62;281,20;K;-0,62;AIEC11
86,00;5,08;0,70;106,49;K;-6,02;APXM11
72,80;0,00;0,93;781,77;K;-15,35;AURB11
7,47;15,71;0,81;76,92;K;-12,94;ARXD11
7,66;13,39;0,78;1,06;M;-10,20;AZPL11
63,03;15,53;0,76;285,31;K;5,63;BCRI11
72,00;17,99;0,92;91,17;K;-29,04;BNFS11
62,78;13,29;0,86;216,12;K;0,48;BBFO11
6,91;14,59;0,74;987,66;K;-15,01;BBIG11
348,56;0,00;0,49;36,41;K;-34,06;BBFI11
97,02;13,04;0,94;84,08;K;-4,26;BBRC11
53,82;14,27;0,77;287,51;K;-10,46;BPFF11
83,25;12,22;0,86;302,10;K;-7,79;BCIA11
96,90;8,73;0,92;251,16;K;6,05;BMLC11
1.174,71;5,65;1,49;3,23;K;-9,71;BVAR11
33,28;11,92;0,47;303,71;K;-7,84;BLMG11
1,09;0,00;0,16;8,13;K;-30,57;CARE11
82,99;11,87;0,84;1,28;M;2,74;FATN11
111,14;9,56;0,94;2,16;M;8,41;BRCO11
898,00;6,80;0,84;835,92;K;3,19;BICE11
7,17;14,87;0,85;41,69;K;14,35;BIME11
706,90;41,92;1,10;6,41;K;28,56;BRIP11
475,00;38,97;1,28;12,45;K;4,10;BRIM11
51,92;12,22;0,48;437,98;K;24,69;BROF11
57,20;0,00;1,10;63,21;K;-0,12;LLAO11
41,51;11,22;0,63;38,92;K;12,74;BTHI11
9,26;12,17;0,92;1,19;M;4,40;BTCI11
100,15;9,44;0,97;6,37;M;8,24;BTLG11
42,02;13,15;0,50;786,93;K;-4,74;BRCR11
77,50;13,15;0,70;538,94;K;14,71;BTAL11
8,65;9,83;0,87;6,64;M;13,07;BTHF11
78,15;19,96;0,62;776,07;K;8,33;BPML11
54,10;8,31;0,48;89,40;K;31,15;BTRA11
150,45;7,64;0,99;1,53;K;1,23;BTSG11
108,80;1,38;0,93;2,71;K;-3,80;BTSI11
56,80;14,27;0,59;196,90;K;-6,73;CXCO11
100,12;7,25;0,85;123,33;K;-10,14;BTWR11
60,47;11,71;0,76;17,64;K;-16,93;CXRI11
74,01;9,90;0,92;23,10;K;3,92;CRFF11
8,82;10,98;0,86;199,00;K;-2,11;CCME11
11,90;6,83;1,22;14,84;M;20,81;CPLG11
110,00;7,91;1,01;2,79;M;9,95;CPOF11
10,22;10,06;1,04;5,55;M;13,30;CPUR11
7,42;12,78;0,84;6,07;M;2,77;CPTS11
23,74;4,42;0,35;5,30;K;-10,52;CBOP11
9,63;12,66;0,82;1,35;M;4,56;CPSH11
90,69;7,00;0,71;422,22;K;-3,29;BLCA11
74,50;21,58;0,79;3,47;M;-15,70;CACR11
1,45;5,60;0,19;136,69;K;5,07;CNES11
5,05;0,40;0,23;1,09;K;-36,88;CTXT11
229,20;23,30;0,74;300,74;K;-5,49;CFHI11
541,15;28,40;0,55;225,20;K;0,36;CFII11
89,12;13,89;0,92;620,39;K;6,90;CLIN11
60,99;3,36;0,84;2,21;M;1,26;CJCT11
95,00;0,00;0,79;1,60;M;-5,00;CYLD11
6,85;13,50;0,82;11,79;K;-23,29;DAMA11
10.888,00;0,00;1,12;380,66;K;0,06;ASRF11
8,64;14,16;0,92;513,33;K;1,17;CYCR11
52,63;19,32;0,58;136,37;K;-5,83;IBCR11
4,55;0,66;0,46;5,61;K;8,33;DAYM11
28,00;18,42;0,29;670,23;K;-15,56;DEVA11
7,87;14,94;0,83;197,78;K;0,77;EQIR11
125,89;2,00;0,79;38,88;K;-5,35;ERPA11
851,00;13,60;1,53;77,03;K;5,67;KEVE11
8.533,37;1,72;0,49;1,51;M;-1,78;ERCR11
9,74;14,89;1,01;45,33;K;20,54;EXES11
94,90;15,02;1,02;83,27;K;11,69;FLCR11
75,59;13,29;0,91;1,07;M;-2,65;VRTA11
6,77;15,68;0,73;292,04;K;-6,75;VRTM11
137,98;9,19;0,63;92,44;K;5,85;FLMA11
1.153,27;0,00;1,25;33,21;K;12,41;EGDB11
244,00;9,50;0,74;23,45;K;8,04;EURO11
76,05;5,34;0,66;6,43;K;70,10;FMOF11
570,01;8,44;0,27;12,47;K;10,31;ALMI11
150,00;4,71;0,95;19,83;M;4,37;JCIN11
77,80;11,63;0,89;913,62;K;2,64;KFOF11
85,14;13,90;0,92;1,63;M;4,24;CVBI11
6,25;12,98;0,75;62,91;K;-6,16;DVFF11
125,32;8,35;1,02;213,34;K;19,26;FCFL11
143,96;13,65;0,64;53,84;K;7,25;FAED11
44,41;12,42;0,61;22,91;K;12,40;CEOC11
829,75;128,47;0,44;17,22;K;7,09;FAMB11
14,04;5,62;0,31;43,38;K;-19,82;EDGA11
8,01;15,09;0,82;175,75;K;-13,69;FYTO11
259,51;12,18;0,81;32,30;K;3,04;HCRI11
189,80;9,93;0,90;185,27;K;16,76;NSLU11
650,00;54,08;0,83;3,33;K;40,37;RBRI11
63,00;20,11;0,61;59,67;K;5,79;MAXR11
2.360,00;9,84;0,71;209,62;K;36,93;PQDP11
31,90;13,57;0,35;275,27;K;5,66;RECT11
82,16;14,67;0,93;2,80;M;12,83;RECR11
87,01;12,27;0,95;2,95;M;7,53;RBRR11
97,50;0,00;0,55;22,93;K;-2,50;TRNT11
73,37;12,12;0,66;145,91;K;8,39;CXAG11
40,48;13,24;0,63;28,48;K;15,07;CXCE11
65,60;13,90;0,79;488,54;K;-9,58;CXCI11
289,49;6,49;0,00;5,04;K;43,80;CXTL11
129,99;11,09;0,62;3,39;K;-11,26;EDFO11
11,69;9,57;0,70;2,00;K;2,54;NVHO11
1.081,93;0,00;0,99;257,33;K;8,49;LKDV11
75,45;13,34;0,76;800,25;K;6,54;GTWR11
130,00;15,41;1,04;3,86;M;12,52;HBCR11
93,72;11,35;0,62;5,03;K;-5,80;HUSC11
83,16;8,84;0,94;5,52;K;-6,55;HOSI11
503,02;8,96;1,06;162,70;K;9,48;FIIB11
61,46;15,43;0,76;4,61;M;-1,70;IRDM11
88,18;11,74;0,95;3,23;M;11,00;MCCI11
38,11;2,70;0,62;1,35;M;32,74;OULG11
413,70;1,17;1,98;2,36;K;109,96;FPNG11
8,67;13,09;0,88;64,71;K;2,60;PULV11
24,00;12,25;0,78;1,67;K;150,26;VPSI11
66,68;10,22;0,80;520,52;K;10,99;RELG11
49,93;11,01;0,65;1,25;M;-1,98;RBRP11
91,72;13,46;0,95;2,58;M;13,23;RZTR11
95,37;13,00;0,97;1,99;M;13,06;RBRY11
354,14;0,00;0,87;12,36;K;-31,90;ROOF11
79,44;15,29;0,80;317,22;K;-8,46;SMRE11
68,89;8,54;0,61;6,88;K;24,76;FISC11
4,48;0,00;0,76;20,10;K;60,57;FIVN11
78,25;13,70;0,88;1,01;M;21,58;BARI11
74,60;8,29;0,69;3,03;M;-12,20;PVBI11
103,39;9,17;0,88;2,59;M;3,72;LVBI11
81,80;15,34;0,74;4,34;M;-20,12;TGAR11
83,19;13,95;0,80;76,22;K;0,24;VTLT11
73,97;10,87;0,63;37,21;K;12,88;VSHO11
145,92;0,00;2,26;433,69;K;0,00;TCIN11
113,24;0,00;1,02;39,81;K;12,06;GCDL11
43,90;3,54;0,49;467,41;K;-24,05;GZIT11
64,20;16,20;0,72;111,61;K;5,11;GCRI11
9,21;0,00;0,70;7,27;M;18,84;GSFI11
46,36;11,63;0,61;114,53;K;-2,01;FIGS11
64,34;8,21;0,59;32,89;K;12,64;GLOG11
700,00;0,00;1,14;475,44;K;4,01;VXXV11
83,50;9,16;0,78;99,27;K;28,38;ABCP11
8,49;13,13;0,91;81,35;K;5,07;GAME11
9,64;12,38;0,87;4,03;M;0,63;GGRC11
77,55;16,38;0,83;863,24;K;4,00;HABT11
9,01;11,43;1,00;9,01;M;11,37;GARE11
22,66;17,90;0,22;666,39;K;-10,29;HCTR11
48,03;3,37;0,72;3,87;K;45,24;HAAA11
8,40;13,55;0,89;58,20;K;-7,49;HGBL11
74,48;13,24;0,81;27,42;K;23,13;HCHG11
18,97;10,02;0,88;1,97;M;-0,32;HGBS11
20,23;8,85;1,00;20,60;K;10,25;FLRP11
85,98;13,49;0,81;10,09;K;-15,93;HDEL11
8,29;8,32;0,75;34,68;K;8,08;HLOG11
100,00;0,00;1,05;751,10;K;0,00;HDOF11
29,00;0,00;0,51;449,84;K;-2,98;HOFC11
97,51;12,17;1,09;326,18;K;8,37;SEED11
89,71;7,39;0,97;2,76;K;8,10;HPDP11
8,45;12,20;0,97;218,12;K;11,04;HREC11
5,89;11,51;0,81;1,32;M;-4,07;HFOF11
136,90;15,35;0,95;414,62;K;-18,70;HTMX11
69,49;16,25;0,63;5,42;K;-17,09;HGIC11
78,29;14,31;0,89;340,01;K;8,60;HSAF11
78,72;10,40;0,71;786,40;K;2,30;HSLG11
81,63;10,32;0,78;2,62;M;-4,70;HSML11
96,05;11,35;1,08;37,39;K;7,26;HSRE11
