Papel,Setor,Preço Atual (R$),Liquidez Diária (R$),Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas
AAGR11,Indefinido,95.00,19231.82,1.53,1.63 ,4.40 ,8.27 ,16.06 ,1.47 ,1.38 ,1.34 ,11.08 ,-3.47 ,-1.90 ,17.14 ,,,,0.00 ,0.00 ,0.00 ,0.00 ,0,67.91,0
AAZQ11,Indefinido,7.58,336891.77,0.10,1.28 ,4.40 ,8.57 ,18.01 ,1.47 ,1.43 ,1.50 ,12.12 ,5.11 ,6.46 ,37.63 ,207729876.31,8.64,0.88,1.56 ,0.00 ,0.00 ,0.00 ,0,18.86,29519
ABCP11,Shoppings,85.65,79385.95,0.50,0.53 ,2.84 ,4.96 ,10.80 ,0.95 ,0.83 ,0.90 ,6.44 ,8.20 ,8.78 ,53.42 ,503643939.47,106.95,0.80,1.08 ,16.48 ,17.73 ,26.11 ,1,23.55,14884
AFHI11,Papéis,91.08,569577.05,1.01,1.10 ,3.38 ,6.66 ,13.24 ,1.13 ,1.11 ,1.10 ,8.91 ,-0.74 ,0.35 ,19.63 ,427523494.63,93.85,0.97,1.16 ,-1.18 ,-0.03 ,6.24 ,14,11.62,38876
AGRX11,Indefinido,7.94,91145.64,0.12,1.50 ,4.56 ,8.90 ,15.12 ,1.52 ,1.48 ,1.26 ,10.30 ,-2.56 ,-1.10 ,29.04 ,187401380.81,10.47,0.76,1.15 ,0.00 ,0.00 ,0.00 ,0,31.28,18685
AIEC11,Lajes Corporativas,46.12,255071.00,0.34,0.74 ,2.12 ,4.26 ,13.25 ,0.71 ,0.71 ,1.10 ,7.38 ,0.94 ,1.69 ,15.35 ,374962017.03,77.71,0.59,0.41 ,-16.90 ,-16.55 ,-15.59 ,2,19.20,15724
AJFI11,Shoppings,7.37,618888.82,0.06,0.83 ,2.47 ,5.46 ,11.53 ,0.82 ,0.91 ,0.96 ,7.57 ,-0.41 ,0.41 ,14.46 ,384210693.68,,,,,,,13,14.87,12781
ALMI11,Lajes Corporativas,692.00,10803.00,3.93,0.00 ,1.48 ,2.74 ,7.03 ,0.49 ,0.46 ,0.59 ,4.27 ,0.00 ,0.00 ,,234160784.97,2046.78,0.34,0.00 ,-0.05 ,-0.05 ,0.90 ,1,44.67,1957
ALZC11,Papéis,7.91,321115.55,0.11,1.33 ,3.89 ,8.77 ,16.29 ,1.30 ,1.46 ,1.36 ,10.76 ,-5.27 ,-4.01 ,-1.33 ,189178719.25,,,,,,,14,39.71,9104
ALZM11,Fundo de Fundos,6.32,164.43,0.40,6.30 ,0.00 ,6.30 ,13.17 ,0.00 ,1.05 ,1.10 ,7.55 ,-1.25 ,4.97 ,4.65 ,113203496.22,7.46,0.85,1.07 ,-91.94 ,-91.85 ,-91.51 ,14,17.27,12195
