Cotação,DY,P/VP,Liquidez,Liquidez_unidade,VARIAÇÃO,DY_Pago_ult_12m,Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,Setor,Tipo,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Papel
8.52,15.49,0.91,1.13,M,20.0,1.26,FG AGRO FDO DE INVEST,42.405.905/0001-91,Geral,Híbridos,Fiagros,Outro,Indeterminado,Ativa,,0.0,49753,45081438,9.39,R$ 423.53 Milhões,0.12,FGAA11
98.1,16.41,1.02,1.33,M,10.9,16.38,CARTESIA RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.065.364/0001-46,Geral,Híbridos,Híbrido,Fundo de papel,Indeterminado,Ativa,,0.0,24211,4836313,95.85,R$ 463.55 Milhões,1.45,CACR11
9.0,15.89,0.93,1.46,M,33.14,1.33,VALORA CRA FDO INV NAS CAD PROD AGRO,41.081.088/0001-09,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,0.0,168972,86455106,9.65,R$ 834.51 Milhões,0.13,VGIA11
80.41,17.18,0.93,1.37,M,15.32,12.71,RIZA AKIN FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.642.219/0001-31,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,45006,8807874,87.01,R$ 766.41 Milhões,1.15,RZAK11
93.2,16.05,0.94,639.44,K,21.45,13.93,ECOAGRO I FDO INV CADEIAS PROD AGROIND,41.224.330/0001-48,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,0.0,11405,3131903,99.04,R$ 310.20 Milhões,1.34,EGAF11
8.82,17.4,0.89,763.3,K,-0.56,1.58,Life Capital Partners Fund de Investimento Imob,39.753.295/0001-02,Geral,Híbridos,Outros,Outro,Indeterminado,Ativa,,0.0,17137,37901296,9.95,R$ 376.95 Milhões,0.12,LIFE11
80.33,17.08,0.77,815.11,K,-7.62,14.2,MÉRITO DESENVOLVIMENTO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.915.968/0001-88,Geral,Híbridos,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,,0.0,33038,5962384,103.82,R$ 619.00 Milhões,1.11,MFII11
81.99,15.4,0.87,789.74,K,6.49,12.18,HABITAT II - FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.578.417/0001-05,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,62120,8126772,94.2,R$ 765.54 Milhões,1.15,HABT11
8.52,14.77,0.88,5.2,M,3.9,1.29,MAUÁ CAPITAL REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.655.973/0001-06,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,100276,111598910,9.64,R$ 1.08 Bilhão,0.11,MCRE11
84.37,15.27,0.76,3.99,M,-20.41,15.1,FUNDO DE INVESTIMENTO IMOBILIARIO TG ATIVO REAL,25.032.881/0001-53,Geral,Híbridos,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,,0.0,155763,23567957,111.15,R$ 2.62 Bilhões,1.0,TGAR11
81.53,14.65,0.9,1.77,M,4.88,10.13,VALORA CRI ÍNDICE DE PREÇO FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.197.811/0001-46,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,84153,11787236,89.6,R$ 1.06 Bilhão,1.25,VGIP11
8.84,15.61,0.92,1.6,M,24.68,1.3,FDO INV CADEIAS PROD AGRO RIZA AGRO,40.413.979/0001-44,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,0.0,81467,68040414,9.63,R$ 655.46 Milhões,0.13,RZAG11
143.82,16.09,0.99,427.1,K,-7.5,26.32,FUNDOS INVESTIMENTO IMOBILÍARIOS FII HOTEL MAXINVEST,08.706.065/0001-69,Geral,Renda,Hotéis,Fundo de Tijolo,Indeterminado,Ativa,,32.0,37343,2888083,144.94,R$ 418.61 Milhões,1.5,HTMX11
62.37,15.15,0.75,4.31,M,-1.69,9.08,FUNDO DE INVESTIMENTO IMOBILIÁRIO IRIDIUM RECEBÍVEIS IMOBILIÁRIOS,28.830.325/0001-10,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,276865,36433816,82.84,R$ 3.02 Bilhões,0.84,IRDM11
7.57,14.53,0.84,1.42,M,-9.23,11.64,JS ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.085.661/0001-07,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,21803,77523279,9.02,R$ 699.10 Milhões,0.09,JSAF11
84.15,13.97,0.91,2.39,M,3.68,11.18,FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI CRI,28.729.197/0001-13,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,84438,11010217,92.12,R$ 1.01 Bilhão,1.05,CVBI11
8.5,14.13,1.05,1.04,M,6.65,9.9,FUNDO DE INVEST IMOBILIARIO SUNO ENERGIAS LIMPAS,43.741.171/0001-84,Geral,Híbridos,Outros,Outro,Indeterminado,Ativa,,0.0,34554,38334191,8.12,R$ 311.11 Milhões,0.1,SNEL11
93.86,14.54,0.94,486.1,K,11.61,10.06,ITAÚ CRÉDITO IMOBILIÁRIO IPCA,51.294.441/0001-84,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,8938,3857348,100.0,R$ 385.73 Milhões,1.1,ICRI11
8.73,14.43,0.94,1.26,M,5.18,1.25,MANATÍ CAPITAL HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.888.583/0001-89,fii.GENERAL,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Indeterminado,Ativa,,0.0,27241,37536129,9.3,R$ 349.05 Milhões,0.11,MANA11
82.84,14.46,0.93,2.6,M,12.88,10.6,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RECEBÍVEIS IMOBILIÁRIOS,28.152.272/0001-26,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,170969,26441639,88.98,R$ 2.35 Bilhões,1.01,RECR11
82.76,14.09,0.88,2.95,M,4.04,11.0,VECTIS JUROS REAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.400.250/0001-05,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,31570,14723959,94.2,R$ 1.39 Bilhão,0.95,VCJR11
88.83,14.07,0.88,651.99,K,4.78,12.75,RIZA ARCTIUM REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.267.696/0001-36,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,,0.0,35228,4235031,101.33,R$ 429.14 Milhões,1.05,RZAT11
7.03,14.23,0.75,899.86,K,-13.95,0.58,BB PREMIUM MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA,54.375.187/0001-37,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,0.8,1.72,31505,99120983,9.43,R$ 934.45 Milhões,0.08,BBIG11
88.8,13.87,0.91,1.34,M,6.3,11.82,CLAVE ÍNDICES DE PREÇOS,49.005.348/0001-60,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,11656,4346752,97.94,R$ 425.72 Milhões,1.1,CLIN11
9.52,13.98,0.97,5.68,M,9.8,1.27,VALORA RE III FUNDO DE INVESTIMENTO IMOBILIÁRIO,29.852.732/0001-91,Geral,Renda,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,258785,146101276,9.76,R$ 1.43 Bilhão,0.12,VGIR11
7.66,14.08,0.9,2.56,M,-1.42,1.09,VALORA HEDGE FUND. FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,36.771.692/0001-19,Geral,Títulos e valores mobiliários,Híbrido,Fundo de papel,Indeterminado,Ativa,,0.0,393849,164721672,8.57,R$ 1.41 Bilhão,0.1,VGHF11
