Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
AAGR11,Indefinido,93.97,20105.83,,1.31,1.34 ,4.09 ,8.15 ,15.72 ,1.36 ,1.36 ,1.31 ,9.45 ,1.50 ,2.86 ,19.41 ,,,,0.00 ,0.00 ,0.00 ,0.00 ,0,67.84,0,,,
AAZQ11,Indefinido,7.59,312972.43,0.87,0.10,1.28 ,4.40 ,8.57 ,18.01 ,1.47 ,1.43 ,1.50 ,12.12 ,5.11 ,6.46 ,37.63 ,207159461.77,8.62,0.88,1.10 ,0.00 ,0.00 ,0.00 ,0,18.85,29467,,1.20  aa,10.00  aa
ABCP11,Shoppings,85.79,80446.13,0.83,0.50,0.53 ,2.84 ,4.96 ,10.80 ,0.95 ,0.83 ,0.90 ,6.44 ,8.20 ,8.78 ,53.42 ,502949501.57,106.80,0.80,0.75 ,16.31 ,17.19 ,25.53 ,1,23.82,14903,,0.10  aa,
AFHI11,Papéis,91.97,478168.83,0.97,1.09,1.17 ,3.37 ,6.71 ,13.24 ,1.12 ,1.12 ,1.10 ,7.81 ,1.97 ,3.16 ,19.22 ,431693502.56,94.76,0.97,1.07 ,-0.22 ,0.84 ,7.17 ,14,11.55,39578,,1.00  aa,
AGRX11,Indefinido,7.97,80159.43,0.77,0.12,1.49 ,4.55 ,8.89 ,15.11 ,1.52 ,1.48 ,1.26 ,10.29 ,-1.59 ,-0.12 ,30.32 ,186427095.95,10.41,0.77,1.15 ,0.00 ,0.00 ,0.00 ,0,31.30,18819,,1.00  aa,10.00  aa
AIEC11,Lajes Corporativas,46.00,192001.09,0.60,0.34,0.74 ,2.12 ,4.26 ,13.25 ,0.71 ,0.71 ,1.10 ,7.38 ,0.94 ,1.69 ,15.35 ,374250889.38,77.57,0.59,0.41 ,-17.05 ,-16.70 ,-15.74 ,2,19.22,16334,,0.75  aa,20.00  aa
AJFI11,Shoppings,7.25,537527.26,0.60,0.06,0.83 ,2.47 ,5.46 ,11.53 ,0.82 ,0.91 ,0.96 ,7.57 ,-0.41 ,0.41 ,14.46 ,384210693.68,,,,,,,12,14.86,13014,0.60  aa,0.10  aa,
ALMI11,Lajes Corporativas,600.02,9983.40,0.30,3.93,0.00 ,1.48 ,2.74 ,7.03 ,0.49 ,0.46 ,0.59 ,4.27 ,0.00 ,0.00 ,,234419016.12,2046.78,0.29,0.00 ,-0.05 ,-0.05 ,0.90 ,1,44.71,1971,,0.38  aa,
ALZC11,Papéis,7.66,302608.39,0.79,0.10,1.22 ,3.86 ,7.95 ,14.96 ,1.29 ,1.33 ,1.25 ,9.43 ,-2.45 ,-1.26 ,2.80 ,187684487.17,,,,,,,14,39.73,8845,,1.30  aa,20.00  aa
ALZM11,Fundo de Fundos,6.32,164.43,0.85,0.40,6.30 ,0.00 ,6.30 ,13.17 ,0.00 ,1.05 ,1.10 ,7.55 ,-1.25 ,4.97 ,4.65 ,113203496.22,7.46,0.85,1.07 ,-91.94 ,-91.85 ,-91.51 ,14,17.10,12195,,0.80  aa,20.00  aa
ALZR11,Misto,10.04,1041286.17,0.93,0.09,0.92 ,2.52 ,5.03 ,9.83 ,0.84 ,0.84 ,0.82 ,5.88 ,0.10 ,1.02 ,17.05 ,1319772054.67,10.78,0.93,0.76 ,-89.91 ,-89.84 ,-89.03 ,18,11.55,164422,0.70  aa,0.25  aa,
APTO11,Imóveis Residenciais,8.33,13387.61,0.85,0.09,1.07 ,3.27 ,6.52 ,12.92 ,1.09 ,1.09 ,1.08 ,8.71 ,-0.59 ,0.47 ,9.31 ,44996179.30,9.76,0.85,0.92 ,-2.01 ,-1.10 ,12.92 ,3,20.43,8430,,1.50  aa,20.00  aa
APXM11,Shoppings,88.58,212972.39,0.72,0.29,0.32 ,1.02 ,2.43 ,5.01 ,0.34 ,0.41 ,0.42 ,2.75 ,-2.00 ,-1.69 ,-5.36 ,349007936.68,,,,,,,1,59.05,603,,,
ARCT11,Imóveis Industriais e Logísticos,87.13,1053903.45,0.87,0.50,0.00 ,1.30 ,3.82 ,12.55 ,0.43 ,0.64 ,1.05 ,0.00 ,0.00 ,0.00 ,,371534654.03,99.77,0.87,0.76 ,0.04 ,0.80 ,6.31 ,9,15.63,43228,,1.00  aa,20.00  aa
AROA11,Imóveis Industriais e Logísticos,1.04,3525.04,1.07,0.01,0.63 ,1.89 ,3.85 ,7.79 ,0.63 ,0.64 ,0.65 ,5.15 ,4.00 ,4.66 ,11.71 ,159983951.78,,,,,,,6,31.66,4535,,,
ARRI11,Papéis,6.77,155437.52,0.81,0.09,1.30 ,3.80 ,7.44 ,14.53 ,1.27 ,1.24 ,1.21 ,9.88 ,-2.80 ,-1.54 ,-4.42 ,175649111.20,8.47,0.80,1.06 ,-4.40 ,-3.39 ,-89.38 ,1,16.16,23949,,,
ARXD11,Papéis,7.38,54452.96,0.82,0.10,1.25 ,3.72 ,7.72 ,15.50 ,1.24 ,1.29 ,1.29 ,10.59 ,-1.68 ,-0.45 ,10.37 ,82741433.18,,,,,,,14,30.77,1753,,1.02  aa,
ASMT11,Lajes Corporativas,4.10,12484.00,0.41,0.08,1.12 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.19 ,-4.46 ,-3.39 ,-3.83 ,169085584.25,,,,,,,3,52.58,1,,,
ASRF11,Indefinido,10888.00,494.91,1.12,256.33,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,38859385.03,,,,,,,2,21.53,68,,,
ATSA11,Shoppings,49.99,98.85,0.65,0.15,0.30 ,1.60 ,2.08 ,5.02 ,0.53 ,0.35 ,0.42 ,4.08 ,-0.02 ,0.28 ,-1.81 ,134233814.83,76.66,0.65,0.16 ,-5.87 ,-5.72 ,-14.38 ,1,26.61,307,,0.50  aa,
AURB11,Imóveis Comerciais - Outros,72.80,15440370.00,0.93,0.20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,70011487.00,,,,,,,2,38.22,21,,,
AZIN11,,98.35,403888.04,,1.50,1.53 ,4.71 ,9.48 ,9.48 ,1.57 ,1.58 ,0.79 ,9.48 ,3.10 ,4.68 ,33.28 ,,,,,,,,0,12.30,0,,1.25  aa,20.00  aa
AZPE11,Papéis,,,,0.21,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,124498605.64,,,,,,,6,,7,,,
AZPL11,Serviços Financeiros Diversos,7.59,306470.00,0.77,0.08,1.06 ,3.52 ,7.55 ,14.05 ,1.17 ,1.26 ,1.17 ,10.52 ,2.44 ,3.53 ,29.95 ,176751372.28,,,,,,,1,32.70,6590,,1.10  aa,
BARI11,Papéis,79.20,733711.09,0.87,0.95,0.00 ,2.60 ,6.69 ,14.24 ,0.87 ,1.12 ,1.19 ,9.77 ,0.00 ,0.00 ,,422774839.54,91.23,0.87,1.06 ,-4.33 ,-3.31 ,1.06 ,2,19.16,33785,1.11  aa,0.20  aa,20.00  aa
BBFI11B,Lajes Corporativas,1257.10,182918.19,0.41,634.23,47.51 ,0.00 ,47.51 ,69.77 ,0.00 ,7.92 ,5.81 ,69.77 ,4.22 ,53.73 ,119.39 ,111645834.19,864.77,1.45,73.34 ,-60.09 ,-30.81 ,-43.61 ,1,43.40,6989,,3.50  aa,
BBFO11,Fundo de Fundos,62.30,116550.74,0.82,0.76,1.20 ,3.61 ,7.06 ,13.62 ,1.20 ,1.18 ,1.14 ,9.57 ,-1.17 ,0.01 ,19.36 ,299834197.97,72.59,0.86,1.07 ,-11.18 ,-10.23 ,-5.96 ,14,15.36,6967,,0.50  aa,
BBGO11,Indefinido,65.50,149588.52,0.70,0.90,1.35 ,4.12 ,8.04 ,16.10 ,1.37 ,1.34 ,1.34 ,13.47 ,-2.82 ,-1.51 ,7.39 ,375309151.16,93.93,0.70,1.01 ,-4.09 ,-3.12 ,4.73 ,0,20.02,11806,,0.85  aa,10.00  aa
BBIG11,Serviços Financeiros Diversos,6.99,702931.70,0.74,0.08,1.14 ,3.31 ,6.92 ,13.76 ,1.10 ,1.15 ,1.15 ,9.49 ,-5.01 ,-3.92 ,17.60 ,934445134.64,,,,,,,1,22.28,31510,,0.80  aa,
BBIM11,Papéis,,,,0.10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,667.50,,,0.00 ,-100.00 ,0.00 ,0.00 ,14,,20,,,
