Papel;Setor;Preço Atual (R$);Liquidez Diária (R$);Último Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) média;DY (6M) média;DY (12M) média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líquido;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. Período;Rentab. Patr. Acumulada;Quant. Ativos;Volatilidade;Num. Cotistas
AAGR11;Indefinido;94,90;10.728,82;1,53;1,65 ;3,03 ;7,15 ;16,54 ;1,01 ;1,19 ;1,38 ;11,40 ;-2,16 ;-0,54 ;19,12 ;;;;0,00 ;0,00 ;0,00 ;0,00 ;0;63,42;0
AAZQ11;Indefinido;7,58;299.834,77;0,11;1,44 ;4,07 ;8,67 ;18,43 ;1,36 ;1,45 ;1,54 ;15,26 ;1,46 ;2,92 ;43,37 ;207.648.492,97;8,64;0,88;1,16 ;0,00 ;0,00 ;0,00 ;0;18,84;29.398
ABCP11;Shoppings;74,89;56.612,86;0,50;0,63 ;1,76 ;4,89 ;9,98 ;0,59 ;0,82 ;0,83 ;7,78 ;-5,28 ;-4,68 ;34,91 ;503.612.185,16;106,94;0,70;0,47 ;16,47 ;17,01 ;25,34 ;1;23,99;14.744
AFHI11;Papéis;94,21;502.673,73;1,01;1,08 ;3,39 ;6,75 ;13,48 ;1,13 ;1,13 ;1,12 ;10,15 ;2,54 ;3,65 ;25,03 ;428.799.120,18;94,13;1,00;1,07 ;-0,88 ;0,18 ;6,46 ;14;11,86;38.309
AGRX11;Indefinido;8,24;1.082.733,23;0,12;1,48 ;4,52 ;9,03 ;15,50 ;1,51 ;1,51 ;1,29 ;12,07 ;3,05 ;4,58 ;37,31 ;188.244.304,45;10,51;0,78;1,14 ;0,00 ;0,00 ;0,00 ;0;31,36;18.496
AIEC11;Lajes Corporativas;51,18;266.756,55;0,34;0,65 ;2,11 ;4,22 ;11,80 ;0,70 ;0,70 ;0,98 ;8,85 ;12,13 ;12,86 ;36,03 ;390.257.875,50;80,88;0,63;0,42 ;-13,51 ;-13,14 ;-12,14 ;2;19,55;15.340
AJFI11;Shoppings;7,75;375.739,86;0,06;0,78 ;2,45 ;5,27 ;11,58 ;0,82 ;0,88 ;0,97 ;8,48 ;7,23 ;8,07 ;25,02 ;384.210.693,68;;;;;;;13;13,68;12.568
ALMI11;Lajes Corporativas;580,00;10.678,00;4,17;0,72 ;1,40 ;3,28 ;7,97 ;0,47 ;0,55 ;0,66 ;5,74 ;-6,37 ;-5,70 ;9,25 ;234.116.981,79;2.046,78;0,28;0,00 ;-0,05 ;-0,05 ;0,90 ;1;45,34;1.939
ALZC11;Papéis;7,77;136.095,95;0,11;1,35 ;3,95 ;8,17 ;16,74 ;1,32 ;1,36 ;1,40 ;12,49 ;-0,26 ;1,09 ;2,51 ;189.237.471,78;;;;;;;14;52,43;9.280
ALZM11;Fundo de Fundos;6,32;164,43;0,40;6,30 ;0,00 ;0,00 ;11,06 ;0,00 ;0,00 ;0,92 ;7,55 ;-1,25 ;4,97 ;4,65 ;113.203.496,22;7,46;0,85;1,07 ;-91,94 ;-91,85 ;-91,51 ;14;18,98;12.195
ALZR11;Misto;10,60;1.306.211,36;0,08;0,79 ;2,54 ;5,02 ;10,05 ;0,85 ;0,84 ;0,84 ;7,57 ;5,05 ;5,88 ;25,86 ;1.305.279.166,71;10,68;0,99;0,77 ;-90,01 ;-89,93 ;-89,13 ;19;11,51;167.464
APTO11;Imóveis Residenciais;8,46;11.630,64;0,09;1,06 ;3,20 ;6,56 ;13,25 ;1,07 ;1,09 ;1,10 ;11,05 ;0,00 ;1,06 ;15,57 ;45.162.256,37;9,79;0,86;0,92 ;-1,71 ;-0,80 ;13,26 ;3;20,66;8.232
APXM11;Shoppings;81,50;11.387,67;0,30;0,37 ;0,99 ;2,20 ;4,62 ;0,99 ;0,37 ;0,39 ;3,44 ;-2,68 ;-2,32 ;-14,27 ;349.190.139,54;;;;;;;1;58,01;596
ARCT11;Imóveis Industriais e Logísticos;87,13;1.053.903,45;0,50;0,00 ;1,30 ;3,82 ;12,55 ;0,43 ;0,64 ;1,05 ;0,00 ;0,00 ;0,00 ;;371.534.654,03;99,77;0,87;0,76 ;0,04 ;0,80 ;6,31 ;9;15,63;43.228
AROA11;Imóveis Industriais e Logísticos;1,00;5.271,50;0,01;0,74 ;2,10 ;4,06 ;7,95 ;0,70 ;0,68 ;0,66 ;6,70 ;-0,98 ;-0,25 ;12,47 ;159.917.971,91;;;;;;;6;30,92;4.791
ARRI11;Papéis;6,55;225.146,41;0,09;1,36 ;4,01 ;7,83 ;15,15 ;1,34 ;1,31 ;1,26 ;12,80 ;-1,78 ;-0,44 ;-3,74 ;175.613.929,97;8,47;0,77;1,06 ;-4,40 ;-3,39 ;-89,38 ;1;16,64;23.644
ARXD11;Papéis;7,59;68.261,95;0,09;1,20 ;3,74 ;7,64 ;15,93 ;1,25 ;1,27 ;1,33 ;13,31 ;0,81 ;2,02 ;13,98 ;82.249.920,75;;;;;;;14;29,25;1.782
ASMT11;Lajes Corporativas;4,10;12.484,00;0,08;1,12 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;2,19 ;-4,46 ;-3,39 ;-3,83 ;169.085.584,25;;;;;;;3;52,59;1
ASRF11;Indefinido;10.888,00;76.216,00;256,33;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;38.822.624,03;;;;;;;2;16,34;68
ATSA11;Shoppings;50,98;4.580,44;0,15;0,29 ;0,59 ;2,14 ;5,37 ;0,59 ;0,36 ;0,45 ;4,41 ;0,00 ;0,00 ;;134.327.235,30;76,71;0,66;0,20 ;-5,81 ;-5,62 ;-14,29 ;1;31,39;302
AURB11;Imóveis Comerciais - Outros;76,21;2.936.376,40;0,44;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;84.785.597,51;;;;;;;2;39,99;20
AZIN11;;103,60;630.420,55;1,90;1,88 ;5,34 ;10,24 ;13,39 ;1,78 ;1,71 ;1,12 ;13,39 ;1,25 ;3,15 ;44,62 ;;;;;;;;0;12,73;0
AZPE11;Papéis;;;0,14;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;125.015.499,50;;;;;;;6;;2
AZPL11;Serviços Financeiros Diversos;7,65;409.091,32;0,08;0,98 ;2,97 ;6,77 ;15,19 ;0,99 ;1,13 ;1,27 ;12,65 ;0,26 ;1,24 ;38,05 ;352.632.003,89;;;;;;;1;25,50;6.366
BARI11;Papéis;79,20;896.491,00;4,38;0,00 ;0,00 ;4,06 ;12,32 ;0,00 ;0,68 ;1,03 ;10,01 ;0,00 ;0,00 ;;363.696.267,15;78,48;1,01;1,21 ;-17,70 ;-16,71 ;-12,94 ;2;20,28;31.765
BBFI11B;Lajes Corporativas;1.257,10;182.918,19;634,23;47,51 ;0,00 ;47,51 ;69,77 ;0,00 ;7,92 ;5,81 ;69,77 ;4,22 ;53,73 ;119,39 ;111.645.834,19;864,77;1,45;73,34 ;-60,09 ;-30,81 ;-43,61 ;1;43,40;6.989
BBFO11;Fundo de Fundos;62,09;213.918,50;0,73;1,16 ;3,54 ;7,18 ;14,26 ;1,18 ;1,20 ;1,19 ;12,12 ;0,21 ;1,37 ;25,28 ;291.866.658,78;72,90;0,85;1,04 ;-10,80 ;-9,87 ;-5,59 ;14;15,85;6.931
BBGO11;Indefinido;64,06;281.677,95;0,90;1,37 ;4,12 ;8,47 ;16,72 ;1,37 ;1,41 ;1,39 ;16,58 ;1,37 ;2,76 ;11,94 ;377.603.836,94;94,28;0,68;0,95 ;-3,73 ;-2,81 ;5,06 ;0;18,98;11.724
BBIG11;Serviços Financeiros Diversos;6,90;669.121,77;0,08;1,13 ;3,43 ;6,88 ;14,41 ;1,14 ;1,15 ;1,20 ;11,97 ;1,43 ;2,58 ;24,04 ;1.010.130.407,71;;;;;;;3;22,75;32.815
BBIM11;Papéis;;;0,10;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;667,50;;;0,00 ;-100,00 ;0,00 ;0,00 ;14;;20
BBRC11;Agências de Bancos;96,78;76.702,00;1,05;1,05 ;3,18 ;6,28 ;13,14 ;1,06 ;1,05 ;1,10 ;10,93 ;0,65 ;1,71 ;12,46 ;167.369.988,67;105,26;0,92;1,00 ;-2,23 ;-1,25 ;9,98 ;21;20,25;8.879
BCIA11;Fundo de Fundos;83,28;289.047,77;0,84;0,98 ;2,98 ;5,96 ;12,52 ;0,99 ;0,99 ;1,04 ;10,41 ;1,40 ;2,39 ;23,32 ;364.940.398,26;98,13;0,85;0,86 ;-2,12 ;-1,29 ;3,17 ;14;16,02;21.523
BCRI11;Papéis;63,05;510.051,27;0,88;1,38 ;4,07 ;7,96 ;16,27 ;1,36 ;1,33 ;1,36 ;13,46 ;-2,04 ;-0,69 ;30,22 ;521.476.882,60;83,33;0,76;1,09 ;-17,42 ;-16,52 ;-10,28 ;14;16,89;42.928
BDIF11;Indefinido;76,00;1.858.536,00;0,60;0,79 ;3,10 ;7,16 ;15,34 ;1,03 ;1,19 ;1,28 ;11,53 ;5,46 ;6,29 ;26,94 ;;;;;;;;0;16,66;0
BDIV11;Indefinido;40,41;309.453,68;1,60;4,13 ;4,13 ;8,64 ;224,27 ;1,38 ;1,44 ;18,69 ;13,59 ;9,19 ;13,70 ;15,47 ;;;;;;;;0;24,01;0
BETW11;Indefinido;;;0,49;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;263.656.628,84;;;;;;;1;;2
BICE11;Fundo de Fundos;895,00;1.791,50;6,75;0,00 ;0,11 ;0,91 ;5,25 ;0,11 ;0,91 ;0,44 ;3,75 ;0,00 ;0,00 ;;143.973.753,10;1.079,15;0,83;0,43 ;8,26 ;8,73 ;16,59 ;14;40,08;117
BICR11;Papéis;35,92;72,00;0,36;1,02 ;0,00 ;0,00 ;1,02 ;0,00 ;0,00 ;0,09 ;4,52 ;-10,54 ;-9,63 ;-26,97 ;20.805.910,51;42,51;0,84;0,85 ;-57,20 ;-56,84 ;-52,66 ;14;24,94;641
BIDB11;Indefinido;77,00;231.493,91;1,00;1,27 ;2,70 ;6,84 ;16,30 ;0,90 ;1,14 ;1,36 ;13,73 ;2,30 ;3,59 ;26,21 ;;;;;;;;0;18,89;0
BIME11;Indefinido;7,01;32.564,64;0,08;1,13 ;3,71 ;7,74 ;16,16 ;1,24 ;1,29 ;1,35 ;12,06 ;2,60 ;3,76 ;27,88 ;49.514.016,67;8,47;0,83;1,06 ;-6,20 ;-5,20 ;1,64 ;3;17,80;8.369
BINC11;Papéis;97,21;868.260,09;1,18;1,32 ;0,00 ;2,56 ;9,40 ;0,00 ;0,43 ;1,34 ;7,40 ;1,14 ;2,48 ;13,81 ;;;;;;;;0;21,22;0
BIPD11;Indefinido;972,83;760.000,00;27,17;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;109.871.596,98;;;;;;;1;8,29;112
BLCA11;Indefinido;96,00;311.768,05;0,50;0,55 ;2,04 ;3,72 ;7,08 ;0,68 ;0,62 ;0,59 ;5,48 ;-0,27 ;0,28 ;6,60 ;204.218.442,34;127,64;0,75;0,67 ;-11,13 ;-10,53 ;26,49 ;1;71,83;459
BLMC11;Papéis;85,75;150.671,33;5,34;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,74 ;0,00 ;0,00 ;;118.155.565,38;94,69;0,91;1,13 ;-1,48 ;-0,36 ;2,88 ;14;3,23;8.102
BLMG11;Imóveis Industriais e Logísticos;33,57;265.898,09;0,36;1,06 ;3,07 ;6,23 ;17,21 ;1,02 ;1,04 ;1,43 ;12,69 ;2,56 ;3,65 ;28,12 ;331.602.528,57;70,94;0,47;0,51 ;-26,06 ;-25,68 ;-22,48 ;2;31,73;12.785
BLMO11;Lajes Corporativas;89,99;3.912,64;0,53;0,60 ;1,86 ;4,02 ;7,74 ;0,62 ;0,67 ;0,65 ;6,43 ;5,95 ;6,59 ;37,73 ;104.213.475,45;104,76;0,86;0,51 ;-99,65 ;-99,64 ;-99,59 ;1;44,14;313
BLMR11;Fundo de Fundos;6,78;1.157.702,33;0,37;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;118.155.565,38;7,61;0,89;0,70 ;-1,68 ;-0,99 ;1,82 ;14;3,49;8.102
BLOG11;Misto;9,60;770,60;0,02;0,20 ;0,57 ;1,60 ;4,78 ;0,57 ;0,27 ;0,40 ;2,76 ;-6,82 ;-6,63 ;-8,76 ;346.922.775,80;;;;;;;6;77,10;102
BLUR11;Papéis;76,03;228,00;74,29;0,00 ;0,00 ;1,55 ;6,10 ;0,00 ;0,26 ;0,51 ;4,01 ;0,00 ;0,00 ;;6.851.720,42;;;;;;;14;85,32;1
BMLC11;Lajes Corporativas;94,60;11.958,05;0,70;0,00 ;1,44 ;3,66 ;8,28 ;0,48 ;0,61 ;0,69 ;5,90 ;0,00 ;0,00 ;;105.626.456,63;105,80;0,89;0,65 ;-6,76 ;-6,15 ;2,47 ;1;994,32;1.267
BNFS11;Agências de Bancos;73,60;62.334,41;1,00;1,32 ;4,08 ;8,11 ;16,69 ;1,36 ;1,35 ;1,39 ;13,73 ;4,20 ;5,57 ;0,21 ;54.834.152,37;78,33;0,94;1,28 ;-14,30 ;-13,21 ;-7,58 ;18;20,48;5.897
BODB11;Indefinido;7,42;1.005.991,64;0,09;1,19 ;3,79 ;6,90 ;13,28 ;1,26 ;1,15 ;1,11 ;14,80 ;3,14 ;4,37 ;24,93 ;;;;;;;;0;21,96;0
BPFF11;Fundo de Fundos;54,53;512.062,00;2,24;0,00 ;0,00 ;3,70 ;10,62 ;0,00 ;0,62 ;0,89 ;9,50 ;0,00 ;0,00 ;;314.555.485,53;70,02;0,78;1,00 ;-4,72 ;-3,77 ;-0,94 ;14;18,12;20.096
BPLC11;Misto;;;14,42;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;324.694.653,95;;;;;;;1;;137
BPML11;Shoppings;79,91;931.583,14;0,92;1,15 ;3,69 ;7,49 ;16,72 ;1,23 ;1,25 ;1,39 ;16,72 ;2,45 ;3,62 ;62,51 ;921.906.177,27;125,01;0,64;0,85 ;0,21 ;1,06 ;2,01 ;11;17,60;5.960
BPRP11;Imóveis Industriais e Logísticos;107,50;2.150,00;0,93;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;4,54 ;0,00 ;0,00 ;;169.496.975,27;;;;;;;15;1,53;171
BRCO11;Imóveis Industriais e Logísticos;116,00;3.168.730,82;0,87;0,74 ;2,32 ;4,91 ;10,36 ;0,77 ;0,82 ;0,86 ;8,54 ;5,16 ;5,94 ;36,87 ;1.872.487.604,87;117,73;0,99;0,74 ;-3,09 ;-2,37 ;6,24 ;12;14,82;119.590
BRCR11;Lajes Corporativas;43,40;1.571.212,91;0,41;0,97 ;2,94 ;6,12 ;13,80 ;0,98 ;1,02 ;1,15 ;9,94 ;2,72 ;3,72 ;25,38 ;2.269.838.767,41;85,21;0,51;0,48 ;-14,84 ;-14,43 ;-15,67 ;6;13,59;121.887
BREV11;Lajes Corporativas;105,00;532.138,00;0,58;0,55 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;10,03 ;0,32 ;0,87 ;22,08 ;118.155.565,38;;;0,00 ;-100,00 ;0,00 ;0,00 ;1;0,34;8.102
BRFT11;Misto;85,60;54.655,95;1,24;1,45 ;4,69 ;9,66 ;19,66 ;1,56 ;1,61 ;1,64 ;17,93 ;-0,06 ;1,39 ;44,86 ;;;;0,00 ;0,00 ;0,00 ;0,00 ;0;50,73;0
BRIM11;Fundo de Desenvolvimento;457,48;21.703,05;120,84;23,52 ;23,52 ;40,70 ;100,97 ;7,84 ;6,78 ;8,41 ;93,17 ;9,60 ;35,37 ;91,18 ;29.268.130,37;;;;;;;2;78,90;691
BRIP11;Fundo de Desenvolvimento;690,10;6.254,00;46,41;6,87 ;31,88 ;41,98 ;80,38 ;10,63 ;7,00 ;6,70 ;59,02 ;1,03 ;7,97 ;107,04 ;127.593.302,98;;;;;;;10;217,08;441
BRIX11;Indefinido;1.673,35;195.781,00;180,14;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;125.205.402,99;;;;;;;10;;103
BRLA11;Imóveis Industriais e Logísticos;148,00;21.194,28;1,15;0,78 ;2,38 ;3,11 ;4,64 ;0,79 ;0,52 ;0,39 ;4,64 ;4,99 ;5,81 ;5,06 ;815.145.198,38;166,46;0,89;0,69 ;5,36 ;6,09 ;-2,26 ;8;76,52;435
BROF11;Lajes Corporativas;53,10;345.543,09;0,40;0,75 ;2,69 ;6,37 ;13,62 ;0,90 ;1,06 ;1,14 ;10,17 ;-4,23 ;-3,52 ;53,14 ;1.254.988.873,23;;;;;;;2;23,56;10.057
BRZP11;;144,00;637.256,41;0,92;0,63 ;1,95 ;3,63 ;7,91 ;0,65 ;0,61 ;0,66 ;6,47 ;3,70 ;4,36 ;76,19 ;;;;;;;;0;23,81;0
BTAG11;Indefinido;99,00;37.372,41;1,30;1,36 ;4,12 ;8,22 ;722,37 ;1,37 ;1,37 ;60,20 ;698,77 ;1,74 ;3,12 ;1.363,69 ;;;;0,00 ;0,00 ;0,00 ;0,00 ;0;31,02;0
BTAL11;Imóveis Industriais e Logísticos;80,83;378.571,77;0,95;1,17 ;3,43 ;6,90 ;14,78 ;1,14 ;1,15 ;1,23 ;10,73 ;4,64 ;5,87 ;52,51 ;676.928.041,83;113,15;0,71;0,80 ;7,70 ;8,56 ;17,69 ;9;15,91;38.806
BTCI11;Papéis;9,35;1.361.701,82;0,10;1,07 ;3,27 ;6,59 ;13,41 ;1,09 ;1,10 ;1,12 ;10,04 ;2,76 ;3,86 ;38,27 ;996.411.203,94;;;;;;;14;16,04;192.518
BTCR11;Papéis;88,00;571.148,00;0,90;0,98 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;12,53 ;-5,96 ;-5,04 ;14,54 ;118.155.565,38;95,27;0,92;0,94 ;0,64 ;1,59 ;4,62 ;14;32,78;8.102
BTHF11;Papéis;8,76;2.478.783,86;0,09;1,06 ;3,26 ;6,76 ;12,23 ;1,09 ;1,13 ;1,22 ;10,93 ;6,62 ;7,75 ;29,83 ;2.065.042.961,41;;;;;;;0;16,36;318.557
BTHI11;Hotéis;41,41;24.718,14;0,37;0,86 ;2,91 ;5,90 ;11,81 ;0,97 ;0,98 ;0,98 ;8,70 ;1,01 ;1,88 ;16,26 ;631.969.443,63;;;;;;;14;33,02;1.436
BTLG11;Imóveis Industriais e Logísticos;104,14;7.139.382,77;0,79;0,77 ;2,36 ;4,77 ;10,13 ;0,79 ;0,80 ;0,84 ;7,46 ;5,16 ;5,97 ;29,68 ;4.620.460.237,24;103,87;1,00;0,75 ;5,16 ;5,95 ;11,42 ;21;13,76;401.755
BTML11;Lajes Corporativas;101,37;;1,12;0,00 ;0,00 ;0,86 ;6,21 ;0,00 ;0,86 ;0,52 ;4,59 ;0,00 ;0,00 ;;144.755.567,77;;;;;;;2;2,38;1
BTRA11;Indefinido;54,50;122.012,82;0,40;0,71 ;2,85 ;4,87 ;9,53 ;0,95 ;0,81 ;0,79 ;7,09 ;5,44 ;6,19 ;57,61 ;372.011.189,98;110,57;0,49;0,27 ;-20,28 ;-20,06 ;13,82 ;6;27,37;12.356
BTSG11;Imóveis Industriais e Logísticos;150,95;151,00;1,00;0,00 ;0,66 ;1,26 ;4,85 ;0,66 ;0,21 ;0,40 ;3,66 ;0,00 ;0,00 ;;117.873.618,75;152,09;0,99;0,66 ;10,49 ;11,22 ;22,49 ;1;14,46;107
BTSI11;Misto;108,80;109,00;0,81;0,00 ;0,00 ;1,43 ;5,61 ;0,00 ;0,24 ;0,47 ;3,53 ;0,00 ;0,00 ;;682.608.193,25;;;;;;;5;26,32;200
BTWR11;Fundo de Desenvolvimento;105,49;15,85;0,65;0,00 ;0,00 ;0,57 ;3,95 ;0,00 ;0,57 ;0,33 ;2,72 ;0,00 ;0,00 ;;96.156.024,51;118,82;0,89;0,51 ;6,08 ;6,62 ;15,20 ;1;33,15;140
BTYU11;Incorporações;9,95;1.558,59;0,10;0,99 ;3,20 ;7,53 ;14,87 ;1,07 ;1,26 ;1,24 ;11,19 ;0,10 ;1,09 ;8,08 ;301.727.548,43;;;;;;;14;71,43;488
